new,host,a,cname,soa,status_code,aaaa,txt,cdn,cdn-name,ns,mx,caa,has_internal_ips,internal_ips
,trackingapi.cloudbrdev.rabobank.com,191.235.206.105,appgtw-dev-br-shared.brazilsouth.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
,trackingapi.cloudbrsit.rabobank.com,191.233.245.124,appgtw-sit-br-shared.brazilsouth.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
,trackingapi.cloudbruat.rabobank.com,,appgtw-uat-br-shared.brazilsouth.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
,transfer.rabobank.com,85.119.21.22,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,uat.acorn.rabobank.com,40.91.225.220,acorn-uat.azure.rabo.cloud,"ns1-08.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,True,azure,"ns2-08.azure-dns.net, ns1-08.azure-dns.com, ns4-08.azure-dns.info, ns3-08.azure-dns.org",,,,
,uat.gcoblegacy1.rabobank.com,"13.107.237.45, 13.107.238.45","fd-legacy1-uat.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com",NOERROR,"2620:1ec:4e:1::45, 2620:1ec:4f:1::45",,,,,,,,
,uat.gcoblegacy2.rabobank.com,"13.107.237.45, 13.107.238.45","fd-legacy2-uat.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net, dual.part-0017.t-0009.t-msedge.net, part-0017.t-0009.t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com, ns1.t-msedge.net",NOERROR,"2620:1ec:4e:1::45, 2620:1ec:4f:1::45",,,,,,,,
,uat.mwintegration.rabobank.nl,188.200.99.131,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,uat.ranz.pst.rabobank.com,"13.107.237.44, 13.107.238.44","fd-pst-au-uat.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0016.t-0009.fdv2-t-msedge.net, part-0016.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com",NOERROR,"2620:1ec:4f:1::44, 2620:1ec:4e:1::44",,,,,,,,
,uat.trace.rabobank.com,20.76.108.146,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,uat.vcv.rabobank.com,"13.107.237.45, 13.107.238.45","vcv-endpoint-uat.azureedge.net, vcv-endpoint-uat.afd.azureedge.net, star-azureedge-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com",NOERROR,"2620:1ec:4e:1::45, 2620:1ec:4f:1::45",,,,,,,,
,ukc-ep1-nld-prd.crypto.rabobank.com,188.200.99.164,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,ukc-ep4-azr-prd.crypto.rabobank.com,52.143.0.73,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,True,azure,,,,,
,usftp.mwintegration.rabobank.nl,188.200.99.131,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,uxcenter.rabobank.nl,,,,NOERROR,,,,,,,,,
,vc.rabobank.com,145.72.124.88,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,v=spf1 -all,,,"a12-64.akam.net, a18-65.akam.net, a1-191.akam.net, a7-64.akam.net, a20-66.akam.net, a3-67.akam.net",,,,
,vpnnj.rabobank.com,74.118.216.33,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,vulnerabilityregister.rabobank.com,20.86.232.149,vulnregister.azure.rabo.cloud,"ns1-08.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,"ns1-08.azure-dns.com, ns2-08.azure-dns.net, ns3-08.azure-dns.org, ns4-08.azure-dns.info",,,,
,wholesale.rabobank.nl,"23.33.238.40, 23.33.238.64","redirector.rabobank.com, redirector.rabobank.com.edgekey.net, e120844.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2600:1400:c000::172b:3ae8, 2600:1400:c000::172b:3af1",,,,,,,,
,winkel.rabobank.nl,194.151.43.199,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,wmail2.rabobank.nl,145.72.121.47,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,wmail4.rabobank.nl,145.72.121.21,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,wonenzaanstreek.rabobank.nl,62.112.237.39,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,workplace.rabobank.nl,,,"ns1-01.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,True,azure,,,,,
,wtapi.rabobank.com,93.188.252.93,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,www-acpt3-src.rabobank.com,145.72.99.46,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,www-sit.digitalbrazil.rabobank.com,191.233.245.124,appgtw-sit-br-shared.brazilsouth.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
,www-src.rabobank.com,145.72.108.1,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,www-staging-src.rabobank.com,145.72.108.4,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,www-staging.rabobank.com,"2.16.241.154, 2.16.241.143","www-staging.rabobank.com.edgekey.net, e114034.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19a, 2a02:26f0:480:c::210:f18f",,,,,,,,
,www-uat.digitalbrazil.rabobank.com,191.233.23.30,appgtw-uat-br-shared.brazilsouth.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
