new,host,a,cname,soa,ns,status_code,cdn,cdn-name,aaaa,mx,txt
[x],bid46on.reimbursements.jetblue.com,54.161.127.124,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
[x],bid48pm.reimbursements.jetblue.com,,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
[x],billmelaterphoenix1.reimbursements.jetblue.com,54.161.127.124,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
[x],blr1-ucm3.reimbursements.jetblue.com,54.161.127.124,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
[x],bmq-ext-shared.reimbursements.jetblue.com,54.161.127.124,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com","ns-1011.awsdns-62.net, ns-1219.awsdns-24.org, ns-1846.awsdns-38.co.uk, ns-59.awsdns-07.com",NOERROR,,,,,
[x],bms.reimbursements.jetblue.com,54.161.127.124,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
[x],border-collie-uat-rno.reimbursements.jetblue.com,54.161.127.124,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
[x],bra6s.reimbursements.jetblue.com,54.161.127.124,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
[x],bringbacklove21.reimbursements.jetblue.com,54.161.127.124,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
[x],bryan-docker.reimbursements.jetblue.com,54.161.127.124,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
[x],bsvc.reimbursements.jetblue.com,54.161.127.124,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
[x],bucketv2-jenkins-ww0my-oceania.reimbursements.jetblue.com,,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
[x],bulletins.reimbursements.jetblue.com,54.161.127.124,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
[x],cache-preferences-v4pp-config-redirect.reimbursements.jetblue.com,54.161.127.124,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
[x],canakokeyplus.reimbursements.jetblue.com,54.161.127.124,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
[x],cards.reimbursements.jetblue.com,54.161.127.124,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
[x],careerzapp.reimbursements.jetblue.com,54.161.127.124,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
[x],carlzeissengage.reimbursements.jetblue.com,54.161.127.124,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
[x],ccommodation.reimbursements.jetblue.com,54.161.127.124,"recipient-web-prd.tigrisservice.com, web-recipientportal-prd-digitalpay.us-east-1.elasticbeanstalk.com","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
