input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_wildcard_certificate,final_url,tls_mismatched,cdn_name,cdn,csp_domains_,tls_expired,tls_self_signed
facade1.e2e.asia.htc.com,,200,653,facade1.e2e.asia.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,facade1.e2e.asia.htc.com,443,https://facade1.e2e.asia.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,-1666561833,23.37.37.162,Nginx,18,False,HTC Corporation,,,,,,url=https://sso.htc.com/sso/login,,
facade1.e2e.htc.com,,200,653,facade1.e2e.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,facade1.e2e.htc.com,443,https://facade1.e2e.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,-1666561833,23.37.37.162,Nginx,18,False,HTC Corporation,,,,,,url=https://sso.htc.com/sso/login,,
facade2-e2e-asia.htc.com,,500,75,facade2-e2e-asia.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,facade2-e2e-asia.htc.com,443,https://facade2-e2e-asia.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,1825611437,23.37.37.162,Nginx,1,False,HTC Corporation,,,,,,,,
facade2-e2e.htc.com,,500,75,facade2-e2e.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,facade2-e2e.htc.com,443,https://facade2-e2e.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,1825611437,23.37.37.162,Nginx,1,False,HTC Corporation,,,,,,,,
facade2.e2e.htc.com,,200,653,facade2.e2e.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,facade2.e2e.htc.com,443,https://facade2.e2e.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,-1666561833,23.37.37.162,Nginx,18,False,HTC Corporation,,,,,,url=https://sso.htc.com/sso/login,,
forum.htc.com,Forums - VIVE Forum,200,40461,forum.htc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-06-11T23:59:59Z,CN=forum.htc.com,forum.htc.com,forum.vive.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,54ea2938ab99c92caea63d142e8be781,b03167eedd5a43a62cb2a6dcd40c5c52756a54069af8f9b0b68b270449276798,ctls,forum.htc.com,443,https://forum.htc.com:443,https,Apache,text/html,GET,18.66.147.31,/,-524025707,2600:9000:225e:1600:6:b9f1:dcc0:93a1,Stimulus,1464,False,,,,,cloudfront,True,https://htcazurehtc.sharepoint.com/,,
forwarder.htc.com,,200,5527,sp.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2023-07-21T00:00:00Z,2024-07-30T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,18e6340b92517b1bcb3ba149387fbc03,ab20958e933a291caba5a1b57578641c0a7ba50468b7b42469b78375d7aabca5,ctls,sp.htc.com,443,https://forwarder.htc.com:443,https,,text/html,GET,113.196.158.244,/,1631801191,113.196.158.244,JavaServer Pages:2.1,98,False,HTC Corporation,True,https://sp.htc.com/sp/zk/home/loginHome.zul?encodedServiceId=http%3A%2F%2Fforwarder%2Ehtc%2Ecom%2Fhtc%5Fmain%2Easp%3Fbbb%3D1,,,,,,
fotadls-org-az.htc.com,,403,,fotadls-org-az.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,fotadls-org-az.htc.com,443,https://fotadls-org-az.htc.com:443,https,,text/html,GET,23.37.37.162,/,-1840324437,23.37.37.162,,1,False,HTC Corporation,,,,,,,,
fotadls-test.htc.com,,404,10,fotadls-test.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-16T00:00:00Z,2024-05-15T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,*.akamaihd-staging.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1698995d9038e8e48e56122247ea04c1,22723fe90c8cb62a43cc528408564613075e76acf7ff45e9542c7ce77c6db372,ctls,fotadls-test.htc.com,443,https://fotadls-test.htc.com:443,https,AkamaiNetStorage,,GET,2.16.164.58,/,-2051374730,2.16.164.11,,2,False,"Akamai Technologies, Inc.",True,,True,,,,,
fotadls.htc.com,,404,10,fotadls.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,fotadls.htc.com,443,https://fotadls.htc.com:443,https,AkamaiNetStorage,,GET,23.37.37.162,/,-2051374730,23.37.37.162,,2,False,HTC Corporation,,,,,,,,
fotamsg-2.htc.com,Internal Server Error,500,283,fotamsg-2.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,fotamsg-2.htc.com,443,https://fotamsg-2.htc.com:443,https,AkamaiGHost,text/html,GET,23.37.37.162,/,-1358271554,2a02:26f0:480:bb5::1e5e,,9,False,HTC Corporation,,,,,,,,
fotamsg.htc.com,Error,403,74,fotamsg.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2023-07-21T00:00:00Z,2024-07-30T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,18e6340b92517b1bcb3ba149387fbc03,ab20958e933a291caba5a1b57578641c0a7ba50468b7b42469b78375d7aabca5,ctls,fotamsg.htc.com,443,https://fotamsg.htc.com:443,https,,text/html,GET,114.30.34.39,/,-1463124301,114.30.34.39,,1,False,HTC Corporation,True,,,,,,,
gaming.htc.com,HTC Deutschland,200,46522,www.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c81ac27f95da3e42cc3422f4f87236a7,5afe13ff6a7d8e6ef1c34188cbb69d77d540a20a4a2711f9baca1d1324daf37b,ctls,www.htc.com,443,https://gaming.htc.com:443,https,nginx,text/html,GET,95.101.111.155,/,-1284429856,95.101.111.139,Nginx,1068,False,HTC Corporation,True,https://www.htc.com/de/,,,,https:,,
getstart.htc.com,Error,503,174,start.htcsense.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.htcsense.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htcsense.com,htcsense.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2630d4eeabdb192a0d1ddca461207e00,3b942951e366e5cd1dda62f33eac2d17842765fdf9ecbc423fe8222f76aa4735,ctls,start.htcsense.com,443,https://getstart.htc.com:443,https,AkamaiGHost,text/html,GET,23.201.250.189,/,-1848528358,23.201.250.189,,5,False,HTC Corporation,True,https://start.htcsense.com/message/,,,,,,
gift.htc.com,Invalid URL,400,209,gift.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-16T00:00:00Z,2024-05-15T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,*.akamaihd-staging.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1698995d9038e8e48e56122247ea04c1,22723fe90c8cb62a43cc528408564613075e76acf7ff45e9542c7ce77c6db372,ctls,gift.htc.com,443,https://gift.htc.com:443,https,AkamaiGHost,text/html,GET,2.16.241.13,/,-2006085053,2.16.241.12,,8,False,"Akamai Technologies, Inc.",True,,True,,,,,
htc.com,HTC Deutschland,200,46522,www.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c81ac27f95da3e42cc3422f4f87236a7,5afe13ff6a7d8e6ef1c34188cbb69d77d540a20a4a2711f9baca1d1324daf37b,ctls,www.htc.com,443,https://htc.com:443,https,nginx,text/html,GET,23.36.162.73,/,398486092,23.36.162.89,Nginx,1068,False,HTC Corporation,True,https://www.htc.com/de/,,,,https:,,
investors.htc.com,HTC investor,200,18910,investors.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,investors.htc.com,443,https://investors.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,1543228025,23.37.37.162,Nginx,655,False,HTC Corporation,,https://investors.htc.com/en/,,,,,,
metrics.htc.com,,200,,metrics.htc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-03-08T23:59:59Z,"CN=*.sc.omtrdc.net, O=Adobe Systems Incorporated, L=San Jose, ST=California, C=US",*.sc.omtrdc.net,sc.omtrdc.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5aea0482f5687fba1e7b20b2977a3e7a,1a773e957c8bb8819956df96b254fce6c3d34e51c3a7073ffe3ac7833bfc089f,ctls,metrics.htc.com,443,https://metrics.htc.com:443,https,jag,,GET,63.140.62.135,/,1936786007,63.140.62.164,,1,False,Adobe Systems Incorporated,True,,True,,,,,
middleware-booking.htc.com,,403,75,middleware-booking.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,middleware-booking.htc.com,443,https://middleware-booking.htc.com:443,https,,text/html,GET,23.37.37.162,/,-297782484,23.37.37.162,,3,False,HTC Corporation,,,,,,,,
mobile.htc.com,HTC Deutschland,200,46522,www.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c81ac27f95da3e42cc3422f4f87236a7,5afe13ff6a7d8e6ef1c34188cbb69d77d540a20a4a2711f9baca1d1324daf37b,ctls,www.htc.com,443,https://mobile.htc.com:443,https,nginx,text/html,GET,23.36.162.89,/,398486092,23.36.162.73,Nginx,1068,False,HTC Corporation,True,https://www.htc.com/de/,,,,https:,,
myhtcstore.htc.com,Smartphones | HTC Deutschland,200,37200,www.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c81ac27f95da3e42cc3422f4f87236a7,5afe13ff6a7d8e6ef1c34188cbb69d77d540a20a4a2711f9baca1d1324daf37b,ctls,www.htc.com,443,https://myhtcstore.htc.com:443,https,nginx,text/html,GET,95.101.111.139,/,-315400075,2a02:26f0:480:23::1726:629d,Nginx,847,False,HTC Corporation,True,https://www.htc.com/de/smartphones/,,,,https:,,
myithelps.htc.com,VPN CONNECTION REQUIRED,200,307744,myithelps.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c81ac27f95da3e42cc3422f4f87236a7,5afe13ff6a7d8e6ef1c34188cbb69d77d540a20a4a2711f9baca1d1324daf37b,ctls,myithelps.htc.com,443,https://myithelps.htc.com:443,https,AkamaiNetStorage,text/html,GET,2.16.187.145,/,-1863281950,2.16.187.152,,146,False,HTC Corporation,True,https://myithelps.htc.com/plugins/servlet/samlsso?redirectTo=/secure/Dashboard.jspa,,,,,,
origin-community.htc.com,Page Redirection,200,514,origin-community.htc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-30T00:00:00Z,2024-07-30T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,4a5ba14baec79301423f99f3cf4f7d9e,00d023a6ff0a596ded7fcb7fe2915a159cc3df99b5cd9018b3a5dec4459fded4,ctls,origin-community.htc.com,443,https://origin-community.htc.com:443,https,Apache,text/html,GET,54.190.235.163,/,-1573539619,34.212.197.143,Apache,15,False,HTC Corporation,True,,,,,url=https://community.htc.com/tw/hero.php,,
otpmfa.htc.com,Multi-Factor Authentication User Portal: User Log In,200,11955,otpmfa.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2023-06-30T00:00:00Z,2024-07-30T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,4a5ba14baec79301423f99f3cf4f7d9e,00d023a6ff0a596ded7fcb7fe2915a159cc3df99b5cd9018b3a5dec4459fded4,ctls,otpmfa.htc.com,443,https://otpmfa.htc.com:443,https,,text/html,GET,175.98.157.175,/,1631801191,175.98.157.175,Microsoft ASP.NET:4.0.30319,183,False,HTC Corporation,True,https://otpmfa.htc.com/portal/,,,,,,
qa-myhtcstore.htc.com,VIVE Deutschland | Discover Virtual Reality Beyond Imagination,200,207751,www.vive.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,2024-01-04T23:59:59Z,"CN=*.vive.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.vive.com,vive.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ff55d06b7db4ec7004de8932ecd0827b,fb42fa7a04e08f4117dd095bb77e0a487ca66c6781b331027fbc720c01e5aa27,ctls,www.vive.com,443,https://qa-myhtcstore.htc.com:443,https,nginx,text/html,GET,2.16.187.145,/,360579122,2.16.187.145,Nginx,3823,False,HTC Corporation,True,https://www.vive.com/de/,,,,,,
recruiting.htc.com,Error 404--Not Found,404,1214,recruiting.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2023-07-21T00:00:00Z,2024-07-30T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,18e6340b92517b1bcb3ba149387fbc03,ab20958e933a291caba5a1b57578641c0a7ba50468b7b42469b78375d7aabca5,ctls,recruiting.htc.com,443,https://recruiting.htc.com:443,https,,text/html,GET,113.196.158.28,/,-119286333,113.196.158.28,JavaServer Pages:2.1,21,False,HTC Corporation,True,,,,,,,
relay02.htc.com,Outlook,200,58839,relay02.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2023-06-30T00:00:00Z,2024-07-30T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,4a5ba14baec79301423f99f3cf4f7d9e,00d023a6ff0a596ded7fcb7fe2915a159cc3df99b5cd9018b3a5dec4459fded4,ctls,relay02.htc.com,443,https://relay02.htc.com:443,https,,text/html,GET,114.30.34.120,/,769684713,114.30.34.120,Outlook Web App:15.1.2375,1412,False,HTC Corporation,True,https://relay02.htc.com/owa/auth/logon.aspx?url=https%3a%2f%2frelay02.htc.com%2fowa%2f&reason=0,,,,,,
relay11.htc.com,Outlook,200,58837,relay11.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2023-06-30T00:00:00Z,2024-07-30T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,4a5ba14baec79301423f99f3cf4f7d9e,00d023a6ff0a596ded7fcb7fe2915a159cc3df99b5cd9018b3a5dec4459fded4,ctls,relay11.htc.com,443,https://relay11.htc.com:443,https,,text/html,GET,122.147.173.173,/,543203620,122.147.173.173,Outlook Web App:15.1.2375,1411,False,HTC Corporation,True,https://relay11.htc.com/owa/auth/logon.aspx?url=https%3a%2f%2frelay11.htc.com%2fowa%2f&reason=0,,,,,,
relay2.htc.com,Outlook,200,58838,relay2.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2023-06-30T00:00:00Z,2024-07-30T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,4a5ba14baec79301423f99f3cf4f7d9e,00d023a6ff0a596ded7fcb7fe2915a159cc3df99b5cd9018b3a5dec4459fded4,ctls,relay2.htc.com,443,https://relay2.htc.com:443,https,,text/html,GET,114.30.34.120,/,-1326963716,114.30.34.120,Outlook Web App:15.1.2375,1412,False,HTC Corporation,True,https://relay2.htc.com/owa/auth/logon.aspx?url=https%3a%2f%2frelay2.htc.com%2fowa%2f&reason=0,,,,,,
repair.htc.com,TW Mail-in,200,6445,repair.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2023-07-21T00:00:00Z,2024-07-30T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,18e6340b92517b1bcb3ba149387fbc03,ab20958e933a291caba5a1b57578641c0a7ba50468b7b42469b78375d7aabca5,ctls,repair.htc.com,443,https://repair.htc.com:443,https,Kestrel,text/html,GET,113.196.158.125,/,1908147121,113.196.158.125,Microsoft ASP.NET,113,False,HTC Corporation,True,,,,,,,
repairs.htc.com,,200,10796,repairs.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,repairs.htc.com,443,https://repairs.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,1631801191,23.37.37.162,prettyPhoto,284,False,HTC Corporation,,https://repairs.htc.com/ViewTicket.aspx,,,,,,
rewardcenter.htc.com,HTC Promotion - Logon,200,19596,rewardcenter.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c81ac27f95da3e42cc3422f4f87236a7,5afe13ff6a7d8e6ef1c34188cbb69d77d540a20a4a2711f9baca1d1324daf37b,ctls,rewardcenter.htc.com,443,https://rewardcenter.htc.com:443,https,Microsoft-IIS/7.5,text/html,GET,95.101.111.155,/,1631801191,95.101.111.139,Windows Server,305,False,HTC Corporation,True,https://rewardcenter.htc.com/Account/Logon?ReturnUrl=%2f,,,,,,
sense.htc.com,Invalid URL,400,209,sense.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.htcsense.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htcsense.com,htcsense.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2630d4eeabdb192a0d1ddca461207e00,3b942951e366e5cd1dda62f33eac2d17842765fdf9ecbc423fe8222f76aa4735,ctls,sense.htc.com,443,https://sense.htc.com:443,https,AkamaiGHost,text/html,GET,23.212.219.121,/,-1947866909,23.212.219.121,,8,False,HTC Corporation,True,,True,,,,,
service.htc.com,Service Unavailable,503,268,service.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-16T00:00:00Z,2024-05-15T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,*.akamaihd-staging.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1698995d9038e8e48e56122247ea04c1,22723fe90c8cb62a43cc528408564613075e76acf7ff45e9542c7ce77c6db372,ctls,service.htc.com,443,https://service.htc.com:443,https,AkamaiGHost,text/html,GET,2.16.186.72,/,1543674999,2.16.186.75,,9,False,"Akamai Technologies, Inc.",True,,True,,,,,
