input,title,status_code,content_length,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,tech_,cdn,tls_subject_org_,final_url
https://s3-us-west-1.amazonaws.com/dev.twic.ai/,,403,243,443,https://s3-us-west-1.amazonaws.com:443/dev.twic.ai/,https,AmazonS3,application/xml,GET,52.219.192.88,/dev.twic.ai/,764017319,52.219.193.128,2,False,,s3-us-west-1.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-11T00:00:00Z,2024-01-21T23:59:59Z,CN=*.s3-us-west-1.amazonaws.com,*.s3-us-west-1.amazonaws.com,s3-deprecated.us-west-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a7731665aa51cfb8a34632ba05ff0396,9765b2e601b54cda73361d013ab6af19197df90fe4ee10003d4bbd1b86f9feac,True,ctls,s3-us-west-1.amazonaws.com,,Amazon Web Services,,,
https://s3-us-west-1.amazonaws.com/twic.ai/,,403,243,443,https://s3-us-west-1.amazonaws.com:443/twic.ai/,https,AmazonS3,application/xml,GET,52.219.192.88,/twic.ai/,-995025123,52.219.193.128,2,False,,s3-us-west-1.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-11T00:00:00Z,2024-01-21T23:59:59Z,CN=*.s3-us-west-1.amazonaws.com,*.s3-us-west-1.amazonaws.com,s3-deprecated.us-west-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a7731665aa51cfb8a34632ba05ff0396,9765b2e601b54cda73361d013ab6af19197df90fe4ee10003d4bbd1b86f9feac,True,ctls,s3-us-west-1.amazonaws.com,,Amazon Web Services,,,
https://sandbox.plaid.com,Plaid API,200,1912,443,https://sandbox.plaid.com:443,https,nginx,text/html,GET,52.1.192.124,/,188935983,52.70.253.90,40,False,,sandbox.plaid.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-12T00:00:00Z,2024-08-08T23:59:59Z,"CN=sandbox.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US, serialNumber=5185168, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",sandbox.plaid.com,development2.plaid.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,9eeb97a0f06675ed62f820a929ef06fa,a66f0d14999a76c0068997b66525bd9a78e634746002f3f32c08dcb555a9af6a,,ctls,sandbox.plaid.com,,Nginx,,Plaid Inc,
https://ssl.gstatic.com,Error 404 (Not Found)!!1,404,1561,443,https://ssl.gstatic.com:443,https,sffe,text/html,GET,142.250.181.227,/,302920777,2a00:1450:4001:831::2003,12,False,,ssl.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-10T08:21:12Z,2023-10-02T08:21:11Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,094b775d6381284fd7043fc871efdc5c,659210c1a54cc8ad5769aafb5777054e2a82cd6e9c0f3559c21166a97ede41b3,True,ctls,ssl.gstatic.com,,HTTP/3,,,
https://static.zdassets.com,,403,255,443,https://static.zdassets.com:443,https,cloudflare,application/xml,GET,104.18.70.113,/,-1279294674,104.18.72.113,2,False,,static.zdassets.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-10T00:00:00Z,2023-11-09T23:59:59Z,"CN=zdassets.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zdassets.com,*.zdassets.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",77aded12c2ec419c8953798f0ed56f4c,c30b9d6e82b472872ae120ed9387019dc5c720d392f4c9a6bc905190956f34a8,True,ctls,static.zdassets.com,cloudflare,HSTS,True,"Cloudflare, Inc.",
https://storage.googleapis.com,,400,181,443,https://storage.googleapis.com:443,https,UploadServer,application/xml,GET,172.217.16.208,/,1932894636,2a00:1450:4001:808::2010,1,False,,storage.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-03T08:26:53Z,2023-09-25T08:26:52Z,CN=storage.googleapis.com,storage.googleapis.com,storage.googleapis.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,0814a9417a7ff1df15f0ba6b17b17623,2777f261f20372bb741878cf9d11d9cbe762adbe1b65e632675843ffa0c076fe,,ctls,storage.googleapis.com,,HTTP/3,,,
https://v2assets.zopim.io,,403,,443,https://v2assets.zopim.io:443,https,cloudflare,text/plain,GET,104.16.226.33,/,1494302000,104.16.225.33,1,False,,v2assets.zopim.io,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.zopim.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3ace046f4ff7d9871d5a3a41a6dfd5f5,ff0712493cd42489d97401b882ff78b98dcedd6172c100c289e6b30a6f9bf49f,True,ctls,v2assets.zopim.io,cloudflare,Cloudflare,True,"Cloudflare, Inc.",
https://www.google.com/recaptcha/,reCAPTCHA,200,80710,443,https://www.google.com:443/recaptcha/,https,sffe,text/html,GET,142.250.181.228,/recaptcha/,708578229,2a00:1450:4001:810::2004,2009,False,https://csp.withgoogle.com/csp/recaptcha,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-10T08:21:46Z,2023-10-02T08:21:45Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,531b6f0d6764795fb395fb7874cb00a6,9e39587ca471bdddb7c67a1e20d6b44c230f74a20a26c08a1b93762215747ac6,,ctls,www.google.com,,YouTube,,,https://www.google.com/recaptcha/about/
https://www.gstatic.com,Error 404 (Not Found)!!1,404,1561,443,https://www.gstatic.com:443,https,sffe,text/html,GET,142.250.186.99,/,302920777,2a00:1450:4001:806::2003,12,False,,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-10T08:21:12Z,2023-10-02T08:21:11Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,094b775d6381284fd7043fc871efdc5c,659210c1a54cc8ad5769aafb5777054e2a82cd6e9c0f3559c21166a97ede41b3,True,ctls,www.gstatic.com,,HTTP/3,,,
https://www.gstatic.com/recaptcha/,Error 404 (Not Found)!!1,404,1571,443,https://www.gstatic.com:443/recaptcha/,https,sffe,text/html,GET,142.250.186.99,/recaptcha/,302920777,2a00:1450:4001:806::2003,12,False,,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-10T08:21:12Z,2023-10-02T08:21:11Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,094b775d6381284fd7043fc871efdc5c,659210c1a54cc8ad5769aafb5777054e2a82cd6e9c0f3559c21166a97ede41b3,True,ctls,www.gstatic.com,,HTTP/3,,,
https://zendesk-eu.my.sentry.io,Sign In | Sentry,200,13721,443,https://zendesk-eu.my.sentry.io:443,https,nginx,text/html,GET,34.89.128.121,/,-1840324437,34.89.128.121,332,False,sentry.io,zendesk-eu.my.sentry.io,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-22T19:00:10Z,2023-10-20T19:00:09Z,CN=zendesk-eu.my.sentry.io,zendesk-eu.my.sentry.io,zendesk-eu.my.sentry.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,91b35cb7a813a70a5aa586ab5c63028a,a7d318630cda7f763f1f0235a8f67ca43a30b16b92ff136981bae1f885d1c494,,ctls,zendesk-eu.my.sentry.io,google,Python,True,,https://zendesk-eu.my.sentry.io/auth/login/zendesk-eu/
mail.whocoronavirus.org,Error 404 (Not Found)!!1,404,1561,80,http://mail.whocoronavirus.org:80,http,ghs,text/html,GET,172.217.18.19,/,302920777,2a00:1450:4001:80b::2013,12,False,,,,,,,,,,,,,,,,,,,,,,,,,
plus.whocoronavirus.org,Sign in - Google Accounts,200,578233,80,http://plus.whocoronavirus.org:80,http,ESF,text/html,GET,172.217.18.19,/,691713485,2a00:1450:4001:80f::2013,76,False,,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-10T08:21:48Z,2023-10-02T08:21:47Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9f3326ff4593e37a7af6a82ce4c770ba,3234e511b50209b2aff25a93e3fdd14f127b548394740cda2a61fc42cdaa5bfb,True,ctls,accounts.google.com,,HTTP/3,,,https://accounts.google.com/v3/signin/identifier?dsh=S-1493083426%3A1690419949605170&continue=https%3A%2F%2Fplus.google.com%2F&followup=https%3A%2F%2Fplus.google.com%2F&ifkv=AeDOFXiIgno0bHh6ESr0H3sTIuHsHYsV1046GadRvda5OmfvowfqXIY5rVk6vP7gXhkee3fZQsObtw&osid=1&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin
staging.whocoronavirus.org,PTT Movie Rating - 首輪電影,200,90725,80,http://staging.whocoronavirus.org:80,http,nginx/1.22.0,text/html,GET,34.120.61.253,/,-909858089,34.120.61.253,4075,False,,,,,,,,,,,,,,,,,,,,,google,Nginx:1.22.0,True,,http://improvebygame.com/
