new,host,a,cname,soa,status_code,aaaa,cdn,cdn-name,mx,ns,txt,has_internal_ips,internal_ips,caa
,gateway-api-management-mutual-ssl.api.bbc.com,"54.154.43.136, 3.248.51.133, 52.17.229.9","gateway-api-management-mutual-ssl.adb91cb9dbb80cbf.xhst.bbci.co.uk, router.api-management.api.bbc.com, router.api-management.adb91cb9dbb80cbf.xhst.bbci.co.uk, live-api-componen-4up93c6lq321-491884078.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gateway-api-management-mutual-ssl.int.api.bbc.com,"52.17.229.9, 54.154.43.136, 3.248.51.133","gateway-api-management-mutual-ssl.int.adb91cb9dbb80cbf.xhst.bbci.co.uk, router.api-management.api.bbc.com, router.api-management.adb91cb9dbb80cbf.xhst.bbci.co.uk, live-api-componen-4up93c6lq321-491884078.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gateway-api-management-mutual-ssl.stage.api.bbc.com,"52.17.229.9, 3.248.51.133, 54.154.43.136","gateway-api-management-mutual-ssl.stage.adb91cb9dbb80cbf.xhst.bbci.co.uk, router.api-management.api.bbc.com, router.api-management.adb91cb9dbb80cbf.xhst.bbci.co.uk, live-api-componen-4up93c6lq321-491884078.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1053.awsdns-03.org, ns-2023.awsdns-60.co.uk, ns-341.awsdns-42.com, ns-739.awsdns-28.net",,,,
,gateway-api-management-mutual-ssl.test.api.bbc.com,"54.154.43.136, 52.17.229.9, 3.248.51.133","gateway-api-management-mutual-ssl.test.adb91cb9dbb80cbf.xhst.bbci.co.uk, router.api-management.api.bbc.com, router.api-management.adb91cb9dbb80cbf.xhst.bbci.co.uk, live-api-componen-4up93c6lq321-491884078.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gb-teams-sbc1.bbc.com,132.185.158.55,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,gb-teams-sbc2.bbc.com,132.185.158.56,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,gb-teams-sbc3.bbc.com,,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,gb-teams-sbc4.bbc.com,132.185.218.56,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,gn-web-assets.api.bbc.com,"52.222.139.8, 52.222.139.61, 52.222.139.26, 52.222.139.13",static-web-assets.gnl-common.bbcverticals.com,"ns-1547.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,
,h-135-197-5-24.emails.bbc.com,,,,NOERROR,,,,,,,,,
