new,host,ttl,a,soa,ns,status_code,cname,aaaa,txt,cdn,cdn-name
,reginquiries.consumerfinance.gov,900,"18.254.215.169, 182.30.36.72, 18.252.90.129","{'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}","sauthns2.qwest.net, sauthns1.qwest.net",NOERROR,"reginquiries.consumerfinance.gov.00do0000000hjvneag.live.siteforce.com, usa9020.inst.sfdc-pu91w7.siteforce.com",,,,
,reginquiry.consumerfinance.gov,900,"182.30.36.72, 18.254.215.169, 18.252.90.129","{'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}",,NOERROR,"reginquiry.consumerfinance.gov.00do0000000hjvneag.live.siteforce.com, usa9020.inst.sfdc-pu91w7.siteforce.com",,,,
,sblhelp.consumerfinance.gov,900,"18.252.90.129, 18.254.215.169, 182.30.36.72","{'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}","sauthns1.qwest.net, sauthns2.qwest.net",NOERROR,"sblhelp.consumerfinance.gov.00do0000000hjvneag.live.siteforce.com, usa9020.inst.sfdc-pu91w7.siteforce.com",,,,
,search.consumerfinance.gov,900,"107.23.146.145, 54.86.75.48, 3.212.98.165","{'name': 'search.usa.gov', 'ns': 'ns-302.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'search.usa.gov', 'ns': 'ns-302.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'search.usa.gov', 'ns': 'ns-302.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'search.usa.gov', 'ns': 'ns-302.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'search.usa.gov', 'ns': 'ns-302.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,cfpb.sites.infr.search.usa.gov,,,,
,secureapi-dev.consumerfinance.gov,900,"52.222.67.245, 3.32.152.178","{'name': 'lb-gprod-rt.anypointdns.net', 'ns': 'ns-431.awsdns-53.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lb-gprod-rt.anypointdns.net', 'ns': 'ns-431.awsdns-53.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lb-gprod-rt.anypointdns.net', 'ns': 'ns-431.awsdns-53.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lb-gprod-rt.anypointdns.net', 'ns': 'ns-431.awsdns-53.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lb-gprod-rt.anypointdns.net', 'ns': 'ns-431.awsdns-53.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lb-gprod-rt.anypointdns.net', 'ns': 'ns-431.awsdns-53.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,cfpb-govcloud-dlb.lb-gprod-rt.anypointdns.net,,,,
,secureapi-test.consumerfinance.gov,662,,"{'name': 'lb-gprod-rt.anypointdns.net', 'ns': 'ns-431.awsdns-53.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lb-gprod-rt.anypointdns.net', 'ns': 'ns-431.awsdns-53.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lb-gprod-rt.anypointdns.net', 'ns': 'ns-431.awsdns-53.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lb-gprod-rt.anypointdns.net', 'ns': 'ns-431.awsdns-53.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lb-gprod-rt.anypointdns.net', 'ns': 'ns-431.awsdns-53.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lb-gprod-rt.anypointdns.net', 'ns': 'ns-431.awsdns-53.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,cfpb-govcloud-dlb.lb-gprod-rt.anypointdns.net,,,,
,secureapi.consumerfinance.gov,900,"3.32.152.178, 52.222.67.245","{'name': 'lb-gprod-rt.anypointdns.net', 'ns': 'ns-431.awsdns-53.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lb-gprod-rt.anypointdns.net', 'ns': 'ns-431.awsdns-53.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lb-gprod-rt.anypointdns.net', 'ns': 'ns-431.awsdns-53.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lb-gprod-rt.anypointdns.net', 'ns': 'ns-431.awsdns-53.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,cfpb-govcloud-dlb.lb-gprod-rt.anypointdns.net,,,,
,staging.complaintexplorer.consumerfinance.gov,900,23.210.125.57,"{'name': 'dsca.akamaiedge.net', 'ns': 'n0dsca.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732621188, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dsca.akamaiedge.net', 'ns': 'n0dsca.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732621188, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dsca.akamaiedge.net', 'ns': 'n0dsca.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732621188, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dsca.akamaiedge.net', 'ns': 'n0dsca.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732621188, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dsca.akamaiedge.net', 'ns': 'n0dsca.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732621189, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,"complaintexplorer.consumerfinance.gov.edgekey.net, e12759.dsca.akamaiedge.net","2a02:26f0:3500:882::31d7, 2a02:26f0:3500:896::31d7",,,
,story.consumerfinance.gov,900,"182.30.36.72, 18.254.215.169, 18.252.90.129","{'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'sfdc-pu91w7.siteforce.com', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1698936422, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}",,NOERROR,"story.consumerfinance.gov.00do0000000hjvneag.live.siteforce.com, usa9020.inst.sfdc-pu91w7.siteforce.com",,,,
,surveys.consumerfinance.gov,900,23.43.182.11,"{'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732621187, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732621187, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732621189, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732621190, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732621190, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,"vanitycfpb.az1.qualtrics.com, akamaisecure.qualtrics.com.edgekey.net, e8716.b.akamaiedge.net",,,,
,uat.exam.consumerfinance.gov,900,216.12.136.185,"{'name': 'consumerfinance.gov', 'ns': 'sauthns2.qwest.net', 'mailbox': 'abuse.aup.lumen.com', 'serial': 2241114018, 'refresh': 10800, 'retry': 3601, 'expire': 604800, 'minttl': 300}, {'name': 'consumerfinance.gov', 'ns': 'sauthns2.qwest.net', 'mailbox': 'abuse.aup.lumen.com', 'serial': 2241114018, 'refresh': 10800, 'retry': 3601, 'expire': 604800, 'minttl': 300}, {'name': 'consumerfinance.gov', 'ns': 'sauthns2.qwest.net', 'mailbox': 'abuse.aup.lumen.com', 'serial': 2241114018, 'refresh': 10800, 'retry': 3601, 'expire': 604800, 'minttl': 300}, {'name': 'consumerfinance.gov', 'ns': 'sauthns2.qwest.net', 'mailbox': 'abuse.aup.lumen.com', 'serial': 2241114018, 'refresh': 10800, 'retry': 3601, 'expire': 604800, 'minttl': 300}",,NOERROR,,,,,
,www.consumerfinance.gov,300,23.207.109.125,"{'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732621188, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732621188, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732621188, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732621188, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732621188, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}","sauthns2.qwest.net, sauthns1.qwest.net",NOERROR,"sancert.cfpb.gov.edgekey.net, e12759.dscb.akamaiedge.net","2a02:26f0:1180:19e::31d7, 2a02:26f0:1180:18b::31d7",,,
