new,host,ttl,a,soa,status_code,aaaa,txt,cname,cdn,cdn-name,ns,has_internal_ips,internal_ips,mx
[x],domino.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
[x],dpese.fra.lacework.net,259,,"{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8a59, 2606:4700:7::a29f:8959",,,,,,,,
[x],dpp-elasticsearch.fra.lacework.net,300,,"{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
[x],dreiaustria.fra.lacework.net,300,"162.159.137.89, 162.159.138.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8a59, 2606:4700:7::a29f:8959",,,,,,,,
[x],driveback.fra.lacework.net,300,,"{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8a59, 2606:4700:7::a29f:8959",,,,,,,,
[x],dropsolvedocplexcloud.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
[x],drum-155-215-138-27.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8a59, 2606:4700:7::a29f:8959",,,,,,,,
[x],drum-155-215-50-6.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
[x],dsc.fra.lacework.net,300,,"{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8a59, 2606:4700:7::a29f:8959",,,,,,,,
[x],dsl-rome.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
[x],duoclinicbookingsystem.fra.lacework.net,300,"162.159.137.89, 162.159.138.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,
[x],dxctadmini44j18g.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,
[x],dynamite-autopush.fra.lacework.net,1800,,"{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,
[x],e90ca5cc.fra.lacework.net,300,,"{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8a59, 2606:4700:7::a29f:8959",,,,,,,,
[x],ea2.fra.lacework.net,300,,"{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8a59, 2606:4700:7::a29f:8959",,,,,,,,
[x],eaitran3.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,
[x],ebs2-uat-proxy01.fra.lacework.net,300,,"{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
[x],ecmdr-auth.fra.lacework.net,300,"162.159.137.89, 162.159.138.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
[x],ecobytes.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,
[x],ecomp-st.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8a59, 2606:4700:7::a29f:8959",,,,,,,,
[x],edgeray-turn-msgr-shv-01-bcn1.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
[x],edi.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,
[x],edith.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8a59, 2606:4700:7::a29f:8959",,,,,,,,
[x],efeprgtmperf-ams.fra.lacework.net,300,,"{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
[x],effecthouse.fra.lacework.net,300,"162.159.137.89, 162.159.138.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
