input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,webserver,cdn,csp_domains_,tls_wildcard_certificate,final_url,tls_subject_org_,tls_mismatched
https://www.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,www.googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-19T12:53:06Z,2023-08-11T12:53:05Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,3f8ac05f29d7490085103f38814e3add,187e06bc17d09c775b52e4512e5079644beb4bdb262e8a65956842baacbf3d00,ctls,www.googletagmanager.com,443,https://www.googletagmanager.com:443,https,text/html,GET,142.250.186.168,/,302920777,2a00:1450:4001:813::2008,HTTP/3,12,False,,Google Tag Manager,,,True,,,True
https://www.gstatic.com,Error 404 (Not Found)!!1,404,1561,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-19T12:57:42Z,2023-08-11T12:57:41Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7413746c808fa873a6032a283da87fcb,9cad9ade4fa8573dbf2182c566b17175d505d1fed535f7d0c044893d195081b5,ctls,www.gstatic.com,443,https://www.gstatic.com:443,https,text/html,GET,142.250.184.195,/,302920777,2a00:1450:4001:801::2003,HTTP/3,12,False,,sffe,,,True,,,
https://www.youtube.com,YouTube,200,268571,m.youtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-19T12:53:06Z,2023-08-11T12:53:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,445215b2dc12d0ce2131cae978248fc8,e85d3546a46216866031dae34478188a6c9627ed4593b8de4d4ed0e522d9382e,ctls,m.youtube.com,443,https://www.youtube.com:443,https,text/html,GET,142.250.186.78,/,1179099333,2a00:1450:4001:82b::200e,HTTP/3,13,False,,ESF,,,True,https://m.youtube.com/,,True
id.empuls.io,Platform Keterlibatan Karyawan All-In-One | Empuls,200,391525,www.empuls.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T12:37:25Z,2023-07-11T12:37:24Z,CN=fr.empuls.io,fr.empuls.io,www.empuls.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9ffc1cb7117a2ce2e42fe676f1ee44e9,058178ee0bbae7bbb19ecc362dfd5435e81176e8f56fe15bacf49cac82cda8c8,ctls,www.empuls.io,443,https://id.empuls.io:443,https,text/html,GET,151.139.128.10,/,-656456433,151.139.128.11,Weglot,1394,False,,,,,,https://www.empuls.io/id/,,
it.empuls.io,La piattaforma di coinvolgimento dei dipendenti tutto in uno | Empuls,200,393178,www.empuls.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T12:37:25Z,2023-07-11T12:37:24Z,CN=fr.empuls.io,fr.empuls.io,www.empuls.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9ffc1cb7117a2ce2e42fe676f1ee44e9,058178ee0bbae7bbb19ecc362dfd5435e81176e8f56fe15bacf49cac82cda8c8,ctls,www.empuls.io,443,https://it.empuls.io:443,https,text/html,GET,151.139.128.10,/,-1362859556,151.139.128.11,Weglot,1394,False,,,,,,https://www.empuls.io/it/,,
login.empuls.io,"Empuls - Build a happy, motivated & engaged workforce",200,116687,login.empuls.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-15T00:00:00Z,2024-05-13T23:59:59Z,CN=*.empuls.io,*.empuls.io,*.empuls.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5d3b653b8a074d44d924e49d4e3d5343,3fc7c7cf51cb89b7881df94593cb4d52a4418c51e1cc7f0a109f519a28c6df29,ctls,login.empuls.io,443,https://login.empuls.io:443,https,text/html,GET,52.89.4.25,/,-383645952,52.36.27.250,PHP:5.6.40,1001,False,,,,https://www.google.com,True,https://login.empuls.io/signup/,,
ms.empuls.io,Platform Penglibatan Pekerja Semua-Dalam-Satu | Empuls,200,391488,www.empuls.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T12:37:25Z,2023-07-11T12:37:24Z,CN=fr.empuls.io,fr.empuls.io,www.empuls.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9ffc1cb7117a2ce2e42fe676f1ee44e9,058178ee0bbae7bbb19ecc362dfd5435e81176e8f56fe15bacf49cac82cda8c8,ctls,www.empuls.io,443,https://ms.empuls.io:443,https,text/html,GET,151.139.128.11,/,-1289194507,151.139.128.10,Weglot,1394,False,,,,,,https://www.empuls.io/ms/,,
nl.empuls.io,The All-In-One Employee Engagement Platform | Empuls,200,390659,www.empuls.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T12:37:25Z,2023-07-11T12:37:24Z,CN=fr.empuls.io,fr.empuls.io,www.empuls.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9ffc1cb7117a2ce2e42fe676f1ee44e9,058178ee0bbae7bbb19ecc362dfd5435e81176e8f56fe15bacf49cac82cda8c8,ctls,www.empuls.io,443,https://nl.empuls.io:443,https,text/html,GET,151.139.128.11,/,766969848,151.139.128.10,Weglot,1476,False,,,,,,https://www.empuls.io/,,
people.empuls.io,The All-In-One-Employee Engagement Platform | Empuls,200,21060,people.empuls.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-23T14:36:58Z,2023-08-21T14:36:57Z,CN=people.empuls.io,people.empuls.io,people.empuls.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,db81362e7d459c9475f9106d1b15ef31,7ee1a3bc3c72754104bb7d2f3a7e758476a718d26dcf47c3298597d6df3c1f83,ctls,people.empuls.io,443,https://people.empuls.io:443,https,text/html,GET,151.139.128.10,/,821076042,151.139.128.11,Weglot,254,False,,,,,,,,
th.empuls.io,The All-In-One Employee Engagement Platform | Empuls,200,390659,www.empuls.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T12:37:25Z,2023-07-11T12:37:24Z,CN=fr.empuls.io,fr.empuls.io,www.empuls.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9ffc1cb7117a2ce2e42fe676f1ee44e9,058178ee0bbae7bbb19ecc362dfd5435e81176e8f56fe15bacf49cac82cda8c8,ctls,www.empuls.io,443,https://th.empuls.io:443,https,text/html,GET,151.139.128.11,/,1470219591,151.139.128.10,Weglot,1476,False,,,,,,https://www.empuls.io/,,
www.empuls.io,The All-In-One Employee Engagement Platform | Empuls,200,390659,www.empuls.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T12:37:25Z,2023-07-11T12:37:24Z,CN=fr.empuls.io,fr.empuls.io,www.empuls.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9ffc1cb7117a2ce2e42fe676f1ee44e9,058178ee0bbae7bbb19ecc362dfd5435e81176e8f56fe15bacf49cac82cda8c8,ctls,www.empuls.io,443,https://www.empuls.io:443,https,text/html,GET,151.139.128.10,/,1470219591,151.139.128.11,Weglot,1476,False,,,,,,,,
