input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,content_type,final_url,tls_wildcard_certificate,tls_mismatched,csp_domains_,tls_subject_org_,tls_expired
dbeta.robomaster.com,,403,118,dbeta.robomaster.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-25T08:56:27Z,2023-06-26T08:56:27Z,CN=*.robomaster.com,*.robomaster.com,robomaster.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",a39199d403c9a99b43528a50b66b16b7,7e0c1cb069e7d1f57beee4fe7df93c93e5c2b5276b818249853db13c4b945be9,ctls,dbeta.robomaster.com,,443,https://dbeta.robomaster.com:443,https,Tengine,GET,180.163.40.41,/,33159428,180.163.40.38,Tengine,2,False,,application/json,,True,,,,
design.dji.com,DJI 大疆设计 | DJI Design,200,1327,design.dji.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,ctls,design.dji.com,,80,http://design.dji.com:80,http,Tengine,GET,101.226.26.128,/,,101.226.26.138,Tengine,1,False,,text/html,https://design.dji.com/,True,,,,
dev-relay-service.djicdn.com,,404,,dev-relay-service.djicdn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,ctls,dev-relay-service.djicdn.com,,443,https://dev-relay-service.djicdn.com:443,https,Kaede/3.5.3.804 (sz001f0tp),GET,47.107.24.44,/,-1840324437,47.107.24.44,,1,False,,application/oct-stream,,True,,,,
dev.dji.com,DJI Developer,200,24103,developer.dji.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,ctls,developer.dji.com,,80,http://dev.dji.com:80,http,Tengine,GET,163.181.56.169,/,-432591830,163.181.56.171,Vue.js,29,False,,text/html,https://developer.dji.com/,True,,,,
devcn.djicdn.com,,403,262,devcn.djicdn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,ctls,devcn.djicdn.com,,443,https://devcn.djicdn.com:443,https,Tengine,GET,163.181.92.229,/,-432488508,163.181.92.228,Tengine,9,False,,application/xml,,True,,,,
developer-admin.dji.com,,403,118,developer-admin.dji.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,ctls,developer-admin.dji.com,,443,https://developer-admin.dji.com:443,https,nw,GET,34.197.18.84,/,514118889,34.206.254.66,,2,False,,application/json,,True,,https://csp.djicdn.com/_/http-sec-report,,
developer.dji.com,DJI Developer,200,24103,developer.dji.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,ctls,developer.dji.com,,443,https://developer.dji.com:443,https,Tengine,GET,163.181.92.232,/,37401266,163.181.92.225,Vue.js,29,False,,text/html,,True,,,,
devusa.djicdn.com,,403,263,,,,,,,,,,,,,,,,,,,80,http://devusa.djicdn.com:80,http,Tengine,GET,163.181.92.230,/,221047139,163.181.92.228,Tengine,9,False,,application/xml,,,,,,
dji-official-fe.djicdn.com,,403,243,dji-official-fe.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,ctls,dji-official-fe.djicdn.com,cloudfront,443,https://dji-official-fe.djicdn.com:443,https,AmazonS3,GET,13.32.121.47,/,1782255802,13.32.121.56,Amazon Web Services,2,False,True,application/xml,,True,,,,
djicdn.com,djicdn.com,200,1054,djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-11-08T23:59:59Z,CN=www.djicdn.com,www.djicdn.com,www.dji-hobby.com.cn,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,704f78bd3cd5428945d4537daeb35b14,c995b80d590b3a064b2cc8ab4031fd18676b7fe06a154a0f20fb45da52133d49,ctls,djicdn.com,cloudfront,443,https://djicdn.com:443,https,CloudFront,GET,13.32.99.124,/,623627583,13.32.99.99,Amazon Web Services,34,False,True,,,,,,,
djigo-hk2.djiservice.org,,404,58,djigo-hk2.djiservice.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T07:10:35Z,2024-04-11T09:30:44Z,CN=*.djiservice.org,*.djiservice.org,djiservice.org,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b3a6069df7899dc95e425d39fc1a0884,de5bf98ffa8f635012f90ab2c7658fd53baab737369429f4d8db79ac9781ad24,ctls,djigo-hk2.djiservice.org,,443,https://djigo-hk2.djiservice.org:443,https,,GET,47.91.161.236,/,-1644060773,47.91.161.236,,2,False,,application/json,,True,,,,
djigo.djicdn.com,,403,243,,,,,,,,,,,,,,,,,,cloudfront,80,http://djigo.djicdn.com:80,http,AmazonS3,GET,65.9.95.101,/,-1987131009,65.9.95.90,Amazon Web Services,2,False,True,application/xml,,,,,,
djigoaftersale.djiservice.org,,404,58,djigoaftersale.djiservice.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-24T23:59:59Z,CN=*.djiservice.org,*.djiservice.org,djiservice.org,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,edcba1029411fde8c7803b678c35c330,25e36359e992e704d67f7d71d95e621d70e00c16d16fd3857819d5503688a4ae,ctls,djigoaftersale.djiservice.org,cloudfront,443,https://djigoaftersale.djiservice.org:443,https,nw,GET,18.66.112.115,/,-1644060773,2600:9000:223f:8000:14:c0cf:d900:93a1,Amazon Web Services,2,False,True,application/json,,True,,,,
djigoapi.djiservice.org,,200,8,djigoapi.djiservice.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T07:10:35Z,2024-04-11T09:30:44Z,CN=*.djiservice.org,*.djiservice.org,djiservice.org,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b3a6069df7899dc95e425d39fc1a0884,de5bf98ffa8f635012f90ab2c7658fd53baab737369429f4d8db79ac9781ad24,ctls,djigoapi.djiservice.org,,443,https://djigoapi.djiservice.org:443,https,Tengine,GET,163.181.92.228,/,783544787,163.181.92.231,Tengine,1,False,,text/html,,True,,,,
docs.djicdn.com,,403,243,docs.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,ctls,docs.djicdn.com,cloudfront,443,https://docs.djicdn.com:443,https,AmazonS3,GET,13.32.99.6,/,78244919,2600:9000:2251:8e00:13:9bb:1ac0:93a1,Amazon Web Services,2,False,True,application/xml,,True,,,,
dofs-api-vg.dji.com,,404,58,dofs-api-vg.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,ctls,dofs-api-vg.dji.com,cloudfront,443,https://dofs-api-vg.dji.com:443,https,nw,GET,65.9.95.56,/,1310025925,2600:9000:223f:a600:19:d9f:3180:93a1,Amazon Web Services,2,False,True,application/json,,True,,,,
dps-api.djiservice.org,,404,19,dps-api.djiservice.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T07:10:35Z,2024-04-11T09:30:44Z,CN=*.djiservice.org,*.djiservice.org,djiservice.org,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b3a6069df7899dc95e425d39fc1a0884,de5bf98ffa8f635012f90ab2c7658fd53baab737369429f4d8db79ac9781ad24,ctls,dps-api.djiservice.org,,80,http://dps-api.djiservice.org:80,http,,GET,47.97.241.0,/,-138391155,47.97.241.0,,2,False,,text/plain,https://dps-api.djiservice.org/,True,,https://csp.djicdn.com/_/http-sec-report,,
edm.djicdn.com,,403,243,edm.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,ctls,edm.djicdn.com,cloudfront,443,https://edm.djicdn.com:443,https,AmazonS3,GET,65.9.95.49,/,-1048485212,2600:9000:2127:7200:f:e5ca:6200:93a1,Amazon Web Services,2,False,True,application/xml,,True,,,,
email.mailer-store.dji.com,,404,19,email.mailer-store.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-16T13:35:29Z,2023-06-14T13:35:28Z,CN=mailgun.org,mailgun.org,mailgun.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3d169b9a2155b6a3cfa18c1af722bffd,882d45c195b586adc7ddf4167d555da0fce18b30968b745469c6655ad3a6fc34,ctls,email.mailer-store.dji.com,google,443,https://email.mailer-store.dji.com:443,https,,GET,34.102.239.211,/,-138391155,34.102.239.211,,2,False,True,text/plain,,,True,,,
events3.djicdn.com,403 Forbidden,403,238,events3.djicdn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,ctls,events3.djicdn.com,,443,https://events3.djicdn.com:443,https,Tengine,GET,163.181.92.230,/,-352636538,163.181.92.229,Tengine,8,False,,text/html,,True,,,,
explore.djivideos.com,,200,8,explore.djivideos.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-13T07:13:14Z,2024-04-11T12:33:32Z,CN=*.djivideos.com,*.djivideos.com,djivideos.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",bafb806982940be9e9a61e830f1f404a,46504b2459679749835b32ba04f7eedbb27c05c392286d3ee75708b42cd76486,ctls,explore.djivideos.com,,443,https://explore.djivideos.com:443,https,nginx/1.14.0 (Ubuntu),GET,47.89.41.62,/,783544787,47.89.41.62,Ubuntu,1,False,,text/html,,True,,,,
fly-safe.dji.com,DJI FlySafe,200,5379,fly-safe.dji.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,ctls,fly-safe.dji.com,,80,http://fly-safe.dji.com:80,http,Tengine,GET,79.133.177.232,/,848087182,79.133.177.231,Tengine,8,False,,text/html,https://fly-safe.dji.com/,True,,,,
flysafe-public.djicdn.com,DJI FlySafe,200,5379,flysafe-public.djicdn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,ctls,flysafe-public.djicdn.com,,443,https://flysafe-public.djicdn.com:443,https,Tengine,GET,163.181.92.227,/,848087182,163.181.92.228,Tengine,8,False,,text/html,,True,,,,
flysafe-website-us.dji.com,,404,58,flysafe-website-us.dji.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,ctls,flysafe-website-us.dji.com,,443,https://flysafe-website-us.dji.com:443,https,nw,GET,34.206.254.66,/,-1644060773,34.197.18.84,,2,False,,application/json,,True,,,,
flysafe.dji.com,,404,58,flysafe.dji.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,ctls,flysafe.dji.com,,443,https://flysafe.dji.com:443,https,,GET,34.206.254.66,/,200766485,34.197.18.84,,2,False,,text/plain,,True,,,,
focus.djicdn.com,,403,243,focus.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,ctls,focus.djicdn.com,cloudfront,443,https://focus.djicdn.com:443,https,AmazonS3,GET,52.222.236.45,/,1787349102,52.222.236.104,Amazon Web Services,2,False,True,application/xml,,True,,,,
forum.djicdn.com,DJI FORUM,200,47583,forum.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,ctls,forum.dji.com,cloudfront,443,https://forum.djicdn.com:443,https,nginx,GET,65.9.95.16,/,-342272319,2600:9000:20eb:e000:18:24c6:7780:93a1,Nginx,929,False,True,text/html,https://forum.dji.com/,True,,store-api.dji.com,,
forum22.djicdn.com,,403,243,forum22.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,ctls,forum22.djicdn.com,cloudfront,443,https://forum22.djicdn.com:443,https,AmazonS3,GET,65.9.66.14,/,1320812061,2600:9000:206f:c000:8:b19d:a700:93a1,Amazon Web Services,2,False,True,application/xml,,True,,,,
forum44.djicdn.com,,403,243,forum44.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,ctls,forum44.djicdn.com,cloudfront,443,https://forum44.djicdn.com:443,https,AmazonS3,GET,65.9.66.80,/,-1974360292,2600:9000:206f:8800:8:b19d:a700:93a1,Amazon Web Services,2,False,True,application/xml,,True,,,,
games.robomaster.com,,401,27,games.robomaster.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-25T08:56:27Z,2023-06-26T08:56:27Z,CN=*.robomaster.com,*.robomaster.com,robomaster.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",a39199d403c9a99b43528a50b66b16b7,7e0c1cb069e7d1f57beee4fe7df93c93e5c2b5276b818249853db13c4b945be9,ctls,games.robomaster.com,,443,https://games.robomaster.com:443,https,Tengine,GET,114.80.179.172,/,-1663294872,114.80.179.213,Tengine,2,False,,application/json,,True,,https://csp.djicdn.com/_/http-sec-report,,
gw.djiservice.org,Error 404 Not Found,404,243,gw.djiservice.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T07:10:35Z,2024-04-11T09:30:44Z,CN=*.djiservice.org,*.djiservice.org,djiservice.org,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b3a6069df7899dc95e425d39fc1a0884,de5bf98ffa8f635012f90ab2c7658fd53baab737369429f4d8db79ac9781ad24,ctls,gw.djiservice.org,,80,http://gw.djiservice.org:80,http,,GET,8.209.80.36,/,1248101917,8.209.80.36,,12,False,,text/plain,https://gw.djiservice.org/,True,,,,
heimdallr.dji.com,Heimdallr,200,831,heimdallr.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,ctls,heimdallr.dji.com,cloudfront,443,https://heimdallr.dji.com:443,https,,GET,52.222.236.108,/,-1933839978,2600:9000:223e:e200:12:a180:8d80:93a1,HSTS,32,False,True,text/html,,True,,,,
image.dji.com,,200,78,,,,,,,,,,,,,,,,,,cloudflare,443,https://image.dji.com:443,https,nginx,GET,172.64.149.147,/,-1840324437,2606:4700:4400::6812:266d,Nginx,1,False,True,text/html,http://suite7.emarsys.net/docroot.html,,,,,
kr-ag2.dji.com,,200,1208,agms-kr.dji.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,ctls,agms-kr.dji.com,,443,https://kr-ag2.dji.com:443,https,Tengine,GET,47.245.26.98,/,657370677,47.245.26.98,Tengine,5,False,,text/html,https://agms-kr.dji.com/,True,,,,
leancloud.robomaster.com,404 Not Found,404,552,leancloud.robomaster.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2023-04-01T06:57:51Z,2023-06-30T06:57:50Z,CN=leancloud.robomaster.com,leancloud.robomaster.com,leancloud.robomaster.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4787d879aa3be78ab528378c59cd9351,a72e2eda1a53f05239294530f4ba3925ca4146988459a9f7631123d0eb85dec6,ctls,leancloud.robomaster.com,,443,https://leancloud.robomaster.com:443,https,openresty,GET,117.50.4.130,/,1114301902,117.50.4.130,OpenResty,14,False,,text/html,,,,,,
license.dji.com,激活大疆智图,200,1201,license.dji.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,ctls,license.dji.com,,443,https://license.dji.com:443,https,Tengine,GET,163.181.92.230,/,-895678646,163.181.92.231,Tengine,1,False,,text/html,,True,,https://csp.djicdn.com/_/http-sec-report,,
light.skypixel.com,,404,58,light.skypixel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T08:01:52Z,2024-04-18T03:33:03Z,CN=*.skypixel.com,*.skypixel.com,skypixel.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",68bb73a54490fb1ead9d018262a70b52,9ac13a6c544c3a88d98efef797563a5a4c72589f866bb4825fa2387a2e7f9d46,ctls,light.skypixel.com,,80,http://light.skypixel.com:80,http,Tengine,GET,163.181.56.168,/,-1644060773,163.181.56.172,Tengine,2,False,,application/json,https://light.skypixel.com/,True,,,,
link1.dji.com,,200,78,,,,,,,,,,,,,,,,,,,443,https://link1.dji.com:443,https,nginx,GET,217.175.192.2,/,-1840324437,217.175.192.2,Nginx,1,False,,text/html,http://suite7.emarsys.net/docroot.html,,,,,
live-static.djicdn.com,,403,243,live-static.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,ctls,live-static.djicdn.com,cloudfront,443,https://live-static.djicdn.com:443,https,AmazonS3,GET,65.9.95.6,/,-342272319,2600:9000:2127:6c00:10:26bd:e240:93a1,Amazon Web Services,2,False,True,application/xml,,True,,,,
lms.dji.com,,404,61,lms.dji.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,ctls,lms.dji.com,,80,http://lms.dji.com:80,http,Tengine,GET,79.133.177.230,/,-2109136166,79.133.177.225,Tengine,1,False,,application/json,https://lms.dji.com/,True,,,,
