input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_
https://coda-us-west-2-staging-blobs.s3.us-west-2.amazonaws.com,,403,255,,coda-us-west-2-staging-blobs.s3.us-west-2.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-28T23:59:59Z,CN=*.s3-us-west-2.amazonaws.com,*.s3-us-west-2.amazonaws.com,s3-deprecated.us-west-2.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4c5943f3868e788b9bebd073fb792ce8,85d34ef0417d142afc707c81223d336c6aa7c97b1173d51d9d4fa5190af158be,True,ctls,coda-us-west-2-staging-blobs.s3.us-west-2.amazonaws.com,,443,https://coda-us-west-2-staging-blobs.s3.us-west-2.amazonaws.com:443,https,AmazonS3,application/xml,GET,3.5.83.102,/,435072245,,52.218.216.73,Amazon Web Services,2,False,,,
https://coda-us-west-2-staging-packs-upload.s3-accelerate.amazonaws.com,,403,243,,coda-us-west-2-staging-packs-upload.s3-accelerate.amazonaws.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-16T00:00:00Z,2024-01-11T23:59:59Z,CN=*.s3-accelerate.amazonaws.com,*.s3-accelerate.amazonaws.com,*.cf-ofp-eu-west-3c.s3-accelerate.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,642d4642b125c2fede731d7d9cfc8c1b,72340188b464aac10ef9449aacc77d17fee570afc1a8fa756bd5a13478b83933,True,ctls,coda-us-west-2-staging-packs-upload.s3-accelerate.amazonaws.com,cloudfront,443,https://coda-us-west-2-staging-packs-upload.s3-accelerate.amazonaws.com:443,https,AmazonS3,application/xml,GET,18.65.37.72,/,2079560875,,18.65.37.72,Amazon Web Services,2,False,True,,
https://coda-us-west-2-staging-packs.s3.us-west-2.amazonaws.com,,403,243,,coda-us-west-2-staging-packs.s3.us-west-2.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-28T23:59:59Z,CN=*.s3-us-west-2.amazonaws.com,*.s3-us-west-2.amazonaws.com,s3-deprecated.us-west-2.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4c5943f3868e788b9bebd073fb792ce8,85d34ef0417d142afc707c81223d336c6aa7c97b1173d51d9d4fa5190af158be,True,ctls,coda-us-west-2-staging-packs.s3.us-west-2.amazonaws.com,,443,https://coda-us-west-2-staging-packs.s3.us-west-2.amazonaws.com:443,https,AmazonS3,application/xml,GET,52.218.241.1,/,607988794,,52.92.242.130,Amazon Web Services,2,False,,,
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:11Z,2023-10-02T08:21:10Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,cfdd2a66ea8991c3f2f91f40dc09979d,7d05a79814e48a6c7c101d22747c11252dd8bf06349505306f205a97d0a1ca85,True,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,ESF,text/html,GET,142.250.185.138,/,-606046040,,2a00:1450:4001:810::200a,HTTP/3,1,False,,,
https://fonts.gstatic.com,Error 404 (Not Found)!!1,404,1561,,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:12Z,2023-10-02T08:21:11Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,094b775d6381284fd7043fc871efdc5c,659210c1a54cc8ad5769aafb5777054e2a82cd6e9c0f3559c21166a97ede41b3,True,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,216.58.212.131,/,302920777,,2a00:1450:4001:831::2003,HTTP/3,12,False,,,
https://fonts.intercomcdn.com,,403,243,,fonts.intercomcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-29T23:59:59Z,CN=*.intercomcdn.com,*.intercomcdn.com,*.intercomcdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f95b60c97316f403728b1c96679e6b5b,710d11668eee2865e5441f7650219a51966fefbff87b50788ddb8e9b444fa9a2,True,ctls,fonts.intercomcdn.com,cloudfront,443,https://fonts.intercomcdn.com:443,https,AmazonS3,application/xml,GET,18.66.97.2,/,-1305441120,,2600:9000:223c:d200:10:8536:c280:93a1,HTTP/3,2,False,True,,
https://graph.microsoft.com,Microsoft Graph Dev Center | APIs and app development,200,101973,https://web.vortex.data.microsoft.com,developer.microsoft.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-17T21:00:13Z,2024-03-11T21:00:13Z,"CN=developer.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",developer.microsoft.com,developers.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 02, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 02,Microsoft Corporation,831e81cd225dd3986fa81f348c957c9c,1d9ca27edc24a65bb987983ba09c77d8b2c6969768bd0f58eef14aaf4cad9ecb,True,ctls,developer.microsoft.com,,443,https://graph.microsoft.com:443,https,Microsoft-IIS/10.0,text/html,GET,20.190.190.96,/,-263655071,https://developer.microsoft.com/en-us/graph,2603:1027:1:a8::80,Windows Server,1326,False,,,Microsoft Corporation
https://grsm.io,,200,12,,grsm.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-27T00:00:00Z,2023-12-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,grsm.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c70829849f0e1dd576d081580e3d4ba3,7e416e04c65c961575dbd9ec1d97ce1cbd702c3f70c2890dbbe8a25a6167f2b4,True,ctls,grsm.io,cloudflare,443,https://grsm.io:443,https,cloudflare,text/plain,GET,104.18.10.212,/,-622722784,,104.18.11.212,Envoy,1,False,True,,"Cloudflare, Inc."
https://iframe.ly,Your external media embeds - Iframely,200,7189,,iframe.ly,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-22T16:12:31Z,2023-09-20T16:12:30Z,CN=iframe.ly,iframe.ly,iframe.ly,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,56e5c149e1c5f7ef0c126ba41ba8a522,5438634c5b0033ec7de7d0390da93a7160dbcad7d231b0038334207667172368,True,ctls,iframe.ly,,443,https://iframe.ly:443,https,nginx,text/html,GET,13.248.132.76,/,-1927739536,https://iframe.ly/consents,76.223.3.34,Nginx,89,False,,,
https://intercom.help,Knowledge Base Software | Intercom,200,567289,user-data.mutinycdn.com,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,,443,https://intercom.help:443,https,nginx,text/html,GET,13.248.193.164,/,-1840324437,https://www.intercom.com/articles,76.223.11.64,React,21,False,,,
https://js.intercomcdn.com,,403,243,,js.intercomcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-29T23:59:59Z,CN=*.intercomcdn.com,*.intercomcdn.com,*.intercomcdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f95b60c97316f403728b1c96679e6b5b,710d11668eee2865e5441f7650219a51966fefbff87b50788ddb8e9b444fa9a2,True,ctls,js.intercomcdn.com,cloudfront,443,https://js.intercomcdn.com:443,https,AmazonS3,application/xml,GET,65.9.86.73,/,-1088828088,,65.9.86.40,HTTP/3,2,False,True,,
https://login.microsoftonline.com,Sign in to your account,200,44118,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,azure,443,https://login.microsoftonline.com:443,https,,text/html,GET,20.190.160.22,/,-1840324437,https://login.microsoftonline.com/common/oauth2/v2.0/authorize?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&redirect_uri=https%3A%2F%2Fwww.office.com%2Flandingv2&response_type=code%20id_token&scope=openid%20profile%20https%3A%2F%2Fwww.office.com%2Fv2%2FOfficeHome.All&response_mode=form_post&nonce=638265073805638969.N2JhMWFjN2MtZTJjMi00Zjg3LTk3ODMtNGJkZTNkOGY4MDg4ZmU0Nzk0MTQtODllMS00MWZjLWJjOTktM2VlNTM3YzNhMDA4&ui_locales=en-US&mkt=en-US&state=4qvVKZ8wWvUS1jw9zWo7CzzCQOOllMbsko-nWDmWV3EM2Qv8Q7hF1U0T4g3coBiSJ4Uu5izOCyj8bhwWVYaB6sAG3xLluvMtRqGlZFZOzVWYuYP2qK1BvInRrtbxKW1VAyGZVkRahWMEpCfPDUnT8vVuwTW8Q0muGUPCLz0QUTP4lTdtB6fWtTyaBsrKv_DZj8uNZKzyPLdWX_kFvcezfzXYRl4ml-OkYs07Cu9I_Fdr2uUz2QTKnHyZm8OZpkcLBkdprfX_VQujsaRthBHVZw&x-client-SKU=ID_NET6_0&x-client-ver=6.30.1.0,2603:1026:3000:c8::9,HSTS,95,False,True,,Microsoft Corporation
https://p.typekit.net,Adobe Fonts | Explore unlimited fonts,200,157718,,fonts.adobe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-15T00:00:00Z,2023-12-16T23:59:59Z,"CN=*.typekit.com, O=Adobe Inc., L=San Jose, ST=California, C=US",*.typekit.com,typekit.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,dd40db78b9c73dbbb2ae84cef44634b4,cd14431f1c8f86d706d6c7df12191ddac4b741e930a5849abc7d39f262d0621e,True,ctls,fonts.adobe.com,,443,https://p.typekit.net:443,https,nginx,text/html,GET,2.19.126.225,/,1494302000,https://fonts.adobe.com/?ref=tk.com,2a02:26f0:780::210:a469,Ruby on Rails,1813,False,,True,Adobe Inc.
https://partnerlinks.io,,404,10,,partnerlinks.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-06T00:00:00Z,2023-11-06T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,partnerlinks.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",84cef4683700ec19f11210ee07ba7a1a,d55cbaa33f582ea2092451eb0909d329ed96b70b1891e19d48490630203dc64f,True,ctls,partnerlinks.io,cloudflare,443,https://partnerlinks.io:443,https,cloudflare,text/plain,GET,104.18.31.133,/,-1840324437,,2606:4700::6812:1f85,Cloudflare,1,False,True,,"Cloudflare, Inc."
https://pixel.pvd.to,,200,17,,pixel.pvd.to,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-18T13:13:36Z,2023-10-16T13:13:35Z,CN=pvd.to,pvd.to,*.pvd.to,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,75453bd99ff307a22f4b82c0dcaf222e,5b979f80c188fa25aa125adbd5c9fc650c576cbcc46567d3aecc80ca1106393b,True,ctls,pixel.pvd.to,cloudflare,443,https://pixel.pvd.to:443,https,cloudflare,application/json,GET,104.22.78.85,/,-1840324437,,2606:4700:10::6816:4f55,Heroku,1,False,True,,
https://pixelconnector.pixeltracker.co,404 Not Found,404,232,,pixelconnector.pixeltracker.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-11T00:00:00Z,2024-03-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.pixeltracker.co,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e64366728a63d1aaf72a6dd37cec7733,ef7c762d8b4e7e135de91c286a3a87403d76c0b0358898f290d92fe7187fdc13,True,ctls,pixelconnector.pixeltracker.co,cloudflare,443,https://pixelconnector.pixeltracker.co:443,https,cloudflare,text/html,GET,104.18.20.104,/,-986470109,,104.18.21.104,HSTS,5,False,True,,"Cloudflare, Inc."
https://sdk.iad-05.braze.com,Log in to Braze | Braze,200,3105,,dashboard-05.braze.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-04T15:25:09Z,2024-01-05T15:25:08Z,CN=*.braze.com,*.braze.com,*.braze.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,ee1647d635edee92c7ce59ac6756cfbd,d6d298c1e65495d05efe4150c93e7efd2befd31ef368af03771c1987760c09f3,True,ctls,dashboard-05.braze.com,fastly,443,https://sdk.iad-05.braze.com:443,https,,text/html,GET,151.101.2.133,/,1280461262,https://dashboard-05.braze.com/sign_in,151.101.194.133,Varnish,87,False,True,,
https://sink.pdst.fm,,200,43,,sink.pdst.fm,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-23T14:18:04Z,2023-09-21T15:03:13Z,CN=sink.pdst.fm,sink.pdst.fm,sink.pdst.fm,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,7f7cbff468366292184947d66fb49508,aab6d40212f54eec0211afb95d791e7dcc476efa7d7baea55af0a4a8e064608b,,ctls,sink.pdst.fm,,443,https://sink.pdst.fm:443,https,,image/gif,GET,142.250.184.211,/,-770443431,,2a00:1450:4001:830::2013,Google Cloud CDN,1,False,,,
https://staging.coda.io,"The doc for everyone, replace dozens of apps - Coda",200,159144,https://login.microsoftonline.com,staging.coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T00:00:00Z,2024-08-06T23:59:59Z,CN=staging.coda.io,staging.coda.io,*.staging.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e94fa9ca452267b9184c38d5e23051b6,a1999d474f721746b5ead56e32a748bbc5edcdb3aeb8b8f2445cc12335ba2125,True,ctls,staging.coda.io,cloudfront,443,https://staging.coda.io:443,https,CloudFront,text/html,GET,99.86.4.107,/,-1840324437,,99.86.4.85,YouTube,110,False,True,,
https://staging.codacontent.io,,403,146,,staging.codacontent.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T00:00:00Z,2024-07-31T23:59:59Z,CN=staging.codacontent.io,staging.codacontent.io,staging.codacontent.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,e255bbb072976a7146ff8d15756b0dbd,a5c51ab5a5e7c9a5f2a041d781f48731ace4c63e862c1b76fdad9c34afabad99,,ctls,staging.codacontent.io,cloudfront,443,https://staging.codacontent.io:443,https,CloudFront,text/xml,GET,13.32.145.108,/,-13968365,,13.32.145.117,HTTP/3,1,False,True,,
https://staging.codahosted.io,,404,,,staging.codahosted.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-18T00:00:00Z,2024-05-16T23:59:59Z,CN=staging.codahosted.io,staging.codahosted.io,staging.codahosted.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8eb3d9074c1a2aa29f405f8c29af577c,98aa941bd5d13d4b8ff8e8da94fefe9c16bb779d63a099cade13e7f5c397ca29,,ctls,staging.codahosted.io,cloudfront,443,https://staging.codahosted.io:443,https,CloudFront,,GET,13.225.78.98,/,-1840324437,,13.225.78.96,HTTP/3,1,False,True,,
https://stats.g.doubleclick.net,Analytics Tools & Solutions for Your Business - Google Analytics,200,118570,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:16:18Z,2023-10-02T08:16:17Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,dae25a43a6936128ed1b8afa4c2d653b,d9400a529522e19c31ee576709e351b1773254f9bfac91a668c893a61999d5fa,True,ctls,marketingplatform.google.com,,443,https://stats.g.doubleclick.net:443,https,sffe,text/html,GET,64.233.184.154,/,302920777,https://marketingplatform.google.com/about/analytics/,2a00:1450:400c:c08::9d,HTTP/3,1833,False,,,
https://tracker.pixeltracker.co,,200,27,,tracker.pixeltracker.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-11T00:00:00Z,2024-03-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.pixeltracker.co,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e64366728a63d1aaf72a6dd37cec7733,ef7c762d8b4e7e135de91c286a3a87403d76c0b0358898f290d92fe7187fdc13,True,ctls,tracker.pixeltracker.co,cloudflare,443,https://tracker.pixeltracker.co:443,https,cloudflare,text/html,GET,104.18.21.104,/,2028370544,,104.18.20.104,Google Cloud Storage,2,False,True,,"Cloudflare, Inc."
https://uploads.intercomcdn.com,,403,243,,uploads.intercomcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-29T23:59:59Z,CN=*.intercomcdn.com,*.intercomcdn.com,*.intercomcdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f95b60c97316f403728b1c96679e6b5b,710d11668eee2865e5441f7650219a51966fefbff87b50788ddb8e9b444fa9a2,True,ctls,uploads.intercomcdn.com,cloudfront,443,https://uploads.intercomcdn.com:443,https,AmazonS3,application/xml,GET,143.204.215.76,/,209001694,,143.204.215.82,HTTP/3,2,False,True,,
https://us-central1-adaptive-growth.cloudfunctions.net,404 Page not found,404,272,,us-central1-adaptive-growth.cloudfunctions.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:17:22Z,2023-10-02T08:17:21Z,CN=misc.google.com,misc.google.com,*.apigee.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,667ace6e617403084e1c9a97a32df52e,5356a1c240b41885e49c9bd8f53e46740ccceb27820f6dc9ef3fb043e8b3a19c,True,ctls,us-central1-adaptive-growth.cloudfunctions.net,,443,https://us-central1-adaptive-growth.cloudfunctions.net:443,https,,text/html,GET,216.239.36.54,/,-1320609807,,2001:4860:4802:36::36,HTTP/3,11,False,,True,
https://use.fontawesome.com,,403,243,,use.fontawesome.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T05:06:19Z,2023-10-02T05:06:18Z,CN=use.fontawesome.com,use.fontawesome.com,use.fontawesome.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,42f0203a2e2ac120239816424541674f,b9982cb614dd6df3d05f59f47d4bc1ebeab972ed5cc2c4f923818217c2b393f2,,ctls,use.fontawesome.com,cloudflare,443,https://use.fontawesome.com:443,https,cloudflare,application/xml,GET,172.64.133.15,/,1703721591,,2606:4700:e2::ac40:850f,HTTP/3,2,False,True,,
https://use.typekit.net,Adobe Fonts | Explore unlimited fonts,200,157718,,fonts.adobe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-15T00:00:00Z,2023-12-16T23:59:59Z,"CN=*.typekit.com, O=Adobe Inc., L=San Jose, ST=California, C=US",*.typekit.com,typekit.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,dd40db78b9c73dbbb2ae84cef44634b4,cd14431f1c8f86d706d6c7df12191ddac4b741e930a5849abc7d39f262d0621e,True,ctls,fonts.adobe.com,,443,https://use.typekit.net:443,https,nginx,text/html,GET,2.16.186.59,/,-236991280,https://fonts.adobe.com/,2a02:26f0:1700:15::b856:fb97,Ruby on Rails,1813,False,,True,Adobe Inc.
https://www.facebook.com,Facebook - log in or sign up,200,59029,www.facebook.com,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-11T00:00:00Z,2023-08-09T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,9f13e589a25f46657ba1d05af0f66918,043353b10927f913f59f83d860551255df151d10ea2417e98cb9b3e27e7093f1,True,ctls,m.facebook.com,,443,https://www.facebook.com:443,https,,text/html,GET,157.240.234.35,/,142313513,https://m.facebook.com/?wtsid=rdr_0WltqfgTLoJhl8BwG,2a03:2880:f176:84:face:b00c:0:25de,HTTP/3,19,False,,,"Meta Platforms, Inc."
origin.head.coda.io,403 Forbidden,403,118,,origin.head.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-01-02T23:59:59Z,CN=head.coda.io,head.coda.io,*.head.coda.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,160a9ce0082caa8f79453a7227337294,f53b926aaa585a9a92359d2e48d6c10495be0f65f4a0f75c0f2f3ef525f7814b,True,ctls,origin.head.coda.io,,443,https://origin.head.coda.io:443,https,awselb/2.0,text/html,GET,44.237.170.76,/,1344368402,,2600:1f14:6e8:8901:d98a:cae1:3e2b:993,,7,False,,,
origin.staging.coda.io,403 Forbidden,403,118,,origin.staging.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2024-01-02T23:59:59Z,CN=staging.coda.io,staging.coda.io,*.staging.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,344763ff118addce91e345478e90ee98,6029712bf55ff3a2cae5026b820e4a13851071b49f2898918f145d84b4170f8d,True,ctls,origin.staging.coda.io,,443,https://origin.staging.coda.io:443,https,awselb/2.0,text/html,GET,52.24.57.83,/,1344368402,,52.89.143.9,,7,False,,,
packs-auth.coda.io,,464,,,packs-auth.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-10-13T23:59:59Z,CN=coda.io,coda.io,*.coda.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,e8eeb8665c7180333b669ec985b92877,c208e957c0a9d7ab02e0f9629071fad5d2a5d675f02407b16fe6314b6c441f5a,True,ctls,packs-auth.coda.io,,443,https://packs-auth.coda.io:443,https,awselb/2.0,,GET,35.165.49.186,/,-1840324437,,35.165.50.124,,1,False,,,
packs-auth.head.coda.io,,464,,,packs-auth.head.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-01-02T23:59:59Z,CN=head.coda.io,head.coda.io,*.head.coda.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,160a9ce0082caa8f79453a7227337294,f53b926aaa585a9a92359d2e48d6c10495be0f65f4a0f75c0f2f3ef525f7814b,True,ctls,packs-auth.head.coda.io,,443,https://packs-auth.head.coda.io:443,https,awselb/2.0,,GET,54.69.40.37,/,-1840324437,,52.24.183.150,,1,False,,,
statsig.coda.io,,404,63,*.statsig.com,statsig.coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-18T00:00:00Z,2024-08-16T23:59:59Z,CN=statsig.coda.io,statsig.coda.io,statsig.coda.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,367affa7242fb03ee9b1ce5fe1b85e1e,3cce98681281a2085ea185ec7149cd1c752515a2b13abd473e2dedd88c66925f,,ctls,statsig.coda.io,cloudfront,443,https://statsig.coda.io:443,https,istio-envoy,application/json,GET,52.222.139.121,/,-1793755213,,52.222.139.51,HTTP/3,1,False,True,,
teams.microsoft.com,checking your credentials..,200,6084,wss://stateservice.gcc.osi.office365.us,teams.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-18T22:55:39Z,2024-05-12T22:55:39Z,"CN=teams.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",teams.microsoft.com,teams.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,09b85c610087f1b081f5b79a5be6d13b,cb1b1ed9bc8a844e235742d9886753c21063fc847565c7ac5c19caf2be49249f,,ctls,teams.microsoft.com,,443,https://teams.microsoft.com:443,https,,text/html,GET,52.113.194.132,/,-1754922028,,2620:1ec:42::132,HSTS,174,False,,,Microsoft Corporation
www.coda.io,"The doc for everyone, replace dozens of apps - Coda",200,167529,https://cdn.sprig.com,coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-08-10T23:59:59Z,CN=coda.io,coda.io,*.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ba620e03a8f0233b6d69e302190c44d6,a837a9f09bef3b29f74807d679f1d31464dfaedb1982005a598563716c671311,True,ctls,coda.io,cloudfront,443,https://www.coda.io:443,https,CloudFront,text/html,GET,13.32.27.77,/,-1840324437,https://coda.io:443/,13.32.27.116,YouTube,110,False,True,,
