input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,final_url,tls_subject_org_
msoid.atg.se,Sign in to your account,200,203774,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,azure,443,https://msoid.atg.se:443,https,,text/html,GET,20.190.159.2,/,-1840324437,20.190.159.75,HSTS,174,False,True,,https://login.microsoftonline.com/common/oauth2/v2.0/authorize?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&redirect_uri=https%3A%2F%2Fwww.office.com%2Flandingv2&response_type=code%20id_token&scope=openid%20profile%20https%3A%2F%2Fwww.office.com%2Fv2%2FOfficeHome.All&response_mode=form_post&nonce=638197115537499477.ZjI3NmNiMGUtNTMyMS00ZDEyLWIzNmQtMGU3YWZkMTNhYTZiMDUyMWE3OGEtYmUyMS00OGE5LTk3MTgtMzc4ZWUxNGMwMzAw&ui_locales=en-US&mkt=en-US&state=XvATWFtWUtY0AJ5TAsuChTfeai1KHgEVF9Svx2yaCkpvH6LjgSoXR1hsiycXkPSSH9IFo-2ML2AH9b3PhTCrhzwhcjRiaLMrnXAnfWipCLbmQIgyCvhr7Kc1NaFPofrHwS7Kw1E-hCxNv66K7DR-IQzRxREPfvTG2-qLYnXhu2HlJyRwX00XevJDxFCXFGxNpBiqpSjCBNalZKz5JCrUcAK0LkRBgHTAa3k4Ga4JW8Sy7x1U_D4NUgmVRJWrNuHlNDF_783Xz7-H7n9vhgqhDg&x-client-SKU=ID_NET6_0&x-client-ver=6.26.1.0,Microsoft Corporation
prod-hamilton-api.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://prod-hamilton-api.dev.atg.se:443,https,Server,text/html,GET,143.204.215.6,/,-249106993,143.204.215.51,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
remote.atg.se,BIG-IP logout page,200,5274,remote.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-03T00:00:00Z,2023-06-03T23:59:59Z,"CN=*.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE",*.atg.se,atg.se,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5f5c6ac81e5567d97fd4096e2bb4bbce,5dfdbdea19ed50e2e662dd78378df8c6789383a1a925893bea37cf0177f77baa,ctls,remote.atg.se,,443,https://remote.atg.se:443,https,BigIP,text/html,GET,185.134.13.25,/,878647854,185.134.13.25,F5 BigIP,131,False,,True,https://remote.atg.se/my.logout.php3?errorcode=19,AB Trav och Galopp
search.atg.se,,403,23,search.atg.se,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-17T00:00:00Z,2024-04-14T23:59:59Z,CN=search.atg.se,search.atg.se,search.atg.se,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,54ea8547794b1282557e81b9bbfd3b94,af4a4a49702d7f3e6673ea298b49dfeca9e7b4d5bead97340d42843a52fd87f5,ctls,search.atg.se,cloudfront,443,https://search.atg.se:443,https,,application/json,GET,18.66.122.65,/,968070783,18.66.122.67,Amazon Web Services,1,False,True,,,
spela.atg.se,ATG,200,16241,www.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=www.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE, serialNumber=5561804161, businessCategory=Private Organization, jurisdictionCountry=SE, businessCategory=Private Organization, jurisdictionCountry=SE",www.atg.se,atg.se,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,a2e7108b25190c0aa3eb9f6414ad2a6d,d20af34aed0e3922d6cb51cb7ce0ef33fbb517fd17e73c5e4368db5d772e7e09,ctls,www.atg.se,,80,http://spela.atg.se:80,http,,text/html,GET,195.198.34.108,/,1013888184,195.198.34.108,Varnish:5.2,97,False,,,https://www.atg.se/?originsite=spela,AB Trav och Galopp
sport.hastsportenshus.atg.se,,404,,,,,,,,,,,,,,,,,,,azure,80,http://sport.hastsportenshus.atg.se:80,http,,,GET,52.149.215.200,/,-1840324437,52.149.215.200,,1,False,True,,,
store-997-qs.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,80,http://store-997-qs.dev.atg.se:80,http,Server,text/html,GET,143.204.215.6,/,755278208,143.204.215.51,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
stripe.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://stripe.dev.atg.se:443,https,Server,text/html,GET,65.9.95.111,/,-329062407,65.9.95.116,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
test1.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://test1.dev.atg.se:443,https,Server,text/html,GET,143.204.215.51,/,-583163573,143.204.215.2,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
tor165-183-pdd.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://tor165-183-pdd.dev.atg.se:443,https,Server,text/html,GET,143.204.215.51,/,1946502472,143.204.215.6,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
tor5.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,80,http://tor5.dev.atg.se:80,http,Server,text/html,GET,143.204.215.51,/,-1938623072,143.204.215.6,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
tor54-pdd.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://tor54-pdd.dev.atg.se:443,https,Server,text/html,GET,143.204.215.2,/,402755058,143.204.215.79,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
tor66-119-pda.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,80,http://tor66-119-pda.dev.atg.se:80,http,Server,text/html,GET,65.9.95.84,/,1669771106,65.9.95.116,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
uncover-tammyduckworth.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://uncover-tammyduckworth.dev.atg.se:443,https,Server,text/html,GET,65.9.95.111,/,444165256,65.9.95.116,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
v1beta.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://v1beta.dev.atg.se:443,https,Server,text/html,GET,143.204.215.79,/,495660136,143.204.215.2,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
v1web0.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,80,http://v1web0.dev.atg.se:80,http,Server,text/html,GET,143.204.215.6,/,-1813573240,143.204.215.79,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
www.atg.se,ATG,200,16241,www.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=www.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE, serialNumber=5561804161, businessCategory=Private Organization, jurisdictionCountry=SE, businessCategory=Private Organization, jurisdictionCountry=SE",www.atg.se,atg.se,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,a2e7108b25190c0aa3eb9f6414ad2a6d,d20af34aed0e3922d6cb51cb7ce0ef33fbb517fd17e73c5e4368db5d772e7e09,ctls,www.atg.se,,80,http://www.atg.se:80,http,,text/html,GET,195.198.34.30,/,1013888184,195.198.34.30,Varnish:5.2,97,False,,,https://www.atg.se/,AB Trav och Galopp
