new,host,a,mx,soa,ns,txt,status_code,aaaa,cname,has_internal_ips,internal_ips,cdn,cdn-name,caa
,ticketrechner.gulp.de,"199.60.103.2, 199.60.103.254",,"jerry.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,"2606:2c40::c73c:67fe, 2606:2c40::c73c:6702","3832373.group23.sites.hubspot.net, group23.sites.hscoscdn20.net",,,,,
,updatebeta.mta-sts.gulp.ch,"52.48.213.67, 52.16.150.197, 54.195.118.103",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
,videoaccountssluploadspanel.10jahre.gulp.ch,"52.48.213.67, 52.16.150.197, 54.195.118.103",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com","ns-1126.awsdns-12.org, ns-1669.awsdns-16.co.uk, ns-457.awsdns-57.com, ns-818.awsdns-38.net",,NOERROR,,www.gulp.ch,,,,,
,view.reply.gulp.de,13.111.169.235,,"ns-376.awsdns-47.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,virtru.prod.gulp.de,3.248.120.84,gw.virtru.prod.gulp.de,"ns-1576.awsdns-05.co.uk, awsdns-hostmaster.amazon.com","ns-1054.awsdns-03.org, ns-1576.awsdns-05.co.uk, ns-492.awsdns-61.com, ns-585.awsdns-09.net",v=spf1 ip4:3.248.104.63/32 ip4:3.248.120.84/32 -all,NOERROR,,,,,,,
,w.gulp.ch,,,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
,web-bid47mh.mta-sts.gulp.ch,"54.195.118.103, 52.16.150.197, 52.48.213.67",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
,www-cache.dev.gulp.de,"34.252.47.251, 54.78.209.123, 52.208.209.171",,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/frontend-cache/frontend-cache-ingress-aws",NOERROR,,,,,,,
,www-cache.prod.gulp.de,"52.48.213.67, 52.16.150.197, 54.195.118.103",,"ns-1465.awsdns-55.org, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/frontend-cache/frontend-cache-ingress-aws",NOERROR,,,,,,,
,www-cache.stage.gulp.de,"34.250.101.249, 52.30.52.254, 34.249.75.229",,"ns-1741.awsdns-25.co.uk, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/frontend-cache/frontend-cache-ingress-aws",NOERROR,,,,,,,
,www.10jahre.gulp.ch,"52.48.213.67, 54.195.118.103, 52.16.150.197",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
,www.ch.prod.gulp.de,188.174.236.213,,"ns-1465.awsdns-55.org, awsdns-hostmaster.amazon.com","ns-1465.awsdns-55.org, ns-1736.awsdns-25.co.uk, ns-62.awsdns-07.com, ns-780.awsdns-33.net",,NOERROR,,,,,,,
,www.dev.gulp.de,"54.78.209.123, 34.252.47.251, 52.208.209.171",,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,www.gulp.ch,"54.195.118.103, 52.48.213.67, 52.16.150.197",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,www.gulp.de,"52.16.150.197, 54.195.118.103, 52.48.213.67",,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,www.stage.gulp.ch,"34.249.75.229, 52.30.52.254, 34.250.101.249",,"ns-63.awsdns-07.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,"awstrust.com, amazonaws.com, letsencrypt.org, amazon.com, amazontrust.com"
,www.stage.gulp.de,"52.30.52.254, 34.249.75.229, 34.250.101.249",,"ns-1741.awsdns-25.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,www.test.gulp.ch,172.31.22.104,,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com","ns-1488.awsdns-58.org, ns-1722.awsdns-23.co.uk, ns-37.awsdns-04.com, ns-869.awsdns-44.net",,NOERROR,,proxy.dev.gulp.de,True,172.31.22.104,,,
,www2.gulp.de,"52.48.213.67, 54.195.118.103, 52.16.150.197",,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/frontend-cache/frontend-cache-ingress-aws",NOERROR,,,,,,,
,www3.dev.gulp.ch,,,"ns-1560.awsdns-03.co.uk, awsdns-hostmaster.amazon.com","ns-135.awsdns-16.com, ns-1436.awsdns-51.org, ns-1560.awsdns-03.co.uk, ns-844.awsdns-41.net","heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/frontend-cache/frontend-cache-ingress-aws",NOERROR,,,,,,,
,www3.gulp.de,,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com","ns-1106.awsdns-10.org, ns-1783.awsdns-30.co.uk, ns-365.awsdns-45.com, ns-928.awsdns-52.net","heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/ingress-external",NOERROR,,,,,,,
,www3.prod.gulp.de,,,"ns-1465.awsdns-55.org, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/drupal/drupal-ingress",NOERROR,,,,,,,
