new,host,a,soa,ns,txt,status_code,cdn,cdn-name,aaaa,cname,has_internal_ips,internal_ips,mx
,stg-apigw01.aws.ovo.id,"104.18.43.236, 172.64.144.20","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::ac40:9014, 2606:4700:4400::6812:2bec",stg-apigw01.aws.ovo.id.cdn.cloudflare.net,,,
,stg-gcp-apigw.aws.ovo.id,34.102.252.78,"ns-2018.awsdns-60.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,google,,,,,
,stg-verification.aws.ovo.id,"104.18.43.236, 172.64.144.20","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::6812:2bec, 2606:4700:4400::ac40:9014",stg-verification.aws.ovo.id.cdn.cloudflare.net,,,
,stg-verification.cp6.ovo.id,10.38.40.141,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,True,10.38.40.141,
,storage-dududev.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700::6811:3914, 2606:4700::6811:3a14",storage-dududev.ovo.id.cdn.cloudflare.net,,,
,storage2-loyalty-image.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700::6811:3914, 2606:4700::6811:3a14",storage2-loyalty-image.ovo.id.cdn.cloudflare.net,,,
,stream.ovo.id,139.255.74.197,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,summary.ovo.id,,"ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,,,,summary.ovo.id.cdn.cloudflare.net,,,
,taralite.com,"172.64.145.105, 104.18.42.151","elliot.ns.cloudflare.com, dns.cloudflare.com","elliot.ns.cloudflare.com, nina.ns.cloudflare.com","atlassian-domain-verification=00wUdeMGfaC3KOVDKPVrhDoQ8DxSQ73ynhwLhg8WNdE1ZMX7ou3xrpWDmtUh65al, google-site-verification=4VZo7L-ieI2GCPV3b9HNMi88S0rvQsn4qByoZpW06sI, google-site-verification=Hnzwv4yJ20bUU8sQQr64eXgd3n8Vqw1qIh8S8pVBszg, google-site-verification=VEJsJ7wXbGYRqCDPytE4nPx4YuKG-lD4sQfmk4i8_Xk, google-site-verification=jnuO14qtLPFTDZznsYgxPMgYHYiONYBrth0SMsY7YTk, v=spf1 a mx include:_spf.google.com include:spf.mandrillapp.com include:_spf.elasticemail.com ~all",NOERROR,True,cloudflare,,,,,
,tracker.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,,tracker.ovo.id.cdn.cloudflare.net,,,
,tracking.taralite.com,"54.38.226.140, 164.132.95.123, 46.105.88.234, 94.23.161.19, 188.165.1.80","ns-270.awsdns-33.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,api.elasticemail.com,,,
,vcc.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,
,verification.aws.ovo.id,"172.64.144.20, 104.18.43.236","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::6812:2bec, 2606:4700:4400::ac40:9014",verification.aws.ovo.id.cdn.cloudflare.net,,,
,wallet.ovo.id,10.40.195.22,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,True,10.40.195.22,
,web-dududev.ovo.id,"104.17.58.20, 104.17.57.20","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700::6811:3a14, 2606:4700::6811:3914",web-dududev.ovo.id.cdn.cloudflare.net,,,
,webview.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700::6811:3a14, 2606:4700::6811:3914",webview.ovo.id.cdn.cloudflare.net,,,
,www.dev-borrowerv2.taralite.com,172.217.16.208,"ns1.google.com, dns-admin.google.com",,,NOERROR,,,2a00:1450:4001:806::2010,c.storage.googleapis.com,,,
,www.ovo.id,"104.17.58.20, 104.17.57.20","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700::6811:3a14, 2606:4700::6811:3914",www.ovo.id.cdn.cloudflare.net,,,
,www.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,
,xtramile.ovo.id,103.85.66.59,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
