new,host,a,soa,status_code,cname,ns,has_internal_ips,internal_ips,cdn,cdn-name,aaaa,mx,txt,caa
[x],beta-tls.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],beta-z2dxfvaxoqablrj7.tw.razorpay.com,,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],betacdn.razorpay.com,"99.86.4.77, 99.86.4.89, 99.86.4.42, 99.86.4.117","ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
[x],betasite.razorpay.com,"52.222.139.3, 52.222.139.127, 52.222.139.55, 52.222.139.21","ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1400.awsdns-47.org, ns-1939.awsdns-50.co.uk, ns-723.awsdns-26.net, ns-74.awsdns-09.com",,,True,cloudfront,,,,
[x],bflonygo-ems.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bid457x.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bid469y.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bid46j0.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bid46u2.tw.razorpay.com,,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bid47m2.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bid47tf.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bid47w5.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],blade.razorpay.com,,"ns-314.awsdns-39.com, awsdns-hostmaster.amazon.com",NOERROR,"domains.chromatic.com, chromatic.domains.qloaked.com",,,,True,google,,,,
[x],bldg1iptv31.tw.razorpay.com,,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bluetango.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
