new,host,a,cname,soa,status_code,aaaa,mx,ns,txt,cdn,cdn-name
,9.kinepolis.ch,,kinepolis.ch,,NOERROR,"2a02:26f0:64::210:6bc2, 2a02:26f0:64::210:6b89",kinepolis-ch.mail.protection.outlook.com,"a13-66.akam.net, a4-67.akam.net, a6-66.akam.net, a24-67.akam.net, a5-66.akam.net, a1-67.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, MS=ms57753331",,
,96.kinepolis.ch,"184.87.173.194, 184.87.173.202, 193.108.91.67, 72.246.46.67, 95.100.168.66, 23.211.133.66, 2.22.230.66, 2.16.130.67",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2600:1408:7400::17c7:4758, 2600:1408:7400::17c7:4733, 2600:1401:2::43, 2600:1401:1::42",kinepolis-ch.mail.protection.outlook.com,"a4-67.akam.net, a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net, a1-67.akam.net","facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, MS=ms57753331, v=spf1 include:spf.kinepolis.com -all",,
,a.kinepolis.ch,"23.55.163.5, 23.55.163.8",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis-ch.mail.protection.outlook.com,"a13-66.akam.net, a5-66.akam.net, a24-67.akam.net, a1-67.akam.net, a6-66.akam.net, a4-67.akam.net","google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, MS=ms57753331, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6",,
,a.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,a.kinepolis.lu,"23.32.238.82, 23.32.238.72",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis-lu.mail.protection.outlook.com,"a24-67.akam.net, a13-66.akam.net, a6-66.akam.net, a1-67.akam.net, a5-66.akam.net, a4-67.akam.net","google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=, v=spf1 include:spf.kinepolis.com -all",,
,a02.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,a1.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,a1.kinepolis.fr,"23.53.40.114, 23.53.40.122",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:7100::1720:ee52, 2a02:26f0:7100::1720:ee48",kinepolis-fr.mail.protection.outlook.com,"a4-67.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net, a5-66.akam.net, a1-67.akam.net","google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, v=spf1 include:spf.kinepolis.com -all, MS=ms46281805",,
,a1covid19.kinepolis.fr,"23.32.238.82, 23.32.238.72",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis-fr.mail.protection.outlook.com,"a1-67.akam.net, a4-67.akam.net, a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net","MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
,a2.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,abc.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,about.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,ac.kinepolis.ch,"2.16.238.24, 2.16.238.23",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:480:3::210:ee94, 2a02:26f0:480:3::210:ee8d",kinepolis-ch.mail.protection.outlook.com,"a13-66.akam.net, a5-66.akam.net, a4-67.akam.net, a24-67.akam.net, a1-67.akam.net, a6-66.akam.net","MS=ms57753331, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, v=spf1 include:spf.kinepolis.com -all",,
,ac.kinepolis.lu,"23.76.204.149, 23.76.204.146",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:b200::1748:fcab, 2a02:26f0:b200::1748:fc98",kinepolis-lu.mail.protection.outlook.com,"a13-66.akam.net, a24-67.akam.net, a6-66.akam.net, a1-67.akam.net, a4-67.akam.net, a5-66.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=",,
,acc.kinepolis.be,188.93.155.232,,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,,
,acc.kinepolis.com,77.73.101.134,,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,acc2.kinepolis.com,188.93.155.232,,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,accesadistance.kinepolis.lu,"104.81.60.72, 104.81.60.75",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:a600::b9e1:fa1a, 2a02:26f0:a600::b9e1:fa4a",kinepolis-lu.mail.protection.outlook.com,,,,
,acceso.kinepolis.fr,"23.32.238.72, 23.32.238.82",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis-fr.mail.protection.outlook.com,"a1-67.akam.net, a4-67.akam.net, a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net","MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
,acceso6.kinepolis.fr,"23.32.238.82, 23.32.238.72",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis-fr.mail.protection.outlook.com,"a13-66.akam.net, a6-66.akam.net, a5-66.akam.net, a24-67.akam.net, a4-67.akam.net, a1-67.akam.net","google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, MS=ms46281805, v=spf1 include:spf.kinepolis.com -all",,
,access.kinepolis.ch,,kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,kinepolis-ch.mail.protection.outlook.com,"a1-67.akam.net, a5-66.akam.net, a4-67.akam.net, a13-66.akam.net, a24-67.akam.net, a6-66.akam.net",,,
,accounts.google.com.mail.googlo.comselom.kinepolis.fr,"2.16.241.19, 2.16.241.5",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3100::1735:296a, 2a02:26f0:3100::1735:2950",kinepolis-fr.mail.protection.outlook.com,"a13-66.akam.net, a1-67.akam.net, a5-66.akam.net, a24-67.akam.net, a6-66.akam.net, a4-67.akam.net","MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
,acp.kinepolis.ch,"95.101.74.196, 95.101.74.200",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:b200::1748:fcab, 2a02:26f0:b200::1748:fc98",kinepolis-ch.mail.protection.outlook.com,"a5-66.akam.net, a13-66.akam.net, a24-67.akam.net, a1-67.akam.net, a4-67.akam.net, a6-66.akam.net","MS=ms57753331, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, v=spf1 include:spf.kinepolis.com -all",,
,acp.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,acp.kinepolis.lu,"2.19.204.233, 2.19.205.26",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:98::58dd:84c1, 2a02:26f0:98::58dd:8452",kinepolis-lu.mail.protection.outlook.com,"a4-67.akam.net, a24-67.akam.net, a1-67.akam.net, a5-66.akam.net, a6-66.akam.net, a13-66.akam.net","google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=, facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, v=spf1 include:spf.kinepolis.com -all",,
,adkit.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,admin.kinepolis.ch,"23.50.131.223, 23.50.131.219",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3b::5f64:9b49, 2a02:26f0:3b::5f64:9b52",kinepolis-ch.mail.protection.outlook.com,"a1-67.akam.net, a6-66.akam.net, a5-66.akam.net, a13-66.akam.net, a24-67.akam.net, a4-67.akam.net","google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, MS=ms57753331, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6",,
,admin.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,admin.kinepolis.lu,"95.101.74.200, 95.101.74.196",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:b200::1748:fc98, 2a02:26f0:b200::1748:fcab",kinepolis-lu.mail.protection.outlook.com,"a24-67.akam.net, a5-66.akam.net, a6-66.akam.net, a1-67.akam.net, a4-67.akam.net, a13-66.akam.net","v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=, google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s",,
,adminfiestademascaras.kinepolis.be,"188.93.155.238, 188.93.155.241",,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,,
,administracion.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,administrador.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,administrator.kinepolis.com,,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,administrator.kinepolis.lu,"2.16.202.59, 95.101.54.232",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:480:e::210:f105, 2a02:26f0:480:e::210:f113",kinepolis-lu.mail.protection.outlook.com,"a4-67.akam.net, a6-66.akam.net, a5-66.akam.net, a1-67.akam.net, a13-66.akam.net, a24-67.akam.net","H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=, facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, v=spf1 include:spf.kinepolis.com -all",,
,administrators.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,admins.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,adsl.kinepolis.fr,"23.32.238.82, 23.32.238.72",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis-fr.mail.protection.outlook.com,"a24-67.akam.net, a4-67.akam.net, a13-66.akam.net, a5-66.akam.net, a1-67.akam.net, a6-66.akam.net","MS=ms46281805, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, v=spf1 include:spf.kinepolis.com -all",,
,ae.kinepolis.ch,"2.16.241.19, 2.16.241.5",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3100::1735:2950, 2a02:26f0:3100::1735:296a",kinepolis-ch.mail.protection.outlook.com,"a6-66.akam.net, a5-66.akam.net, a1-67.akam.net, a13-66.akam.net, a4-67.akam.net, a24-67.akam.net","facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, v=spf1 include:spf.kinepolis.com -all, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, MS=ms57753331",,
,af.myrioctx.kinepolis.ch,"104.81.60.75, 104.81.60.72",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:a600::b9e1:fa1a, 2a02:26f0:a600::b9e1:fa4a",,"a13-66.akam.net, a24-67.akam.net, a1-67.akam.net, a5-66.akam.net, a6-66.akam.net, a4-67.akam.net","facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, v=spf1 include:spf.kinepolis.com -all, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, MS=ms57753331",,
,affiliates.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,ag.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,agent.kinepolis.ch,"184.87.173.202, 184.87.173.194, 193.108.91.67, 72.246.46.67, 95.100.168.66, 23.211.133.66, 2.22.230.66, 2.16.130.67",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2600:1408:7400::17c7:4733, 2600:1408:7400::17c7:4758, 2600:1401:2::43, 2600:1401:1::42",kinepolis-ch.mail.protection.outlook.com,"a4-67.akam.net, a6-66.akam.net, a24-67.akam.net, a13-66.akam.net, a5-66.akam.net, a1-67.akam.net","google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, MS=ms57753331, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6",,
,ai.kinepolis.ch,"2.16.241.5, 2.16.241.19",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:480:e::210:f113, 2a02:26f0:480:e::210:f105",kinepolis-ch.mail.protection.outlook.com,"a5-66.akam.net, a13-66.akam.net, a6-66.akam.net, a24-67.akam.net, a1-67.akam.net, a4-67.akam.net","MS=ms57753331, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28",,
,ak.kinepolis.ch,"23.53.40.122, 23.53.40.114",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:7100::1720:ee48, 2a02:26f0:7100::1720:ee52",kinepolis-ch.mail.protection.outlook.com,"a6-66.akam.net, a5-66.akam.net, a13-66.akam.net, a4-67.akam.net, a1-67.akam.net, a24-67.akam.net","google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, MS=ms57753331",,
,akamai-test.kinepolis.com,"23.76.204.155, 23.76.204.140",,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:b200::1748:fca1, 2a02:26f0:b200::1748:fc79",,,,,
,al.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,alabama.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,alabama.kinepolis.fr,"184.87.173.202, 184.87.173.194, 193.108.91.67, 72.246.46.67, 95.100.168.66, 23.211.133.66, 2.22.230.66, 2.16.130.67",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2600:1408:7400::17c7:4733, 2600:1408:7400::17c7:4758, 2600:1401:2::43, 2600:1401:1::42",kinepolis-fr.mail.protection.outlook.com,"a6-66.akam.net, a13-66.akam.net, a24-67.akam.net, a1-67.akam.net, a5-66.akam.net, a4-67.akam.net","MS=ms46281805, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
,alaska.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,albuquerque.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,alerts.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,allwww.kinepolis.be,"188.93.155.238, 188.93.155.241",,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,,
,am.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,am.landmarkcinemas.com,205.206.14.210,,"clark.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
,amarillo.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,an.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,analytics-okta.com.employee-specialsurvey.kinepolis.ch,"23.53.40.114, 23.53.40.122",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:7100::1720:ee48, 2a02:26f0:7100::1720:ee52",kinepolis-ch.mail.protection.outlook.com,"a4-67.akam.net, a1-67.akam.net, a13-66.akam.net, a6-66.akam.net, a5-66.akam.net, a24-67.akam.net","MS=ms57753331, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6",,
,analyticsshop.kinepolis.lu,"184.87.173.194, 184.87.173.202, 193.108.91.67, 72.246.46.67, 95.100.168.66, 23.211.133.66, 2.22.230.66, 2.16.130.67",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2600:1408:7400::17c7:4758, 2600:1408:7400::17c7:4733, 2600:1401:2::43, 2600:1401:1::42",kinepolis-lu.mail.protection.outlook.com,"a13-66.akam.net, a4-67.akam.net, a1-67.akam.net, a5-66.akam.net, a6-66.akam.net, a24-67.akam.net","google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, v=spf1 include:spf.kinepolis.com -all, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=",,
,announce.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,anothermask.kinepolis.be,"188.93.155.241, 188.93.155.238",,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,,
,anzeiger-news.com.kunden.ortsinfo.at.kunden.kinepolis.fr,"184.87.173.202, 184.87.173.194, 193.108.91.67, 72.246.46.67, 95.100.168.66, 23.211.133.66, 2.22.230.66, 2.16.130.67",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2600:1408:7400::17c7:4733, 2600:1408:7400::17c7:4758, 2600:1401:2::43, 2600:1401:1::42",kinepolis-fr.mail.protection.outlook.com,"a1-67.akam.net, a24-67.akam.net, a13-66.akam.net, a6-66.akam.net, a5-66.akam.net, a4-67.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, MS=ms46281805, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3",,
,ao.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,apache.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,api.kinepolis.com,"2.16.238.21, 2.16.238.9","selligent.edgesuite.net, a1809.dscb.akamai.net","n0dscb.akamai.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:3::210:ee8f, 2a02:26f0:480:3::210:ee88",,,,,
,apollo.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,apotonickrangqiuma.kinepolis.ch,"23.53.40.114, 23.53.40.122",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:7100::1720:ee48, 2a02:26f0:7100::1720:ee52",kinepolis-ch.mail.protection.outlook.com,"a5-66.akam.net, a24-67.akam.net, a1-67.akam.net, a6-66.akam.net, a4-67.akam.net, a13-66.akam.net","MS=ms57753331, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, v=spf1 include:spf.kinepolis.com -all",,
,app.kinepolis.be,"95.101.74.200, 95.101.74.196",,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,"2a02:26f0:b200::1748:fcab, 2a02:26f0:b200::1748:fc98",,,,,
,app.kinepolis.ch,"23.76.204.149, 23.76.204.146",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:b200::1748:fc98, 2a02:26f0:b200::1748:fcab",kinepolis-ch.mail.protection.outlook.com,"a13-66.akam.net, a6-66.akam.net, a4-67.akam.net, a5-66.akam.net, a1-67.akam.net, a24-67.akam.net","MS=ms57753331, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6",,
,app.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,app.kinepolis.lu,"23.55.163.5, 23.55.163.8",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis-lu.mail.protection.outlook.com,"a24-67.akam.net, a4-67.akam.net, a6-66.akam.net, a1-67.akam.net, a13-66.akam.net, a5-66.akam.net","H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=, v=spf1 include:spf.kinepolis.com -all, google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f",,
,app01.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,app1.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,application.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,applications.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,appnotes.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,ar.kinepolis.fr,"23.53.40.122, 23.53.40.114",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:7100::1720:ee52, 2a02:26f0:7100::1720:ee48",kinepolis-fr.mail.protection.outlook.com,"a6-66.akam.net, a13-66.akam.net, a1-67.akam.net, a5-66.akam.net, a24-67.akam.net, a4-67.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, MS=ms46281805",,
,arcsight.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
