new,host,status_code,a,soa,cdn,cdn-name,mx,txt,cname,aaaa,has_internal_ips,internal_ips,ns,caa,ptr
[x],sip2.ext.nokia.com,NOERROR,192.100.112.174,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sip2.nokia.com,NOERROR,157.56.91.169,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sip3.ext.nokia.com,NOERROR,192.100.112.170,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sipfed.nokia.com,NOERROR,94.245.101.76,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sit.dev.isa.iot.nokia.com,NOERROR,10.76.51.137,"ns-392.awsdns-49.com, awsdns-hostmaster.amazon.com",,,,,,,True,10.76.51.137,,,
[x],sites.nokia.com,NOERROR,131.228.121.72,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sitetrack.net.nokia.com,NOERROR,131.228.56.18,"ns7.nokia.com, dns.cloudflare.com",,,,,zinapps-public.net.nokia.com,,,,,,
[x],sits-support.ext.net.nokia.com,NOERROR,131.228.64.18,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],skynet.nokia.com,NOERROR,131.228.140.150,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],slp.pos.nlp.nokia.com,NOERROR,"52.211.194.59, 34.248.94.63, 54.72.148.56","ns-1421.awsdns-49.org, awsdns-hostmaster.amazon.com",,,,"heritage=external-dns,external-dns/owner=borg-prd-1-aws-eu-west-1.k8s.in.here.com,external-dns/resource=service/here-pos-positioning-aws-prd/slp-gateway-dp-prd-slp-nokiacom-service","slp.pos.nlp.nokia.com.a2298.p01.hereglb.com, nokiacom-euwest1-prd.slp.positioning.borg-p.nw.ops.here.com",,,,,,
[x],sm-beta.ovi.messaging.nokia.com,NOERROR,67.220.123.47,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sm.betamessaging.nokia.com,NOERROR,64.88.182.194,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sm.ovi.messaging.nokia.com,NOERROR,66.54.67.147,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sm.premium.betamessaging.nokia.com,NOERROR,64.88.182.195,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sm.premium.ovi.messaging.nokia.com,NOERROR,66.54.67.144,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],smartmeetingroom.nokia.com,NOERROR,87.254.206.105,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],smc.nokia.com,NOERROR,192.100.104.54,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],smp.saas.nokia.com,NOERROR,,"ns-581.awsdns-08.net, awsdns-hostmaster.amazon.com",,,,,,,,,"ns-382.awsdns-47.com, ns-581.awsdns-08.net, ns-1134.awsdns-13.org, ns-1542.awsdns-00.co.uk",,
[x],smr.nokia.com,NOERROR,89.234.33.155,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],smsgw.net.nokia.com,NOERROR,93.183.21.234,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],smtp.mgd.nokia.com,NOERROR,,,,,,,,,,,,,
[x],smtp.saas.nokia.com,NOERROR,"216.39.83.9, 135.92.0.2, 135.92.0.1, 216.39.83.8","ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sn.ic101.bom.messaging.nokia.com,NOERROR,66.54.68.119,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sn.mc101.atl.messaging.nokia.com,NOERROR,66.54.67.110,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sn.mc201.atl.messaging.nokia.com,NOERROR,66.54.67.111,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sn.stg.mc101.atl.messaging.nokia.com,NOERROR,66.54.67.39,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sn.tenant701.ovi.messaging.nokia.com,NOERROR,66.54.67.146,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],social.nokia.com,NOERROR,188.117.44.200,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],socialcast.nokia.com,NOERROR,,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],socializer.nokia.com,NOERROR,147.243.41.213,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],socks01.nokia.com,NOERROR,192.100.102.10,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],soda.nokia.com,NOERROR,135.245.16.40,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],softwarekeys.nokia.com,NOERROR,135.245.1.17,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],softwaremarket.nokia.com,NOERROR,89.250.61.65,"ns2.nokia.com, dns.cloudflare.com",,,,,www.softwaremarket.nokia.com,,,,,,
[x],sonos.ent.nokia.com,NOERROR,54.144.128.85,,,,,,,,,,,,
[x],spapp1.spapps-qa.nokia.com,NOERROR,131.228.2.235,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],spapp1.spapps.nokia.com,NOERROR,131.228.2.227,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],spapp2.spapps-qa.nokia.com,NOERROR,131.228.2.235,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],spapp2.spapps.nokia.com,NOERROR,131.228.2.227,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],spapp3.spapps-qa.nokia.com,NOERROR,131.228.2.235,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],spapp3.spapps.nokia.com,NOERROR,131.228.2.227,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],specs.ext.nokia.com,NOERROR,147.243.96.138,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],spnols.ext.nokia.com,NOERROR,131.228.56.1,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sportalauth-dev.ext.net.nokia.com,NOERROR,131.228.6.70,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sportalauth-qa.ext.net.nokia.com,NOERROR,131.228.6.70,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sportstracker.nokia.com,NOERROR,217.149.53.7,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],srnmsa.ext.net.nokia.com,NOERROR,87.254.193.195,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],srnweb.ext.net.nokia.com,NOERROR,87.254.193.194,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],srv1.ext.nokia.com,NOERROR,194.201.128.99,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],ssdp-we.net.nokia.com,NOERROR,13.93.94.246,"ns7.nokia.com, dns.cloudflare.com",True,azure,,,,,,,,,
[x],ssdp.net.nokia.com,NOERROR,52.172.195.60,"ns7.nokia.com, dns.cloudflare.com",True,azure,,,,,,,,,
[x],sso-webdav-training.myrealestate.ext.nokia.com,NOERROR,80.69.128.84,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sso-webdav.myrealestate.ext.nokia.com,NOERROR,80.69.128.84,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sso.forum.nokia.com,NOERROR,62.61.85.154,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sso.nokia.com,NOERROR,83.150.76.42,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sso.qa.nokia.com,NOERROR,62.61.85.161,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],ssoagw-dev.ext.net.nokia.com,NOERROR,131.228.6.83,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],ssoagw-qa.ext.net.nokia.com,NOERROR,131.228.6.51,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],ssoimpr-dev.ext.net.nokia.com,NOERROR,131.228.6.84,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],st-account.nokia.com,NOERROR,0.0.0.0,"ns1-201.azure-dns.com, msnhst.microsoft.com",,,,,32dc7a4c-ae02-4b9d-8dea-ecced96c9cad.cloudapp.net,,True,0.0.0.0,,,
[x],st.nlp.nokia.com,NOERROR,54.144.128.85,,,,,,,,,,,,
[x],stage-publish.networks.nokia.com,NOERROR,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,,,dualstack.mc-2201-752027336.us-east-1.elb.amazonaws.com,,,,,,
[x],stage-www.networks.nokia.com,NOERROR,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,,,dualstack.mc-2201-752027336.us-east-1.elb.amazonaws.com,,,,,,
[x],stage.contenthub.nokia.com,NOERROR,52.49.209.176,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],stage.developer.nokia.com,NOERROR,,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],stage.impact.idc.nokia.com,NOERROR,"135.245.86.12, 135.245.86.15","ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],stage.lb.n-gage.nokia.com,NOERROR,147.243.8.233,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],stage.qa.nokia.com,NOERROR,62.61.85.162,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],stage.training.nokia.com,NOERROR,54.144.128.85,,,,,,,,,,,,
[x],stage3-publish.networks.nokia.com,NOERROR,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,,,dualstack.mc-2201-752027336.us-east-1.elb.amazonaws.com,,,,,,
[x],stage3-www.networks.nokia.com,NOERROR,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,,,dualstack.mc-2201-752027336.us-east-1.elb.amazonaws.com,,,,,,
[x],stage4-publish.networks.nokia.com,NOERROR,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,,,dualstack.mc-2201-752027336.us-east-1.elb.amazonaws.com,,,,,,
[x],stage4-www.networks.nokia.com,NOERROR,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,,,dualstack.mc-2201-752027336.us-east-1.elb.amazonaws.com,,,,,,
[x],stage5-www.networks.nokia.com,NOERROR,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,,,dualstack.mc-2201-752027336.us-east-1.elb.amazonaws.com,,,,,,
[x],staging-aslm.nokia.com,NOERROR,135.245.24.33,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],staging-infoproducts.nokia.com,NOERROR,135.109.238.66,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],staging-search.customers.nokia.com,NOERROR,0.0.0.0,"ns1-201.azure-dns.com, msnhst.microsoft.com",,,,,53255db6-fa07-4986-acc7-2fe8a82c9273.cloudapp.net,,True,0.0.0.0,,,
[x],staging-softwarekeys.nokia.com,NOERROR,135.245.1.19,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],staging.api.learn.nokia.com,NOERROR,"3.212.88.28, 18.204.177.129","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,,,staging-load-balancer-414465252.us-east-1.elb.amazonaws.com,,,,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,
