input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,tls_expired,webserver,tls_mismatched,final_url,location
meet.rechtspraak.nl,Cisco Meeting Server web app,200,991,meet.rechtspraak.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-01-12T10:42:00Z,2023-01-12T10:51:00Z,"CN=cms3.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",cms3.rechtspraak.nl,Raad voor de Rechtspraak,meet.rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,5c1b5497e047b4776b74c5d24893bf58,180d2220bffc7d4c3d4a88c01691cce47e9d8055c0959702dece61c6ceaf42d0,ctls,meet.rechtspraak.nl,443,https://meet.rechtspraak.nl:443,https,text/html,GET,159.46.201.9,/,-1610685307,159.46.201.7,Nginx,1,False,https:,True,nginx,,,
mijnstrafdossiers.rechtspraak.nl,Redirecting ...,200,822,siam.rechtspraak.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-06T05:19:20Z,2024-06-06T05:14:00Z,"CN=siam.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",siam.rechtspraak.nl,Raad voor de Rechtspraak,siam.rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,cc0e6031a5fe0a06185ebba076b1deff,78b73182b5eeedc8b9037046b8673f4ea6cb072adc3d1a5b94dd0f8565b106e0,ctls,siam.rechtspraak.nl,443,https://mijnstrafdossiers.rechtspraak.nl:443,https,text/html,GET,159.46.204.50,/,1939559511,2a04:9a04:18a0:8a02:0:3c:192:50,HSTS,21,False,,,N.A.,,https://siam.rechtspraak.nl/aselectserver/server/wsfed_new2?wa=wsignin1.0&wtrealm=urn%3anl%3arechtspraak%3afederatie%3aadvocatenpas&wctx=78c01161-71aa-4b9b-a4bd-91831036d5c4&wauth=urn%3aoasis%3anames%3atc%3aSAML%3a1.0%3aam%3aAdvocatenpas,
mijnzaak.rechtspraak.nl,Digitale diensten Rechtspraak,200,736,toegang.rechtspraak.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-24T12:34:19Z,2023-10-24T12:29:00Z,"CN=toegang.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",toegang.rechtspraak.nl,Raad voor de Rechtspraak,toegang.rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,a2f7c730921cdc28463f05e5bdddee61,247e0766a4ca33f2ab74c36cb31cefcfcfc9af5bfb6973078b644c96fd150b6e,ctls,toegang.rechtspraak.nl,443,https://mijnzaak.rechtspraak.nl:443,https,text/html,GET,159.46.204.49,/,1998946753,2a04:9a04:18a0:8a02:0:3c:192:49,Windows Server,15,False,https://*.rechtspraak.nl,,Microsoft-IIS,,https://toegang.rechtspraak.nl/inloggen?context=eec7621c-9080-401d-9dd2-5291a5c4b4b6,
namenlijst.rechtspraak.nl,Rechtspraak.nl – Nevenfunctieregister,200,3937,namenlijst.rechtspraak.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-28T05:10:07Z,2023-09-28T05:05:00Z,"CN=namenlijst.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",namenlijst.rechtspraak.nl,Raad voor de Rechtspraak,namenlijst.rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,1145fc3e825bb1b3253364bdc614cc58,db56e136a3c08eac93a26165c4e5dbc527b0e32c4fcb661783af9d6eeb10f7df,ctls,namenlijst.rechtspraak.nl,443,https://namenlijst.rechtspraak.nl:443,https,text/html,GET,159.46.197.51,/,1414299224,159.46.197.51,Microsoft ASP.NET:4.0.30319,49,False,mededeling.rechtspraak.nl,,,,,
ncc-acc.rechtspraak.nl,Home Realm Discovery,200,21186,ncc-sts-acc.rechtspraak.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-30T05:13:22Z,2023-08-30T05:23:00Z,"CN=ncc-acc.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",ncc-acc.rechtspraak.nl,Raad voor de Rechtspraak,ncc-zaakbeheer-acc.rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,5ee87bfcaaea02cd30397e9f3962804e,2ff85af72fc5e5ea2b57e82f997712b0dbed27c74050fad575d26fa2e15c4ca7,ctls,ncc-sts-acc.rechtspraak.nl,443,https://ncc-acc.rechtspraak.nl:443,https,text/html,GET,159.46.198.83,/,1331447155,159.46.198.83,HSTS,404,False,IE=10.000,,,,https://ncc-sts-acc.rechtspraak.nl/adfs/ls?version=1.0&action=signin&realm=urn%3AAppProxy%3Acom&appRealm=86dc53ce-c188-e711-80f9-005056b212d1&returnUrl=https%3A%2F%2Fncc-acc.rechtspraak.nl%2F&client-request-id=A29A7F4D-B469-0000-D6B2-9BA269B4D901,
ncc-siam.rechtspraak.nl,302 Found,302,245,ncc-siam.rechtspraak.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-26T12:32:45Z,2024-04-26T12:27:00Z,"CN=ncc-siam.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",ncc-siam.rechtspraak.nl,Raad voor de Rechtspraak,ncc-siam.rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,f52df910228e0db562f5a29483e1552e,c824f01f4957c505e3a736d1cdb788d378ea2e22a0e71c772eeba495a5793338,ctls,ncc-siam.rechtspraak.nl,443,https://ncc-siam.rechtspraak.nl:443,https,text/html,GET,159.46.198.122,/,166170373,159.46.198.122,Microsoft HTTPAPI:2.0,8,False,,,Microsoft-HTTPAPI/2.0,,https://ncc-siam.rechtspraak.nl/siamerror.html?error_code=403,https://ncc-siam.rechtspraak.nl/siamerror.html?error_code=403
ncc-sts.rechtspraak.nl,Not Found,404,315,ncc-sts.rechtspraak.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-30T05:13:39Z,2023-08-30T05:23:00Z,"CN=ncc.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",ncc.rechtspraak.nl,Raad voor de Rechtspraak,ncc-zaakbeheer.rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,60741eb9c795c420543050d1994d56a3,be28c6f4a040897cdc816dcf1b673d695f21b6e682571d380d674c4d6476d3fb,ctls,ncc-sts.rechtspraak.nl,443,https://ncc-sts.rechtspraak.nl:443,https,text/html,GET,159.46.198.81,/,225052475,159.46.198.81,HSTS,7,False,,,,,,
ncc-zaakbeheer-acc.rechtspraak.nl,Home Realm Discovery,200,21746,ncc-sts-acc.rechtspraak.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-30T05:13:22Z,2023-08-30T05:23:00Z,"CN=ncc-acc.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",ncc-acc.rechtspraak.nl,Raad voor de Rechtspraak,ncc-zaakbeheer-acc.rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,5ee87bfcaaea02cd30397e9f3962804e,2ff85af72fc5e5ea2b57e82f997712b0dbed27c74050fad575d26fa2e15c4ca7,ctls,ncc-sts-acc.rechtspraak.nl,443,https://ncc-zaakbeheer-acc.rechtspraak.nl:443,https,text/html,GET,159.46.198.85,/,1654571055,159.46.198.85,HSTS,404,False,IE=10.000,,,,https://ncc-sts-acc.rechtspraak.nl/adfs/ls?version=1.0&action=signin&realm=urn%3AAppProxy%3Acom&appRealm=73948ea0-9f8c-e711-80f9-005056b212d1&returnUrl=https%3A%2F%2Fncc-zaakbeheer-acc.rechtspraak.nl%2F&client-request-id=A29A7F4D-B469-0003-AE4B-9BA269B4D901,
ncc-zaakbeheer.rechtspraak.nl,Sign In,200,54274,signin.rechtspraak.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-12T05:19:33Z,2023-10-12T05:14:00Z,"CN=signin.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",signin.rechtspraak.nl,Raad voor de Rechtspraak,signin.rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,e127830cfbaf74fc12233699b672c89e,fd43457ada262b7798ea77062696521c0988bb28f0041ff4cdd58ab0cd6af5e8,ctls,signin.rechtspraak.nl,443,https://ncc-zaakbeheer.rechtspraak.nl:443,https,text/html,GET,159.46.198.82,/,1145302959,159.46.198.82,Microsoft HTTPAPI:2.0,1375,False,https://dwd-fe-core-alternate-dwd-production.ota.dcr1.cmp.rechtspraak.minjus.nl,,Microsoft-HTTPAPI/2.0 Microsoft-HTTPAPI/2.0,,https://signin.rechtspraak.nl:443/adfs/ls/?wa=wsignin1.0&wtrealm=http%3a%2f%2fncc-sts.rechtspraak.nl%2fadfs%2fservices%2ftrust&wctx=ba985e18-2847-42c1-b083-785ea50439bd&client-request-id=e9785bcf-bdd7-0000-e3e3-78e9d7bdd901,
ncc.rechtspraak.nl,302 Found,302,245,ncc-siam.rechtspraak.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-26T12:32:45Z,2024-04-26T12:27:00Z,"CN=ncc-siam.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",ncc-siam.rechtspraak.nl,Raad voor de Rechtspraak,ncc-siam.rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,f52df910228e0db562f5a29483e1552e,c824f01f4957c505e3a736d1cdb788d378ea2e22a0e71c772eeba495a5793338,ctls,ncc-siam.rechtspraak.nl,443,https://ncc.rechtspraak.nl:443,https,text/html,GET,159.46.198.80,/,166170373,159.46.198.80,Microsoft HTTPAPI:2.0,8,False,,,Microsoft-HTTPAPI/2.0,,https://ncc-siam.rechtspraak.nl/siamerror.html?error_code=403,https://ncc-siam.rechtspraak.nl/siamerror.html?error_code=403
onderhoud.rechtspraak.nl,Rechtspraak Mededeling,200,2428,onderhoud.rechtspraak.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-06T05:19:42Z,2024-06-06T05:14:00Z,"CN=mededeling.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",mededeling.rechtspraak.nl,Raad voor de Rechtspraak,watismijnip.rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,f0e9397e5f421cf4eaec73ced879cd8d,38e12bf709713d4628a3396724351a509aafc8da4a9c81d4ee84436df40e69c1,ctls,onderhoud.rechtspraak.nl,443,https://onderhoud.rechtspraak.nl:443,https,text/html,GET,159.46.204.182,/,1908147121,159.46.204.182,Windows Server,13,False,*.rechtspraak.nl,,Microsoft-IIS,,,
portaal.rechtspraak.nl,Mijn Rechtspraak,200,742,portaal.rechtspraak.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-16T07:50:16Z,2024-01-10T23:45:00Z,"CN=portaal.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",portaal.rechtspraak.nl,Raad voor de Rechtspraak,portaal.rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,4458a7c26a1cb51e70e92591a9b92e3d,eb9f5bcef58e383092435f4ca9cbe52a34b979a44282f50d2e90928d20060fbd,ctls,portaal.rechtspraak.nl,443,https://portaal.rechtspraak.nl:443,https,text/html,GET,159.46.204.162,/,1414299224,2a04:9a04:18a0:8a02:0:3c:192:162,Nginx,16,False,https://*.rechtspraak.nl,,nginx,,,
rechtspraak.nl,De Rechtspraak,200,111818,www.rechtspraak.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-05T15:30:15Z,2024-05-05T15:25:00Z,"CN=www.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",www.rechtspraak.nl,Raad voor de Rechtspraak,rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,48cb183d291a3ce51fe1ea256c80a0fd,6a0bdad417286d47e277e2653435634806ed68b33638db1a017865b63c8c909c,ctls,www.rechtspraak.nl,443,https://rechtspraak.nl:443,https,text/html,GET,95.101.111.161,/,1414299224,2a02:26f0:480:23::1726:62b6,Microsoft SharePoint,800,False,fireside.fm,,,,https://www.rechtspraak.nl/,
rechtspraaklogin.rechtspraak.nl,Inloggen bij de Rechtspraak,200,3819,rechtspraaklogin.rechtspraak.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-26T12:31:39Z,2024-04-26T12:26:00Z,"CN=rechtspraaklogin.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",rechtspraaklogin.rechtspraak.nl,Raad voor de Rechtspraak,rechtspraaklogin.rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,4e2e665d16ef84008b7437839b94a4d6,e180e18f0edc27ce60d24d5320df02be7902ba2c49b7023df68213948b965917,ctls,rechtspraaklogin.rechtspraak.nl,443,https://rechtspraaklogin.rechtspraak.nl:443,https,text/html,GET,159.46.204.53,/,-1487764341,2a04:9a04:18a0:8a02:0:3c:192:53,Windows Server,83,False,rechtspraaklogin.rechtspraak.nl,,Microsoft-IIS,,https://rechtspraaklogin.rechtspraak.nl/Public/Index.aspx,
redirect.rechtspraak.nl,Not Found,404,315,,,,,,,,,,,,,,,,,,,80,http://redirect.rechtspraak.nl:80,http,text/html,GET,159.46.196.45,/,225052475,159.46.196.45,Microsoft HTTPAPI:2.0,7,False,,,Microsoft-HTTPAPI/2.0,,,
rep100.rechtspraak.nl,,200,38,rep100.rechtspraak.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-14T06:39:24Z,2024-02-14T06:34:00Z,"CN=rep100.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",rep100.rechtspraak.nl,Raad voor de Rechtspraak,rep100.rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,88c689ea9ef764bdcb390b1f0bc3656e,a13c433db638c59291e814a144ee6b5ba3f67d01fdd12828c8e602c97af51e9e,ctls,rep100.rechtspraak.nl,443,https://rep100.rechtspraak.nl:443,https,text/xml,GET,159.46.201.68,/,501929981,159.46.201.68,HSTS,2,False,,,,,,
rmw.rechtspraak.nl,KCD Login,200,6434,rmw.rechtspraak.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-27T11:03:39Z,2023-07-27T11:13:00Z,"CN=grc.acpt.diensten.minjenv.rijksweb.nl, O=Ministerie van Justitie en Veiligheid, organizationIdentifier=NTRNL-27380834, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=27380834, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-27380834, businessCategory=Government Entity, jurisdictionCountry=NL",grc.acpt.diensten.minjenv.rijksweb.nl,Ministerie van Justitie en Veiligheid,grc-report.acpt.diensten.minjenv.rijksweb.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,04a1bc22e854cc54328a62b00caf39ab,ae2404dc18468304743c38ea1958a181183962a08511b6359e0c535707bf7ef0,ctls,rmw.rechtspraak.nl,443,https://rmw.rechtspraak.nl:443,https,text/html,GET,159.46.196.223,/,1908783368,159.46.196.223,HSTS,127,False,,,,True,,
roljournaalhandelgerechtshoven.rechtspraak.nl,Inloggen bij de Rechtspraak,200,3534,rechtspraaklogin.rechtspraak.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-26T12:31:39Z,2024-04-26T12:26:00Z,"CN=rechtspraaklogin.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",rechtspraaklogin.rechtspraak.nl,Raad voor de Rechtspraak,rechtspraaklogin.rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,4e2e665d16ef84008b7437839b94a4d6,e180e18f0edc27ce60d24d5320df02be7902ba2c49b7023df68213948b965917,ctls,rechtspraaklogin.rechtspraak.nl,443,https://roljournaalhandelgerechtshoven.rechtspraak.nl:443,https,text/html,GET,159.46.204.4,/,-951658035,2a04:9a04:18a0:8a02:0:3c:192:4,Windows Server,83,False,rechtspraaklogin.rechtspraak.nl,,Microsoft-IIS,,https://rechtspraaklogin.rechtspraak.nl/Public/Error.aspx?Code=0070,
roljournaalhandelrechtbanken.rechtspraak.nl,Inloggen bij de Rechtspraak,200,3534,rechtspraaklogin.rechtspraak.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-26T12:31:39Z,2024-04-26T12:26:00Z,"CN=rechtspraaklogin.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",rechtspraaklogin.rechtspraak.nl,Raad voor de Rechtspraak,rechtspraaklogin.rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,4e2e665d16ef84008b7437839b94a4d6,e180e18f0edc27ce60d24d5320df02be7902ba2c49b7023df68213948b965917,ctls,rechtspraaklogin.rechtspraak.nl,443,https://roljournaalhandelrechtbanken.rechtspraak.nl:443,https,text/html,GET,159.46.204.137,/,1414299224,2a04:9a04:18a0:8a02:0:3c:192:137,Windows Server,83,False,rechtspraaklogin.rechtspraak.nl,,Microsoft-IIS,,https://rechtspraaklogin.rechtspraak.nl/Public/Error.aspx?Code=0070,
siam.rechtspraak.nl,Foutmelding,200,7600,siam.rechtspraak.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-06T05:19:20Z,2024-06-06T05:14:00Z,"CN=siam.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",siam.rechtspraak.nl,Raad voor de Rechtspraak,siam.rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,cc0e6031a5fe0a06185ebba076b1deff,78b73182b5eeedc8b9037046b8673f4ea6cb072adc3d1a5b94dd0f8565b106e0,ctls,siam.rechtspraak.nl,443,https://siam.rechtspraak.nl:443,https,text/html,GET,212.114.110.234,/,1640805461,212.114.110.234,HSTS,180,False,,,N.A.,,,
signin.rechtspraak.nl,Not Found,404,315,signin.rechtspraak.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-12T05:19:33Z,2023-10-12T05:14:00Z,"CN=signin.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",signin.rechtspraak.nl,Raad voor de Rechtspraak,signin.rechtspraak.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,e127830cfbaf74fc12233699b672c89e,fd43457ada262b7798ea77062696521c0988bb28f0041ff4cdd58ab0cd6af5e8,ctls,signin.rechtspraak.nl,443,https://signin.rechtspraak.nl:443,https,text/html,GET,159.46.196.227,/,225052475,159.46.196.227,Microsoft HTTPAPI:2.0,7,False,,,Microsoft-HTTPAPI/2.0,,,
sip01.rechtspraak.nl,,404,78,sip01.rechtspraak.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-23T08:37:25Z,2023-08-23T08:47:00Z,"CN=sip01.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",sip01.rechtspraak.nl,Raad voor de Rechtspraak,sip.ssr.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,3e683fc95444a251d04a9e4ec5e5a994,e3acf12ded238c12dbcc4cc62be54fd3ce188cc6a2ba82a2e2b11a902ebb12ae,ctls,sip01.rechtspraak.nl,443,https://sip01.rechtspraak.nl:443,https,text/plain,GET,159.46.201.213,/,-1862615437,159.46.201.210,HSTS,4,False,,,RTC/6.0,,,
sip02.rechtspraak.nl,,404,78,sip02.rechtspraak.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-23T08:37:45Z,2023-08-23T08:47:00Z,"CN=sip02.rechtspraak.nl, O=Raad voor de Rechtspraak, organizationIdentifier=NTRNL-82945373, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=82945373, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-82945373, businessCategory=Government Entity, jurisdictionCountry=NL",sip02.rechtspraak.nl,Raad voor de Rechtspraak,sip.ssr.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,c6884f50d425e828ba309615fefaaf1f,88b26c025ffbd6c70db44c0158c4d99124dec830703ff6099af5786ddfb064ec,ctls,sip02.rechtspraak.nl,443,https://sip02.rechtspraak.nl:443,https,text/plain,GET,159.46.201.216,/,-510571679,159.46.201.219,HSTS,4,False,,,RTC/6.0,,,
