new,host,a,cname,mx,soa,ns,txt,status_code,cdn,cdn-name,aaaa,caa,has_internal_ips,internal_ips
[x],ishvydkoy-crm-enterprise-pgsql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],jenkins2.dev.oroinc.com,35.185.19.57,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,True,google,,,,
[x],kisakova-commerce-crm-ee-mysql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],kisakova-commerce-crm-ee-pgsql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],kisakova-commerce-crm-ee-psql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],kisakova-crm-enterprise-mysql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],kix-wbr.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],kkang.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],kln-test-animalsupply.dev.oroinc.com,34.102.155.168,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,True,google,,,,
[x],kln.animalsupply.dev.oroinc.com,35.224.53.109,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,True,google,,,,
[x],kmakovetskaya-commerce-crm-ee-mysql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],lagaieva-commerce-crm-ee-pgsql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],ldap-vpn.dev.oroinc.com,34.73.152.79,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,True,google,,,,
[x],localhost.dev.oroinc.com,127.0.0.1,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,True,127.0.0.1
[x],magecore.stage.dev.oroinc.com,"34.98.103.99, 216.239.32.108, 216.239.34.108, 216.239.36.108, 216.239.38.108",stage.dev.oroinc.com,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c1.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c2.googledomains.com",,NOERROR,True,google,"2001:4860:4802:32::6c, 2001:4860:4802:34::6c, 2001:4860:4802:36::6c, 2001:4860:4802:38::6c",,,
