input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,webserver,cdn,tls_self_signed,tls_subject_org_,csp_domains_,final_url,tls_expired
api.defibridge-lend-pl-351.codefi.network,,404,21,api.defibridge-lend-pl-351.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-351.codefi.network,443,https://api.defibridge-lend-pl-351.codefi.network:443,https,text/plain,GET,15.236.171.218,/,-1669793162,15.188.255.37,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-355.codefi.network,,404,21,api.defibridge-lend-pl-355.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-355.codefi.network,443,https://api.defibridge-lend-pl-355.codefi.network:443,https,text/plain,GET,15.236.171.218,/,-1669793162,35.181.109.147,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-361.codefi.network,,404,21,api.defibridge-lend-pl-361.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-361.codefi.network,443,https://api.defibridge-lend-pl-361.codefi.network:443,https,text/plain,GET,35.181.109.147,/,-1669793162,15.188.255.37,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-363.codefi.network,,404,21,api.defibridge-lend-pl-363.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-363.codefi.network,443,https://api.defibridge-lend-pl-363.codefi.network:443,https,text/plain,GET,35.181.109.147,/,-1669793162,15.188.255.37,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-373.codefi.network,,404,21,api.defibridge-lend-pl-373.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-373.codefi.network,443,https://api.defibridge-lend-pl-373.codefi.network:443,https,text/plain,GET,15.188.255.37,/,-1669793162,15.236.171.218,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-375.codefi.network,,404,21,api.defibridge-lend-pl-375.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-375.codefi.network,443,https://api.defibridge-lend-pl-375.codefi.network:443,https,text/plain,GET,15.188.255.37,/,-1669793162,35.181.109.147,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-377.codefi.network,,404,21,api.defibridge-lend-pl-377.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-377.codefi.network,443,https://api.defibridge-lend-pl-377.codefi.network:443,https,text/plain,GET,35.181.109.147,/,-1669793162,15.236.171.218,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-381.codefi.network,,404,21,api.defibridge-lend-pl-381.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-381.codefi.network,443,https://api.defibridge-lend-pl-381.codefi.network:443,https,text/plain,GET,15.188.255.37,/,-1669793162,35.181.109.147,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-392.codefi.network,Swagger UI,200,3104,api.defibridge-lend-pl-392.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-27T11:59:04Z,2023-10-25T11:59:03Z,CN=api.defibridge-lend-pl-392.codefi.network,api.defibridge-lend-pl-392.codefi.network,api.defibridge-lend-pl-392.codefi.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,95382f3cb56f47e7466c5edd5290209d,d996ef35de9711cf17a00e18e98e0f5b5494492a5ddcbe9d1b72edba2601b26b,,ctls,api.defibridge-lend-pl-392.codefi.network,443,https://api.defibridge-lend-pl-392.codefi.network:443,https,text/html,GET,15.188.255.37,/,-1615154284,35.181.109.147,Node.js,80,False,,nginx/1.17.10,,,,,,
api.defibridge-lend-pl-773.codefi.network,,404,21,api.defibridge-lend-pl-773.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-773.codefi.network,443,https://api.defibridge-lend-pl-773.codefi.network:443,https,text/plain,GET,15.236.171.218,/,-1669793162,35.181.109.147,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-830.codefi.network,Swagger UI,200,3104,api.defibridge-lend-pl-830.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-04T06:18:39Z,2023-09-02T06:18:38Z,CN=api.defibridge-lend-pl-830.codefi.network,api.defibridge-lend-pl-830.codefi.network,api.defibridge-lend-pl-830.codefi.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4baa8f2af57cd7a215f60e75b0eec1e5,8b8599368b4ce8753abd2e5a603fa4714dc6f2342ee7d5710bd39dc7217ca51b,,ctls,api.defibridge-lend-pl-830.codefi.network,443,https://api.defibridge-lend-pl-830.codefi.network:443,https,text/html,GET,15.188.255.37,/,-1615154284,15.236.171.218,Node.js,80,False,,nginx/1.17.10,,,,,,
api.defibridge-lend-pl-892.codefi.network,,404,21,api.defibridge-lend-pl-892.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-892.codefi.network,443,https://api.defibridge-lend-pl-892.codefi.network:443,https,text/plain,GET,15.236.171.218,/,-1669793162,35.181.109.147,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-897.codefi.network,,404,21,api.defibridge-lend-pl-897.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-897.codefi.network,443,https://api.defibridge-lend-pl-897.codefi.network:443,https,text/plain,GET,15.188.255.37,/,-1669793162,15.236.171.218,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-903.codefi.network,,404,21,api.defibridge-lend-pl-903.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-903.codefi.network,443,https://api.defibridge-lend-pl-903.codefi.network:443,https,text/plain,GET,15.236.171.218,/,-1669793162,15.188.255.37,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-904.codefi.network,,404,21,api.defibridge-lend-pl-904.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-904.codefi.network,443,https://api.defibridge-lend-pl-904.codefi.network:443,https,text/plain,GET,15.236.171.218,/,-1669793162,15.188.255.37,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-906.codefi.network,,404,21,api.defibridge-lend-pl-906.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-906.codefi.network,443,https://api.defibridge-lend-pl-906.codefi.network:443,https,text/plain,GET,35.181.109.147,/,-1669793162,15.188.255.37,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-907.codefi.network,,404,21,api.defibridge-lend-pl-907.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-907.codefi.network,443,https://api.defibridge-lend-pl-907.codefi.network:443,https,text/plain,GET,35.181.109.147,/,-1669793162,15.188.255.37,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-911.codefi.network,,404,21,api.defibridge-lend-pl-911.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-911.codefi.network,443,https://api.defibridge-lend-pl-911.codefi.network:443,https,text/plain,GET,15.236.171.218,/,-1669793162,35.181.109.147,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-914.codefi.network,Swagger UI,200,3104,api.defibridge-lend-pl-914.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-04T04:06:25Z,2023-09-02T04:06:24Z,CN=api.defibridge-lend-pl-914.codefi.network,api.defibridge-lend-pl-914.codefi.network,api.defibridge-lend-pl-914.codefi.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7a4b9b5a59cb3e44300b784bec31b5e5,3b180876564cadcef02c52af6d9bd6c40ac238c5d9c1a3165a7a6cd8743e29db,,ctls,api.defibridge-lend-pl-914.codefi.network,443,https://api.defibridge-lend-pl-914.codefi.network:443,https,text/html,GET,15.188.255.37,/,-1615154284,15.236.171.218,Node.js,80,False,,nginx/1.17.10,,,,,,
api.defibridge-lend-pl-917.codefi.network,,404,21,api.defibridge-lend-pl-917.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-917.codefi.network,443,https://api.defibridge-lend-pl-917.codefi.network:443,https,text/plain,GET,15.188.255.37,/,-1669793162,15.236.171.218,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-925.codefi.network,,404,21,api.defibridge-lend-pl-925.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-925.codefi.network,443,https://api.defibridge-lend-pl-925.codefi.network:443,https,text/plain,GET,15.236.171.218,/,-1669793162,35.181.109.147,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-940.codefi.network,,404,21,api.defibridge-lend-pl-940.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-940.codefi.network,443,https://api.defibridge-lend-pl-940.codefi.network:443,https,text/plain,GET,35.181.109.147,/,-1669793162,15.188.255.37,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-946.codefi.network,,404,21,api.defibridge-lend-pl-946.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-946.codefi.network,443,https://api.defibridge-lend-pl-946.codefi.network:443,https,text/plain,GET,35.181.109.147,/,-1669793162,15.188.255.37,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-947.codefi.network,,404,21,api.defibridge-lend-pl-947.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-947.codefi.network,443,https://api.defibridge-lend-pl-947.codefi.network:443,https,text/plain,GET,15.236.171.218,/,-1669793162,35.181.109.147,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-948.codefi.network,,404,21,api.defibridge-lend-pl-948.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-948.codefi.network,443,https://api.defibridge-lend-pl-948.codefi.network:443,https,text/plain,GET,15.188.255.37,/,-1669793162,15.236.171.218,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-lend-pl-998.codefi.network,,404,21,api.defibridge-lend-pl-998.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-lend-pl-998.codefi.network,443,https://api.defibridge-lend-pl-998.codefi.network:443,https,text/plain,GET,35.181.109.147,/,-1669793162,15.188.255.37,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.staking-dev.codefi.network,Sign In with Auth0,200,2744,codefi-staking-dev.eu.auth0.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-04T01:40:08Z,2023-09-02T01:40:07Z,CN=eu.auth0.com,eu.auth0.com,eu.auth0.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,238bc435086302ddd07b3a92d53e4655,f73a97c3e1377649b8776ac60d4d365d4de5648be53132e86e7f8e70def5f353,True,ctls,codefi-staking-dev.eu.auth0.com,443,https://api.staking-dev.codefi.network:443,https,text/html,GET,104.18.3.87,/,1274338952,2606:4700::6812:257,HTTP/3,70,False,cloudflare,cloudflare,True,,,,https://codefi-staking-dev.eu.auth0.com/login?state=hKFo2SBneDVibDBrYmV2Z181TVg0RHQyOVZmLVpEb29oUHItdKFupWxvZ2luo3RpZNkgSWduSUpPMGF0YUZXLTRsTzRIS3ZkSjhSVkFOeUdjc2qjY2lk2SBLRlAyY2h0dERyY21XVHJYc01vQ2syajVRY0RDcHZ0Ng&client=KFP2chttDrcmWTrXsMoCk2j5QcDCpvt6&protocol=oauth2&scope=openid%20profile%20email&response_type=code&redirect_uri=https%3A%2F%2Fapi.staking-dev.codefi.network%2Fcallback&audience=https%3A%2F%2Fyucatan.staking-dev.codefi.network%2F&nonce=pueD87pvg71L_PrGLR_VIHqRNA0Bzb-5Pmk-rmOPocs&code_challenge_method=S256&code_challenge=F-tTmsM4IL7wcG2NqJnC3udlmbpPU6aQsCK9ou5xLhQ,
api.staking-uat.codefi.network,codefi-staking-uat,400,2557,codefi-staking-uat.us.auth0.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-03T21:56:39Z,2023-09-01T21:56:38Z,CN=us.auth0.com,us.auth0.com,us.auth0.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,de98da7aec6001c55091b52cb7c7545b,7a2b396aa79c8f4b7338924a7a1b6cb48476824552edcc7b015685a756237e0b,True,ctls,codefi-staking-uat.us.auth0.com,443,https://api.staking-uat.codefi.network:443,https,text/html,GET,104.18.15.209,/,-703666047,2606:4700::6812:ed1,HTTP/3,66,False,cloudflare,cloudflare,True,,,,https://codefi-staking-uat.us.auth0.com/u/login?state=hKFo2SBkMi15b0k4MzhjYWVoRC1EZHI5U2psWkVfNkNSMHVUVqFur3VuaXZlcnNhbC1sb2dpbqN0aWTZIF9HZGowZlA1N0FXbEM5Qjc2LW5iRHFPeS1xX25UOTNxo2NpZNkgdDVyNXkzV1dVWlVDME0zVXBOS2VGU2JLV1FZRkZoVjQ,
api.staking.codefi.network,Sign In with Auth0,200,2584,codefi-staking-prod.eu.auth0.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-04T01:40:08Z,2023-09-02T01:40:07Z,CN=eu.auth0.com,eu.auth0.com,eu.auth0.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,238bc435086302ddd07b3a92d53e4655,f73a97c3e1377649b8776ac60d4d365d4de5648be53132e86e7f8e70def5f353,True,ctls,codefi-staking-prod.eu.auth0.com,443,https://api.staking.codefi.network:443,https,text/html,GET,104.18.19.52,/,226101683,2606:4700::6812:1334,HTTP/3,62,False,cloudflare,cloudflare,True,,,,https://codefi-staking-prod.eu.auth0.com/login?state=hKFo2SBKOGtOZXI2NC1lTEhxMjhoZTlmRjgzUlFaQUdXaVBIUKFupWxvZ2luo3RpZNkgeHFhYXdKa2VhWmJhSTZMemJfU3FoaXJuSkhicFZIMWajY2lk2SBjTW9PdjNnUmZhZTdOeks4TmJBQWdXNDZ4WkxhdXlxVg&client=cMoOv3gRfae7NzK8NbAAgW46xZLauyqV&protocol=oauth2&scope=openid%20profile%20email&response_type=code&redirect_uri=https%3A%2F%2Fapi.staking.codefi.network%2Fcallback&audience=https%3A%2F%2Fyucatan.staking.codefi.network%2F&nonce=D2yO2mIocVf3ECyX7Z6vHKh7B3aT4D56vv6if8-TYoA&code_challenge_method=S256&code_challenge=IO9gAUBtNWqL5fkylfVyORAa4XyMOpToKtvrdVbbn0o,
api.storage-dev.codefi.network,Swagger UI,200,3104,api.storage-dev.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-25T14:43:37Z,2023-09-23T14:43:36Z,CN=api.storage-dev.codefi.network,api.storage-dev.codefi.network,api.storage-dev.codefi.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,12f1b4b2127d6d831bf4148961349011,a1914245095ab76cddf597bf223cc5ce05a09aca46cae67c9b23ad427d8d1cc3,,ctls,api.storage-dev.codefi.network,443,https://api.storage-dev.codefi.network:443,https,text/html,GET,15.188.255.37,/,-1615154284,35.181.109.147,Node.js,80,False,,nginx/1.17.10,,,,,,
