new,host,cname,status_code,a,soa,ns,mx,txt,caa
,http-m-jobstreet-com-ph-15.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,http-www-bbc-com.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,http-www-clikisalud-net-2-0.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,http-www-espn-com-52.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,http-www-olx-co-za-5-1.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,http-www-rappler-com8-3.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,https-abs-twimg-com47.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,https-abs-twimg-com5-6.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,https-ar-m-wikipedia-org-6-6.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,https-instabridge-com1-3.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,https-pavilion-com-bd9-8.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,https-pt-m-wikipedia-org-35.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,https-pt-m-wikipedia-org99.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,https-universal-teachme-com33.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,https-upload-wikimedia-org17.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,huddle.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,hullie.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,iad2v4-iadctest.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,ibs-foorumi.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,icim-spa-it.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,idaptive.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,idm-fm-req.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,imagesearchbling34.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,img10.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,inbom2-dcvpnclient-vpn2.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,inscriptioqa.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
