new,host,a,soa,status_code,cdn,cdn-name,ns,has_internal_ips,internal_ips,cname,aaaa,txt,caa,mx
,cf-r-facebook-sharing-agent.skypicker.com,"104.17.46.20, 104.17.45.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,cf-r-price-alerts.skypicker.com,"104.17.45.20, 104.17.46.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,ch.skypicker.com,"104.17.45.20, 104.17.46.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,chair.kiwi.com,"104.16.192.226, 104.16.193.226","fattouche.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,challenger.skypicker.com,"104.17.45.20, 104.17.46.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,changes-mixer.skypicker.com,"104.17.45.20, 104.17.46.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,check-phone.kiwi.com,"104.16.192.226, 104.16.193.226","fattouche.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,chinacache-healthcheck-file.skypicker.com,"104.17.46.20, 104.17.45.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,chronos.skypicker.com,"104.17.45.20, 104.17.46.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,ci-files.skypicker.com,"104.17.45.20, 104.17.46.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,ci-media-sma-pt8wj2.fe-cloudrun.skypicker.com,"104.16.154.238, 104.16.155.238","alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,citi-decrypt.kiwi.com,,"fattouche.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,citi-sign.kiwi.com,,"fattouche.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,cl.skypicker.com,,"nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,co.skypicker.com,"104.17.45.20, 104.17.46.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,code.kiwi.com,"104.16.192.226, 104.16.193.226","fattouche.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,communications.skypicker.com,"104.17.46.20, 104.17.45.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,community.kiwi.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,u10178716.wl217.sendgrid.net,,v=spf1 ip4:167.89.41.246 -all,,mx.sendgrid.net
,company.skypicker.com,"104.17.46.20, 104.17.45.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,configuru.autobooking-prod.skypicker.com,"188.114.98.229, 188.114.99.229","alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,confluence-dev.skypicker.com,"104.17.45.20, 104.17.46.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,confluence-test.kiwi.com,,"fattouche.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,confluence.kiwi.com,"104.16.192.226, 104.16.193.226","fattouche.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,consilium.autobooking-prod.skypicker.com,"104.18.24.237, 104.18.25.237","alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,consult.skypicker.com,,,NOERROR,,,,,,,,,,
,crowdpay.autobooking-sandbox.skypicker.com,"104.18.28.18, 104.18.29.18","alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,cs-api.skypicker.com,"104.17.46.20, 104.17.45.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,cs-messaging-storage.kiwi.com,34.149.16.16,"fattouche.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,,
