input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,tech_,cdn,tls_wildcard_certificate,tls_expired,csp_domains_,final_url
https://smart-assignment-api.entegral.com/,,403,,smart-assignment-api.entegral.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-04T06:47:01Z,2023-10-01T06:47:01Z,CN=imperva.com,imperva.com,,imperva.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,1575d802f498302bec78cb5b77882b01,79149604505f31dc2de29fc84e627e530e62810070535ee5cab198ecba10e461,ctls,smart-assignment-api.entegral.com,443,https://smart-assignment-api.entegral.com:443,https,,,GET,45.60.76.166,/,-1840324437,45.60.76.166,1,False,incapsula,Java,True,True,,,
identity-management-prod.apps.pd01e.edc2.cf.ford.com,,404,104,identity-management-prod.apps.pd01e.edc2.cf.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-06T15:49:27Z,2024-05-07T15:49:26Z,"CN=edcpd02e.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",edcpd02e.app.ford.com,Ford Motor Company,pcf10e.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f2b4e43c8d0944da7e69f6998fd9ea73,660d59e05702c9cec76b327eb8d8d1b002870e8d3fb0ba9a96b05b230e0f4b40,ctls,identity-management-prod.apps.pd01e.edc2.cf.ford.com,443,https://identity-management-prod.apps.pd01e.edc2.cf.ford.com:443,https,,text/plain,GET,19.12.97.31,/,-2089758331,19.12.97.31,2,False,,,,True,,,
image.ar-mail.ford.com,Access Denied,403,280,image.ar-mail.ford.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-02T00:00:00Z,2024-03-29T23:59:59Z,"CN=san-3-s13.tlsprovisioning.exacttarget.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",san-3-s13.tlsprovisioning.exacttarget.com,"Salesforce.com, Inc.",image.mail.ucbi.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,c325e708d8af3a03e62423255adade56,accc7664b9c96f437dd6def92868d7991fdf0628ac50d42bb2f4c2166c771e40,ctls,image.ar-mail.ford.com,443,https://image.ar-mail.ford.com:443,https,AkamaiGHost,text/html,GET,104.126.37.169,/,-1207201567,2a02:26f0:3500:1b::1724:a388,10,False,,,,,,,
image.br-mail.ford.com,Access Denied,403,280,,,,,,,,,,,,,,,,,,,,80,http://image.br-mail.ford.com:80,http,AkamaiGHost,text/html,GET,104.126.37.169,/,1009043069,2a02:26f0:3500:1b::1724:a388,10,False,,,,,,,
img.ford.com,Mapp Engage - Login-Seite,200,8456,img.ford.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-22T00:00:00Z,2023-07-22T23:59:59Z,CN=img.ford.com,img.ford.com,,www.img.ford.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",75fde921063241bfee6258a17563910f,e3122a9e60276a7d08a25bf055038d762131f3ee00145e0cdd40e2c5c7fd6023,ctls,img.ford.com,80,http://img.ford.com:80,http,WebServer,text/html,GET,91.192.43.152,/,345421324,91.192.43.154,281,False,,Bootstrap,,,,,https://img.ford.com
inc.ford.com,AX4,200,572,inc.ford.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-01-03T08:54:36Z,2024-02-04T08:54:35Z,"CN=inc.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",inc.ford.com,Ford Motor Company,inc.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,7d28602f69eb0328b0735d703680dd38,3087acbbb1ca569a223a583f47453ce0113a6c28781542f1f7786a8d8df4eee2,ctls,inc.ford.com,443,https://inc.ford.com:443,https,Apache,text/html,GET,194.153.114.215,/,-1840324437,194.153.114.215,18,False,,HSTS,,,,,
incentives.ford.com,,404,42,incentives.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2022-06-29T20:56:06Z,2023-07-31T20:56:05Z,"CN=www.redlb.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",www.redlb.ford.com,Ford Motor Company,redlb.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0cb06c567777da363520dacb05b56e8e,28ff3e6a07089f6005f97687ae208ce59d205121ca3fcf6cee85be4a4ae97405,ctls,incentives.ford.com,443,https://incentives.ford.com:443,https,,text/html,GET,19.12.113.37,/,-1627222564,19.12.97.37,2,False,,Java Servlet:3.0,,,,,
incentives.lincoln.com,,404,42,incentives.lincoln.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2022-06-29T20:56:06Z,2023-07-31T20:56:05Z,"CN=www.redlb.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",www.redlb.ford.com,Ford Motor Company,redlb.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0cb06c567777da363520dacb05b56e8e,28ff3e6a07089f6005f97687ae208ce59d205121ca3fcf6cee85be4a4ae97405,ctls,incentives.lincoln.com,443,https://incentives.lincoln.com:443,https,,text/html,GET,19.12.97.37,/,-1627222564,19.12.113.37,2,False,,Java Servlet:3.0,,,,,
india.ford.com,Access Denied,403,271,www.india.ford.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-28T00:00:00Z,2024-03-27T23:59:59Z,"CN=touch.secure.ford.co.za, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",touch.secure.ford.co.za,Ford Motor Company,wwwqa.motorcraft.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,8475046b987b913254cfffd5580489c3,f9f4ce539b88c4300563f26cff286954a285b36cbe0728fd74cd452a7b15daf8,ctls,www.india.ford.com,80,http://india.ford.com:80,http,AkamaiGHost,text/html,GET,34.110.162.241,/,-979712594,34.110.162.241,10,False,google,,True,,,,https://www.india.ford.com:443/
jira-ford.comodo.bluesnap.com,All-in-One Payment Orchestration Platform to Increase Revenue & Reduce Costs | BlueSnap,200,136812,home.bluesnap.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-20T00:00:00Z,2024-01-20T23:59:59Z,"CN=home.bluesnap.com, O=BlueSnap\, Inc., ST=Massachusetts, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US, serialNumber=2428061, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US",home.bluesnap.com,"BlueSnap, Inc.",www.home.bluesnap.com,"CN=Sectigo RSA Extended Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Extended Validation Secure Server CA,Sectigo Limited,390e3be31595325f767447b20fc0cc68,2eb33ac2fdca94a8ec21935c87638e05c8f9237920dcc120c476072948b2f0d2,ctls,home.bluesnap.com,443,https://jira-ford.comodo.bluesnap.com:443,https,cloudflare,text/html,GET,141.226.142.181,/,,141.226.142.181,1145,False,,Yoast SEO:20.4,,,,*.bluesnap.com,https://home.bluesnap.com
journey.cf.app.ford.com,,401,102,journey.cf.app.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-11T15:12:04Z,2024-06-11T15:12:03Z,"CN=journey.prod.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",journey.prod.cf.app.ford.com,Ford Motor Company,journey.cf.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,4ac122dbc7c3c5cdfeb3339c2208d287,476203d1576d41c108469054e3f23c887cb2462cce69bc5d3dc7e630b96e7f2e,ctls,journey.cf.app.ford.com,443,https://journey.cf.app.ford.com:443,https,,application/json,GET,19.12.128.225,/,-469146358,2620:0:402:2012:0:ffff:130c:80e1,1,False,,HSTS,,,,,
journey.ford.com,JourneyEvolutionUi,200,751,journey.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-11T15:10:56Z,2024-06-11T15:10:55Z,"CN=journey.prod.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",journey.prod.cf.app.ford.com,Ford Motor Company,journey.cf.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,43d14df6c5ba4ec494881a67eaf263ec,c017b17d041c05def0be104674a4a108c4febb10fa645a06f315759de419ea87,ctls,journey.ford.com,443,https://journey.ford.com:443,https,nginx/1.21.6,text/html,GET,19.12.136.225,/,-1851491385,2620:0:402:2012:0:ffff:130c:80e1,15,False,,Nginx:1.21.6,,,,,
ks1vp124-vpncn1.ford.com,,200,315,ks1vp124-vpncn1.ford.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,,2022-11-16T20:37:54Z,2023-12-18T20:37:53Z,"CN=vpncn1.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",vpncn1.ford.com,Ford Motor Company,ks1vp127-vpncn1.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,be76b771f4d6de5f143adf5f70073bf9,9eda775eb3e1dfa3e6e41e2f0e60cf5abae0947b3fc4b0be625b195b4d97cb87,ctls,ks1vp124-vpncn1.ford.com,443,https://ks1vp124-vpncn1.ford.com:443,https,,text/html,GET,101.52.131.5,/,1878261793,101.52.131.5,9,False,,,,,,,
ks1vp125-vpncn1.ford.com,,200,315,ks1vp125-vpncn1.ford.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,,2022-11-16T20:37:54Z,2023-12-18T20:37:53Z,"CN=vpncn1.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",vpncn1.ford.com,Ford Motor Company,ks1vp127-vpncn1.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,be76b771f4d6de5f143adf5f70073bf9,9eda775eb3e1dfa3e6e41e2f0e60cf5abae0947b3fc4b0be625b195b4d97cb87,ctls,ks1vp125-vpncn1.ford.com,443,https://ks1vp125-vpncn1.ford.com:443,https,,text/html,GET,101.52.131.6,/,1878261793,101.52.131.6,9,False,,,,,,,
lens.ford.com,,401,49,lens.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-04-06T15:49:27Z,2024-05-07T15:49:26Z,"CN=edcpd02e.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",edcpd02e.app.ford.com,Ford Motor Company,pcf10e.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f2b4e43c8d0944da7e69f6998fd9ea73,660d59e05702c9cec76b327eb8d8d1b002870e8d3fb0ba9a96b05b230e0f4b40,ctls,lens.ford.com,443,https://lens.ford.com:443,https,nginx/1.20.1,application/octet-stream,GET,19.12.96.7,/,-961604640,19.12.96.7,1,False,,Nginx:1.20.1,,True,,,
login.centroamerica.ford.com,,404,103,login.centroamerica.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-24T00:00:00Z,2023-09-23T23:59:59Z,CN=login.centroamerica.ford.com,login.centroamerica.ford.com,,login.centroamerica.ford.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",4924b7ecfbaf0b687a1f172867067e6d,7af802bad475725565de6a39c20747e5f12143fe148493d5e0dc152580112c05,ctls,login.centroamerica.ford.com,80,http://login.centroamerica.ford.com:80,http,,text/html,GET,13.107.238.45,/,-20275242,2620:1ec:4f:1::45,1,False,,HSTS,,,,,https://login.centroamerica.ford.com/
login.ford.com,,404,103,login.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-30T00:00:00Z,2023-07-30T23:59:59Z,CN=login.ford.com,login.ford.com,,login.ford.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",b03c9f8d7a344b44898c54d279fd1aac,8bc6d4883777a898dcd63f852ffaf975c88aa84390a4fe85c0e7fd81747e8537,ctls,login.ford.com,80,http://login.ford.com:80,http,,text/html,GET,13.107.237.45,/,-20275242,2620:1ec:4f:1::45,1,False,,HSTS,,,,,https://login.ford.com/
logindev.caribe.ci.ford.com,,404,103,logindev.caribe.ci.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-15T00:00:00Z,2023-09-10T23:59:59Z,CN=logindev.caribe.ci.ford.com,logindev.caribe.ci.ford.com,,logindev.caribe.ci.ford.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",7fa1da2fc4b7877dd40a21428be9e311,72740b6c9fd5d5d5bff1a77d1ac358cf9bc0578d771cf6a2ca00b514654130d0,ctls,logindev.caribe.ci.ford.com,80,http://logindev.caribe.ci.ford.com:80,http,,text/html,GET,13.107.238.45,/,-20275242,2620:1ec:4f:1::45,1,False,,HSTS,,,,,https://logindev.caribe.ci.ford.com/
logindev.ford.com,,404,103,logindev.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-01T00:00:00Z,2023-11-01T23:59:59Z,CN=logindev.ford.com,logindev.ford.com,,logindev.ford.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",cedff4b940c3970051c9e290fdc686c0,c67846089698c6b01f8bd25d26ef78048c88e92b3e767e3a054f0e343b11f69c,ctls,logindev.ford.com,80,http://logindev.ford.com:80,http,,text/html,GET,13.107.238.45,/,-20275242,2620:1ec:4e:1::45,1,False,,HSTS,,,,,https://logindev.ford.com/
logindev.lincoln.com,,404,103,logindev.lincoln.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-03T00:00:00Z,2023-07-03T23:59:59Z,CN=logindev.lincoln.com,logindev.lincoln.com,,logindev.lincoln.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",486857d5831f268ebdc3f96563e6b613,386af4a8d16cd9fc19d303cb8ee427f96c3af44635b842641f138faefa5fdce5,ctls,logindev.lincoln.com,443,https://logindev.lincoln.com:443,https,,text/html,GET,13.107.237.45,/,-20275242,2620:1ec:4f:1::45,1,False,,HSTS,,,,,
loginedu.lincoln.com,,404,103,loginedu.lincoln.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-22T00:00:00Z,2023-07-22T23:59:59Z,CN=loginedu.lincoln.com,loginedu.lincoln.com,,loginedu.lincoln.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",12c6c42db85457c2b15f570cbfe3b9ab,d9df701e1b8e5cdff1c105b1a4afec1209c42413d337e1d08d27c717b8b0f047,ctls,loginedu.lincoln.com,443,https://loginedu.lincoln.com:443,https,,text/html,GET,13.107.237.45,/,-20275242,2620:1ec:4e:1::45,1,False,,HSTS,,,,,
lookandstyle.ford.com,,200,,,,,,,,,,,,,,,,,,,,,80,http://lookandstyle.ford.com:80,http,Microsoft-IIS/10.0,text/html,GET,19.12.97.91,/,-1840324437,19.12.113.91,1,False,,Windows Server,,,,,http://fordlookandstyle.azurewebsites.net/
loyalty-webpages-bundle.uspd01.cf.ford.com,,404,94,loyalty-webpages-bundle.uspd01.cf.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-06-30T16:15:18Z,2023-08-01T16:15:17Z,"CN=*.uspd01.cf.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",*.uspd01.cf.ford.com,Ford Motor Company,uspd01.cf.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,60ef602e2e16b02749cb330873c4235e,c80d5e049adddafc6d3acb9d056891120b6297a4119476d57e76d02d8323acf4,ctls,loyalty-webpages-bundle.uspd01.cf.ford.com,443,https://loyalty-webpages-bundle.uspd01.cf.ford.com:443,https,,text/plain,GET,40.90.247.77,/,206867926,40.90.247.77,2,False,azure,,True,True,,,
lyncdiscover.ford.com,,200,352,,,,,,,,,,,,,,,,,,,,80,http://lyncdiscover.ford.com:80,http,,application/json,GET,52.112.196.45,/,115711102,2603:1027::e,1,False,,Azure,,,,,
m.at.ford.com,@FordOnline,200,8915,m.at.ford.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-01-18T00:00:00Z,2023-10-18T23:59:59Z,"CN=corporate.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",corporate.ford.com,Ford Motor Company,accessoires.ford.ca,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,159c421c7db9fbf6b80b87ef7270225c,8a917c0e84d17ab0f3c85a0808e58d842efffd61bc5527bab72d163052f646f9,ctls,m.at.ford.com,80,http://m.at.ford.com:80,http,,text/html,GET,184.25.219.103,/,-1569222096,2a02:26f0:1700:38f::bbf,191,False,,HSTS,,,,,https://m.at.ford.com/us/en/home.html
m.caribbean.lincoln.com,,200,10011,,,,,,,,,,,,,,,,,,,,80,http://m.caribbean.lincoln.com:80,http,openresty,text/html,GET,13.248.169.48,/,1770812503,76.223.54.146,1,False,,OpenResty,,,,,
m.cpo.lincoln.com,IIS Windows Server,200,703,,,,,,,,,,,,,,,,,,,,80,http://m.cpo.lincoln.com:80,http,Microsoft-IIS/10.0,text/html,GET,204.90.52.100,/,575445621,204.90.52.100,32,False,,Windows Server,,,,,
m.dominicana.lincoln.com,,200,10011,,,,,,,,,,,,,,,,,,,,80,http://m.dominicana.lincoln.com:80,http,openresty,text/html,GET,13.248.169.48,/,1770812503,76.223.54.146,1,False,,OpenResty,,,,,
m.origin.me.lincoln.com,Google,200,1875,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,ctls,www.google.com,80,http://m.origin.me.lincoln.com:80,http,gws,application/xhtml+xml,GET,34.110.162.241,/,708578229,34.110.162.241,1,False,google,HTTP/3,True,,,https://csp.withgoogle.com/csp/gws/other-hp,https://www.google.com:443/
mackit.motorcraft.com,Not Found,404,315,mackit.motorcraft.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-11-29T00:00:00Z,2023-12-30T23:59:59Z,CN=www.syngentastoplight.com,www.syngentastoplight.com,,syngentastoplight.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",471a1d3fda27b7c6b1c0f8ff08fe7fb2,04b87807c323b24e7147ff8aadb1e20f933b2bf95c7515431eeea07c196b7d9b,ctls,mackit.motorcraft.com,443,https://mackit.motorcraft.com:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,204.90.53.192,/,225052475,204.90.53.192,7,False,,Microsoft HTTPAPI:2.0,,,,,
me.lincoln.com,Access Denied,403,272,www.me.lincoln.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=www.lincoln.com.cn, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",www.lincoln.com.cn,Ford Motor Company,wwwqa.lincoln.com.cn,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,57b09b720621d0fe3663b4eeed646aff,47334cb9f3d2600fc1fd2284285fc6f74f54ff90b20b2e84699d5037d6d613b8,ctls,www.me.lincoln.com,443,https://me.lincoln.com:443,https,AkamaiGHost,text/html,GET,34.110.162.241,/,-1759633088,34.110.162.241,10,False,google,,True,,,,https://www.me.lincoln.com:443/
me.quicklane.com,,500,,me.quicklane.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-12T02:57:27Z,2023-08-10T02:57:26Z,CN=me.quicklane.com,me.quicklane.com,,me.quicklane.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ea6ca54e3bbd63f05aafbf1e630be069,1faa7195b99c6493da86b4841d95c478e0fe85e3f147af0a39c3a7f6b5c7bc5b,ctls,me.quicklane.com,443,https://me.quicklane.com:443,https,Apache,text/html,GET,52.212.52.84,/,-1840324437,63.32.161.232,1,False,,Heroku,,,,,https://me.quicklane.com/ar
merchandise.ford.com,Ford® Merchandise | Official Clothing & Apparel Shop,200,329600,merchandise.ford.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-30T04:54:53Z,2023-06-28T04:54:52Z,CN=merchandise.ford.com,merchandise.ford.com,,merchandise.ford.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ecc901888f7990dcbbf5c0273894809d,89cb859a139da1df16a98542d26253c0af5e6aa44fabba9c91318d92364fae0a,ctls,merchandise.ford.com,443,https://merchandise.ford.com:443,https,cloudflare,text/html,GET,23.227.38.65,/,-1840324437,23.227.38.65,4372,False,,Shopify,,,,,
na-copy-prod.apps.pd01e.edc2.cf.ford.com,,404,92,na-copy-prod.apps.pd01e.edc2.cf.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-06T15:49:27Z,2024-05-07T15:49:26Z,"CN=edcpd02e.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",edcpd02e.app.ford.com,Ford Motor Company,pcf10e.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f2b4e43c8d0944da7e69f6998fd9ea73,660d59e05702c9cec76b327eb8d8d1b002870e8d3fb0ba9a96b05b230e0f4b40,ctls,na-copy-prod.apps.pd01e.edc2.cf.ford.com,443,https://na-copy-prod.apps.pd01e.edc2.cf.ford.com:443,https,,text/plain,GET,19.12.97.31,/,1627007046,19.12.97.31,2,False,,,,True,,,
na-copy.prod.cf.app.ford.com,403 Forbidden,403,548,na-copy.prod.cf.app.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-27T20:42:45Z,2024-04-27T20:42:44Z,"CN=na-copy.prod.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",na-copy.prod.cf.app.ford.com,Ford Motor Company,na-copy.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,2afc95b2f8847e9862bc024013d2121d,91685e5d00735b338a43cf4f22a99712507d1938fd9dad9b6078465892f3bdc0,ctls,na-copy.prod.cf.app.ford.com,80,http://na-copy.prod.cf.app.ford.com:80,http,nginx,text/html,GET,19.12.140.83,/,566218143,2620:0:403:2012:0:ffff:130c:8c53,14,False,,Nginx,,,,,https://na-copy.prod.cf.app.ford.com/
ocsp.ford.com,IIS Windows Server,200,703,,,,,,,,,,,,,,,,,,,,80,http://ocsp.ford.com:80,http,Microsoft-IIS/10.0,text/html,GET,19.12.112.145,/,1631801191,19.12.112.145,32,False,,Windows Server,,,,,
oct.ford.com,,404,64,,,,,,,,,,,,,,,,,,,,80,http://oct.ford.com:80,http,,text/plain,GET,40.90.247.77,/,973278977,40.90.247.77,2,False,azure,,True,,,,
origin.accessories.lincoln.com,,503,2503,origin.accessories.lincoln.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-20T21:39:01Z,2025-04-19T21:39:02Z,CN=*.extapps.pd122.caas.gcp.ford.com,*.extapps.pd122.caas.gcp.ford.com,,*.extapps.pd122.caas.gcp.ford.com,CN=ingress-operator@1682025334,ingress-operator@1682025334,,d2c137b255bdc0c4ff22ff7c88841dc8,f6153ecbc6ed056b2cc6bd1d266bdd1bd91cc4ddadcbf4f2ba5066fa7a91f0fc,ctls,origin.accessories.lincoln.com,443,https://origin.accessories.lincoln.com:443,https,,text/html,GET,19.12.97.132,/,1539244717,19.12.97.132,94,False,,,,True,,,
ota.ford.com,OTA Home,200,28179,ota.ford.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-29T12:56:33Z,2024-04-29T12:56:32Z,"CN=ota.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",ota.ford.com,Ford Motor Company,gcp.ota.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,32c972b55c7a28a116ce6a5921877dd5,0a1db49065ef08ff60ccef21a3a1b3cd56818ba553b076c1f4af0719b8369532,ctls,ota.ford.com,443,https://ota.ford.com:443,https,Google Frontend,text/html,GET,34.120.1.159,/,-1779096527,34.120.1.159,24,False,google,HTTP/3,True,,,,
