new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,txt,mx,ns,has_internal_ips,internal_ips
,appsec-dev02.intel.com,192.198.167.78,,,NOERROR,,,,,,,,
,appsec-int01.intel.com,192.198.167.239,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,appsec-int02.intel.com,192.198.167.242,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,appsec-test01.intel.com,,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,appsecdownload-new.intel.com,192.102.192.15,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,appsecdownload.intel.com,192.102.192.15,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,appshowcase.intel.com,13.91.95.74,cloudrebounder.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,True,azure,,,,,,
,apt.repos.intel.com,104.70.95.214,"intel19235.edgekey.net, e19235.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:3500:897::4b23, 2a02:26f0:3500:88b::4b23",,,,,
,arc.intel.com,13.91.95.74,cloudrebounder.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,True,azure,,,,,,
,arccontrol.intel.com,,,,NOERROR,,,,,,,,
,arcstore.intel.com,"151.101.65.124, 151.101.129.124, 151.101.193.124, 151.101.1.124",,"ns1.intel.com, hostmaster.intel.com",NOERROR,True,fastly,,v=spf1 include:em6163.arcstore.intel.com -all,,,,
,arcticket-beta.intel.com,13.91.95.74,cloudrebounder.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,True,azure,,,,,,
,arcticket.intel.com,13.91.95.74,cloudrebounder.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,True,azure,,,,,,
,argo.intel.com,143.183.152.11,ligea.sc.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,argo.sc.intel.com,143.183.152.11,ligea.sc.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ark-care.intel.com,23.56.201.214,"intel11.edgekey.net, e7842.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:6c00:19e::1ea2, 2a02:26f0:6c00:185::1ea2",,,,,
,ark-prdnew.intel.com,198.175.96.83,lbauto-198-175-96-83.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,ark-stg.intel.com,23.37.37.239,"intel11.edgekey.net, e7842.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:6c00:185::1ea2, 2a02:26f0:6c00:19e::1ea2",,,,,
,ark.intel.com,2.23.141.119,"intel11.cn.edgekey.net, e7842.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2001:2030:15:1ab::1ea2, 2001:2030:15:193::1ea2",,,,,
,arms-fe02a.ed.cps.intel.com,,,,NOERROR,,,,,,,,
,arms.cps.intel.com,198.175.96.243,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,asiareseller.intel.com,13.91.95.74,,"ns1.intel.com, hostmaster.intel.com",NOERROR,True,azure,,v=spf1 include:_netblocks.eloqua.com -all,intel.com,,,
,asmoconsumptionftp.intel.com,192.198.165.156,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,assessmenttool-test.intel.com,"54.69.25.254, 52.40.235.213",,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,assessmenttool.intel.com,"35.165.49.104, 52.37.142.0",,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,assetmanager-ciqa.intel.com,54.219.67.134,intel-b70-ciqa-assets-1322055015.us-west-1.elb.amazonaws.com,"ns-699.awsdns-23.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,assetmanager-stg.intel.com,"52.9.58.91, 54.215.218.174",intel-b70-stage-assets-228083850.us-west-1.elb.amazonaws.com,"ns-699.awsdns-23.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,assetmanager.intel.com,"52.52.163.78, 54.215.224.221",intel-b70-prod1-assets-653539173.us-west-1.elb.amazonaws.com,"ns-699.awsdns-23.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,assetrecovery.intel.com,192.198.164.145,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,assets.intel.com,,intel-b70-prod1-assets-653539173.us-west-1.elb.amazonaws.com,,NOERROR,,,,,,,,
,atservice.intel.com,192.198.165.191,bouncer.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,authentication.unitecloud.intel.com,"54.237.58.113, 52.7.99.166, 52.6.53.126",authentication-ms.uniteprd.adsdcsp.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,autodiscover.intel.com,192.198.165.144,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,av.corpint.intel.com,192.198.160.78,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,axon.intel.com,35.247.155.121,"intel-prod.apigee.net, intel-portal.dn.apigee.net, rgas1rt001-1-routers.dn.apigee.net","ns-1671.awsdns-16.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,
,b2bbizprod.intel.com,192.198.164.35,b2bbizprod.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,b2bservicespreview.intel.com,192.198.167.183,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,b2btools.intel.com,192.198.165.191,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,v=spf1 ip4:208.85.54.223 ip4:208.85.54.226 ip4:74.112.64.38 ip4:74.112.64.47 ip4:74.112.65.118 -all,"reply.silverpop.mkt701.com, mail1274.silverpop.mkt689.com, mail1286.silverpop.mkt701.com, mail1486.silverpop.mkt1286.com, mail1489.silverpop.mkt1289.com, mail2734.silverpop.mkt3330.com",,,
,b2btpa-con20.intel.com,192.198.167.191,b2btpacon20.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,b2btpa-prd20.intel.com,192.198.165.207,b2btpaprd20.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,b2btpa.cps.intel.com,192.198.164.182,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,b2btpa.intel.com,192.198.164.182,b2btpa.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,b2btpa20.intel.com,192.198.165.145,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,b2btpacons.cps.intel.com,192.198.166.76,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,b2btpacons.intel.com,192.198.166.76,b2btpacons.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,b2btpadr.intel.com,198.175.96.184,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,b2btpaprod.cps.intel.com,192.198.165.69,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,b2btpaprod.intel.com,192.198.165.69,b2btpaprod.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,b2btpaqa.cps.intel.com,,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,b2btpaqa.intel.com,192.198.167.20,b2btpaqa.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,b2btpasupp.intel.com,192.198.166.77,b2btpasupp.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,b2btpatest.cps.intel.com,192.198.167.21,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
