input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,tech_,cdn,tls_wildcard_certificate,final_url,csp_domains_
upgrade.com,"Upgrade - Personal Loans, Cards and Rewards Checking | Home",200,204255,www.upgrade.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-13T00:00:00Z,2024-02-13T23:59:59Z,"CN=www.upgrade.com, O=Upgrade\, Inc., L=San Francisco, ST=California, C=US, serialNumber=6049832, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.upgrade.com,"Upgrade, Inc.",static.upgrade.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,7f647d540b9adc6340f7cedfe161e098,97a0889a8101386f84e64abed01ca0877f3224992c7a69b16252796f67243fb3,ctls,www.upgrade.com,443,https://upgrade.com:443,https,istio-envoy,text/html,GET,35.83.200.106,/,1936779172,52.89.130.13,571,False,,webpack,,,https://www.upgrade.com/,https://load.sumo.com
use1.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://use1.access.upgrade.com:443,https,,text/html,GET,52.89.199.50,/,1241808259,54.71.40.177,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/use1.access.upgrade.com?path=%2F,https://use1.access.upgrade.com:*
use1.corp.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://use1.corp.access.upgrade.com:443,https,,text/html,GET,52.89.199.50,/,1748729788,44.242.59.212,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/use1.corp.access.upgrade.com?path=%2F,https://use1.corp.access.upgrade.com:*
use1.ondemand.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://use1.ondemand.access.upgrade.com:443,https,,text/html,GET,54.71.40.177,/,379150285,52.89.199.50,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/use1.ondemand.access.upgrade.com?path=%2F,https://use1.ondemand.access.upgrade.com:*
use1.poc.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://use1.poc.access.upgrade.com:443,https,,text/html,GET,54.71.40.177,/,1297728043,52.89.199.50,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/use1.poc.access.upgrade.com?path=%2F,https://use1.poc.access.upgrade.com:*
use1.preprod.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://use1.preprod.access.upgrade.com:443,https,,text/html,GET,44.242.59.212,/,-2094796992,52.89.199.50,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/use1.preprod.access.upgrade.com?path=%2F,https://use1.preprod.access.upgrade.com:*
use1.prod.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://use1.prod.access.upgrade.com:443,https,,text/html,GET,44.242.59.212,/,1188963968,54.71.40.177,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/use1.prod.access.upgrade.com?path=%2F,https://use1.prod.access.upgrade.com:*
use1.services.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://use1.services.access.upgrade.com:443,https,,text/html,GET,44.242.59.212,/,1751006426,52.89.199.50,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/use1.services.access.upgrade.com?path=%2F,https://use1.services.access.upgrade.com:*
use1.stage.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://use1.stage.access.upgrade.com:443,https,,text/html,GET,52.89.199.50,/,2033128503,54.71.40.177,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/use1.stage.access.upgrade.com?path=%2F,https://use1.stage.access.upgrade.com:*
usi.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://usi.access.upgrade.com:443,https,,text/html,GET,44.242.59.212,/,-1619806344,52.89.199.50,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/usi.access.upgrade.com?path=%2F,https://usi.access.upgrade.com:*
www.upgrade.com,"Upgrade - Personal Loans, Cards and Rewards Checking | Home",200,204259,www.upgrade.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-13T00:00:00Z,2024-02-13T23:59:59Z,"CN=www.upgrade.com, O=Upgrade\, Inc., L=San Francisco, ST=California, C=US, serialNumber=6049832, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.upgrade.com,"Upgrade, Inc.",static.upgrade.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,7f647d540b9adc6340f7cedfe161e098,97a0889a8101386f84e64abed01ca0877f3224992c7a69b16252796f67243fb3,ctls,www.upgrade.com,443,https://www.upgrade.com:443,https,istio-envoy,text/html,GET,23.213.161.198,/,1936779172,2a02:26f0:480:23::1726:62ae,571,False,,webpack,,,,https://cdn.cookielaw.org
