input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_expired,csp_domains_
stage.account.krisp.ai,Krisp,200,1573,stage.account.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-21T14:22:13Z,2023-09-19T14:22:12Z,CN=stage.account.krisp.ai,stage.account.krisp.ai,,stage.account.krisp.ai,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,fe9902854ddda840f4aa573eefe888e9,70279a29876a5d3a26bf680a3936059944bef110ff5322314901c364e10def5c,,ctls,stage.account.krisp.ai,cloudflare,443,https://stage.account.krisp.ai:443,https,cloudflare,text/html,GET,104.18.26.251,/,1953174895,104.18.27.251,Cloudflare,1,False,True,,,
stage.analytics.krisp.ai,,403,23,stage.analytics.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-31T00:00:00Z,2024-03-30T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5f18a5ec377f6033d9f976041b538966,3905f82cde10450f4698e8daa36f00558c0c629a066fa09a1fbcfd7b975c73ac,True,ctls,stage.analytics.krisp.ai,cloudflare,443,https://stage.analytics.krisp.ai:443,https,cloudflare,application/json,GET,104.18.27.251,/,968070783,104.18.26.251,Cloudflare,1,False,True,,,
stage.api.krisp.ai,,503,,stage.api.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-21T00:00:00Z,2023-11-21T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",dadf6233733a113a563d28bd1d0f0c27,abda35ecfa56b3a369613a43910910e4962848a45c51a56e37b2e37f1fd0a348,True,ctls,stage.api.krisp.ai,cloudflare,443,https://stage.api.krisp.ai:443,https,cloudflare,text/plain,GET,104.18.27.251,/,-1840324437,104.18.26.251,Cloudflare,1,False,True,,,
stage.app.krisp.ai,Krisp,200,1397,stage.app.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-31T10:51:13Z,2023-10-29T10:51:12Z,CN=stage.app.krisp.ai,stage.app.krisp.ai,,stage.app.krisp.ai,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,74584b650ef2421a6ae37dbb90407b4d,9ac02c83f041ad82caa3d2ce4ebb9e7c6d1b7c8281ffc131131fe7a4ddaffb09,,ctls,stage.app.krisp.ai,cloudflare,443,https://stage.app.krisp.ai:443,https,cloudflare,text/html,GET,104.18.27.251,/,1953174895,104.18.26.251,Cloudflare,1,False,True,,,
stage.new.account.krisp.ai,,403,,stage.new.account.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.new.account.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f54e755a86e9a02def2a5f39362aaed,b6640a2e3538b31f386c128f7c98ac342909f50775cac7b43d655990b828e55d,True,ctls,stage.new.account.krisp.ai,cloudflare,443,https://stage.new.account.krisp.ai:443,https,cloudflare,text/plain,GET,104.18.26.251,/,-1840324437,104.18.27.251,Cloudflare,1,False,True,,,
stage.r.krisp.ai,Krisp,200,1573,stage.account.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-21T14:22:13Z,2023-09-19T14:22:12Z,CN=stage.account.krisp.ai,stage.account.krisp.ai,,stage.account.krisp.ai,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,fe9902854ddda840f4aa573eefe888e9,70279a29876a5d3a26bf680a3936059944bef110ff5322314901c364e10def5c,,ctls,stage.account.krisp.ai,,443,https://stage.r.krisp.ai:443,https,cloudflare,text/html,GET,34.197.143.116,/,1652783660,44.198.214.109,Cloudflare,1,False,,https://stage.account.krisp.ai:443/share/record/,,
stage.sdk.krisp.ai,SDK Dashboard,200,678,stage.sdk.krisp.ai,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-15T00:00:00Z,2024-04-12T23:59:59Z,CN=stage.sdk.krisp.ai,stage.sdk.krisp.ai,,stage.sdk.krisp.ai,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d8b709fac8974cc2aba13c1331943ced,a63e25fe8c3a68ffc8c52858fcec425885a1d5b5cdbd74a882c9b15050b37301,,ctls,stage.sdk.krisp.ai,,443,https://stage.sdk.krisp.ai:443,https,nginx,text/html,GET,3.229.185.176,/,-1537916877,34.225.39.105,Nginx,1,False,,,,
stage.teams.krisp.ai,,503,,stage.teams.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-11-21T00:00:00Z,2023-11-21T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",dadf6233733a113a563d28bd1d0f0c27,abda35ecfa56b3a369613a43910910e4962848a45c51a56e37b2e37f1fd0a348,True,ctls,stage.teams.krisp.ai,cloudflare,443,https://stage.teams.krisp.ai:443,https,cloudflare,text/plain,GET,104.18.26.251,/,-1840324437,104.18.27.251,Cloudflare,1,False,True,,,
stage.upld.krisp.ai,,200,21,stage.upld.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-11-21T00:00:00Z,2023-11-21T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",dadf6233733a113a563d28bd1d0f0c27,abda35ecfa56b3a369613a43910910e4962848a45c51a56e37b2e37f1fd0a348,True,ctls,stage.upld.krisp.ai,cloudflare,443,https://stage.upld.krisp.ai:443,https,cloudflare,application/json,GET,104.18.27.251,/,1593207841,104.18.26.251,Node.js,1,False,True,,,
syn-bt2ywgclz3.api.krisp.ai,,503,,syn-bt2ywgclz3.api.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-21T00:00:00Z,2023-11-21T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",dadf6233733a113a563d28bd1d0f0c27,abda35ecfa56b3a369613a43910910e4962848a45c51a56e37b2e37f1fd0a348,True,ctls,syn-bt2ywgclz3.api.krisp.ai,cloudflare,443,https://syn-bt2ywgclz3.api.krisp.ai:443,https,cloudflare,text/plain,GET,104.18.27.251,/,-1840324437,104.18.26.251,Cloudflare,1,False,True,,,
teams.krisp.ai,,503,,teams.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.new.account.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f54e755a86e9a02def2a5f39362aaed,b6640a2e3538b31f386c128f7c98ac342909f50775cac7b43d655990b828e55d,True,ctls,teams.krisp.ai,cloudflare,443,https://teams.krisp.ai:443,https,cloudflare,text/plain,GET,104.18.26.251,/,-1840324437,104.18.27.251,Cloudflare,1,False,True,,,
ui.krisp.ai,,401,18,ui.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-03T13:58:08Z,2023-09-01T13:58:07Z,CN=ui.krisp.ai,ui.krisp.ai,,ui.krisp.ai,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7b076b6e07997dd6cc2de24ba8bd6951,85e86d87c753aa975b73b5c58509b2b6f1e7182be70c002d99e0b19918ec3437,,ctls,ui.krisp.ai,cloudflare,443,https://ui.krisp.ai:443,https,cloudflare,text/plain,GET,104.18.26.251,/,1789316505,104.18.27.251,Cloudflare,1,False,True,,,
upld.krisp.ai,,200,21,upld.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.new.account.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f54e755a86e9a02def2a5f39362aaed,b6640a2e3538b31f386c128f7c98ac342909f50775cac7b43d655990b828e55d,True,ctls,upld.krisp.ai,cloudflare,443,https://upld.krisp.ai:443,https,cloudflare,application/json,GET,104.18.27.251,/,1593207841,104.18.26.251,Node.js,1,False,True,,,
upload.krisp.ai,,403,243,upload.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-01-14T23:59:59Z,CN=*.krisp.ai,*.krisp.ai,,krisp.ai,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,54e0f1d83ed6666ebe453e4372100c0d,70c31e97571ea3de3559b8d40a6a025c30295baccda4c2361180a466e73cc576,True,ctls,upload.krisp.ai,cloudfront,443,https://upload.krisp.ai:443,https,AmazonS3,application/xml,GET,143.204.215.100,/,1522398515,2600:9000:214f:6600:8:76bd:3240:93a1,Amazon Web Services,2,False,True,,,
url5145.krisp.ai,404 Not Found,404,155,url5145.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.new.account.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f54e755a86e9a02def2a5f39362aaed,b6640a2e3538b31f386c128f7c98ac342909f50775cac7b43d655990b828e55d,True,ctls,url5145.krisp.ai,cloudflare,443,https://url5145.krisp.ai:443,https,cloudflare,text/html,GET,104.18.27.251,/,718397587,104.18.26.251,Cloudflare,8,False,True,,,
webcdn.krisp.ai,,403,243,webcdn.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.new.account.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f54e755a86e9a02def2a5f39362aaed,b6640a2e3538b31f386c128f7c98ac342909f50775cac7b43d655990b828e55d,True,ctls,webcdn.krisp.ai,cloudflare,443,https://webcdn.krisp.ai:443,https,cloudflare,application/xml,GET,104.18.26.251,/,571680654,104.18.27.251,Cloudflare,2,False,True,,,
whatsnew.krisp.ai,What's new at Krisp,200,113262,whatsnew.krisp.ai,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-31T23:04:42Z,2023-10-29T23:04:41Z,CN=whatsnew.krisp.ai,whatsnew.krisp.ai,,whatsnew.krisp.ai,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2ed32b07148cb6f8373d337a367b2292,39be7df65bf50476a56a98775ea180dd585791f3e1f815db486a028eafaeea46,,ctls,whatsnew.krisp.ai,google,443,https://whatsnew.krisp.ai:443,https,,text/html,GET,35.226.60.2,/,-1840324437,35.226.60.2,Stimulus,1075,False,True,,,https://ik.imagekit.io
www.krisp.ai,World’s #1 Noise Cancelling App | Krisp,200,86286,krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.new.account.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f54e755a86e9a02def2a5f39362aaed,b6640a2e3538b31f386c128f7c98ac342909f50775cac7b43d655990b828e55d,True,ctls,krisp.ai,cloudflare,443,https://www.krisp.ai:443,https,cloudflare,text/html,GET,104.18.27.251,/,-476454734,104.18.26.251,WordPress,1328,False,True,https://krisp.ai/,,https://krisp.ai
zendesk1.krisp.ai,,403,16,zendesk1.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.new.account.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f54e755a86e9a02def2a5f39362aaed,b6640a2e3538b31f386c128f7c98ac342909f50775cac7b43d655990b828e55d,True,ctls,zendesk1.krisp.ai,cloudflare,443,https://zendesk1.krisp.ai:443,https,cloudflare,text/plain,GET,162.159.138.6,/,1310216689,162.159.128.7,Cloudflare,1,False,True,,,
zendesk2.krisp.ai,,403,16,zendesk2.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.new.account.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f54e755a86e9a02def2a5f39362aaed,b6640a2e3538b31f386c128f7c98ac342909f50775cac7b43d655990b828e55d,True,ctls,zendesk2.krisp.ai,cloudflare,443,https://zendesk2.krisp.ai:443,https,cloudflare,text/plain,GET,162.159.128.7,/,1310216689,162.159.138.6,Cloudflare,1,False,True,,,
zendesk3.krisp.ai,,403,16,zendesk3.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.new.account.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f54e755a86e9a02def2a5f39362aaed,b6640a2e3538b31f386c128f7c98ac342909f50775cac7b43d655990b828e55d,True,ctls,zendesk3.krisp.ai,cloudflare,443,https://zendesk3.krisp.ai:443,https,cloudflare,text/plain,GET,162.159.138.6,/,1310216689,162.159.128.7,Cloudflare,1,False,True,,,
