input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,final_url
plausible.prod.sketch.com,,404,,plausible.prod.sketch.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=prod.sketch.com,prod.sketch.com,*.prod.sketch.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d9014394c34aa10adb8c33f1b1297b06,e95649b6e357134eee1c45afaa94da6aeba66762723e0008ff416995b1ae09d7,True,ctls,plausible.prod.sketch.com,cloudfront,443,https://plausible.prod.sketch.com:443,https,CloudFront,,GET,13.32.110.93,/,-1840324437,13.32.110.123,Amazon Web Services,1,False,True,True,,
plausible.staging.sketch.com,,404,,plausible.staging.sketch.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=staging.sketch.com,staging.sketch.com,*.staging.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65339d860366ec7a917713485beae580,867f5ce6349607167de386567e093edf443f72228d6c26d3856e54a0e1c8e70d,True,ctls,plausible.staging.sketch.com,cloudfront,443,https://plausible.staging.sketch.com:443,https,CloudFront,,GET,99.86.4.24,/,-1840324437,99.86.4.73,Amazon Web Services,1,False,True,,,
plausible.test.sketch.com,,404,,plausible.test.sketch.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=test.sketch.com,test.sketch.com,test.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e573755d4c6090ea08aab1abeb3af68c,a1cfb5e08955f0e9a4af3794da3b1f8b101762617c6af9112c2c2e8dbb7e5724,True,ctls,plausible.test.sketch.com,cloudfront,80,http://plausible.test.sketch.com:80,http,CloudFront,,GET,13.32.27.109,/,-1840324437,13.32.27.67,Amazon Web Services,1,False,True,,,https://plausible.test.sketch.com/
ppv.staging.sketch.com,,404,,ppv.staging.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=staging.sketch.com,staging.sketch.com,*.staging.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65339d860366ec7a917713485beae580,867f5ce6349607167de386567e093edf443f72228d6c26d3856e54a0e1c8e70d,True,ctls,ppv.staging.sketch.com,,80,http://ppv.staging.sketch.com:80,http,awselb/2.0,text/plain,GET,34.205.185.240,/,-1840324437,34.193.137.106,,1,False,,,,https://ppv.staging.sketch.com:443/
pre-global-shop.test.sketch.com,,404,,pre-global-shop.test.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=test.sketch.com,test.sketch.com,test.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e573755d4c6090ea08aab1abeb3af68c,a1cfb5e08955f0e9a4af3794da3b1f8b101762617c6af9112c2c2e8dbb7e5724,True,ctls,pre-global-shop.test.sketch.com,,443,https://pre-global-shop.test.sketch.com:443,https,awselb/2.0,text/plain,GET,34.205.185.240,/,-1840324437,34.193.137.106,,1,False,,,,
prego-cache.dev.sketch.com,,403,146,prego-cache.dev.sketch.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=dev.sketch.com,dev.sketch.com,dev.sketch.cloud,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6c9f913ec2dbd1ed9d7c85c321706b48,a6f3d0929504856d99874948d4fdfc492c7a129e6545388c36921de97c6440c1,True,ctls,prego-cache.dev.sketch.com,cloudfront,443,https://prego-cache.dev.sketch.com:443,https,CloudFront,text/xml,GET,18.66.112.55,/,-13968365,2600:9000:223f:bc00:5:3a37:8d00:93a1,Amazon Web Services,1,False,True,,,
prego-cache.test.sketch.com,,403,146,prego-cache.test.sketch.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=test.sketch.com,test.sketch.com,test.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e573755d4c6090ea08aab1abeb3af68c,a1cfb5e08955f0e9a4af3794da3b1f8b101762617c6af9112c2c2e8dbb7e5724,True,ctls,prego-cache.test.sketch.com,cloudfront,443,https://prego-cache.test.sketch.com:443,https,CloudFront,text/xml,GET,13.224.189.115,/,-13968365,2600:9000:20eb:a600:d:add4:af00:93a1,Amazon Web Services,1,False,True,,,
presence.prod.sketch.com,,200,46,presence.prod.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=prod.sketch.com,prod.sketch.com,*.prod.sketch.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d9014394c34aa10adb8c33f1b1297b06,e95649b6e357134eee1c45afaa94da6aeba66762723e0008ff416995b1ae09d7,True,ctls,presence.prod.sketch.com,,443,https://presence.prod.sketch.com:443,https,Cowboy,application/json,GET,54.146.167.77,/,997500400,54.204.85.13,HSTS,1,False,,True,,
private-download-staging.sketch.com,,403,243,private-download-staging.sketch.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-23T00:00:00Z,2023-09-23T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",774f59566dd1cd40d1df17a3d67a6ea4,58f45af520c0221008aa130bc47d01cb57c7263530584d061771f0a96da9bc42,,ctls,private-download-staging.sketch.com,cloudflare,443,https://private-download-staging.sketch.com:443,https,cloudflare,application/xml,GET,104.22.36.172,/,-320725963,2606:4700:10::ac43:dd0,HTTP/3,2,False,True,,"Cloudflare, Inc.",
rabbitmq.test.sketch.com,,404,,rabbitmq.test.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=test.sketch.com,test.sketch.com,test.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e573755d4c6090ea08aab1abeb3af68c,a1cfb5e08955f0e9a4af3794da3b1f8b101762617c6af9112c2c2e8dbb7e5724,True,ctls,rabbitmq.test.sketch.com,,80,http://rabbitmq.test.sketch.com:80,http,awselb/2.0,text/plain,GET,54.236.174.78,/,-1840324437,34.193.137.106,,1,False,,,,https://rabbitmq.test.sketch.com:443/
raw.test.sketch.com,,404,,raw.test.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=test.sketch.com,test.sketch.com,test.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e573755d4c6090ea08aab1abeb3af68c,a1cfb5e08955f0e9a4af3794da3b1f8b101762617c6af9112c2c2e8dbb7e5724,True,ctls,raw.test.sketch.com,,443,https://raw.test.sketch.com:443,https,awselb/2.0,text/plain,GET,54.236.174.78,/,-1840324437,34.205.185.240,,1,False,,,,
resources-cache.prod.sketch.com,,503,31,resources-cache.prod.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=prod.sketch.com,prod.sketch.com,*.prod.sketch.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d9014394c34aa10adb8c33f1b1297b06,e95649b6e357134eee1c45afaa94da6aeba66762723e0008ff416995b1ae09d7,True,ctls,resources-cache.prod.sketch.com,,443,https://resources-cache.prod.sketch.com:443,https,,text/plain,GET,54.146.167.77,/,-1144739014,44.206.171.110,,1,False,,True,,
rs5.prod.sketch.com,,503,31,rs5.prod.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=prod.sketch.com,prod.sketch.com,*.prod.sketch.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d9014394c34aa10adb8c33f1b1297b06,e95649b6e357134eee1c45afaa94da6aeba66762723e0008ff416995b1ae09d7,True,ctls,rs5.prod.sketch.com,,443,https://rs5.prod.sketch.com:443,https,,text/plain,GET,44.206.171.110,/,-1144739014,54.204.85.13,,1,False,,True,,
services-web-perf-ilb.prod.sketch.com,,503,31,services-web-perf-ilb.prod.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=prod.sketch.com,prod.sketch.com,*.prod.sketch.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d9014394c34aa10adb8c33f1b1297b06,e95649b6e357134eee1c45afaa94da6aeba66762723e0008ff416995b1ae09d7,True,ctls,services-web-perf-ilb.prod.sketch.com,,443,https://services-web-perf-ilb.prod.sketch.com:443,https,,text/plain,GET,54.146.167.77,/,-1144739014,44.206.171.110,,1,False,,True,,
shopify.dev.sketch.com,,404,,shopify.dev.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=dev.sketch.com,dev.sketch.com,dev.sketch.cloud,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6c9f913ec2dbd1ed9d7c85c321706b48,a6f3d0929504856d99874948d4fdfc492c7a129e6545388c36921de97c6440c1,True,ctls,shopify.dev.sketch.com,,443,https://shopify.dev.sketch.com:443,https,awselb/2.0,text/plain,GET,34.205.185.240,/,-1840324437,54.236.174.78,,1,False,,,,
sjc1-metadataproxy-a12.staging.sketch.com,,404,,sjc1-metadataproxy-a12.staging.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=staging.sketch.com,staging.sketch.com,*.staging.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65339d860366ec7a917713485beae580,867f5ce6349607167de386567e093edf443f72228d6c26d3856e54a0e1c8e70d,True,ctls,sjc1-metadataproxy-a12.staging.sketch.com,,443,https://sjc1-metadataproxy-a12.staging.sketch.com:443,https,awselb/2.0,text/plain,GET,34.205.185.240,/,-1840324437,34.193.137.106,,1,False,,,,
sketch.com,"Sketch · Design, collaborate, prototype and handoff",200,208945,www.sketch.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,2023-11-23T23:59:59Z,CN=*.sketch.com,*.sketch.com,*.sketch.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a8129e83c6f8e8abc08d806b0ffbfe55,8192ba44f4a1e90fe40e39464bd854e4c8bc654cb3e02025c81525e20ce25904,True,ctls,www.sketch.com,cloudfront,80,http://sketch.com:80,http,Netlify,text/html,GET,143.204.98.47,/,-756114603,143.204.98.29,Stimulus,4514,False,True,,,https://www.sketch.com/
slb1-1-lbb.staging.sketch.com,,404,,slb1-1-lbb.staging.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=staging.sketch.com,staging.sketch.com,*.staging.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65339d860366ec7a917713485beae580,867f5ce6349607167de386567e093edf443f72228d6c26d3856e54a0e1c8e70d,True,ctls,slb1-1-lbb.staging.sketch.com,,443,https://slb1-1-lbb.staging.sketch.com:443,https,awselb/2.0,text/plain,GET,34.205.185.240,/,-1840324437,34.193.137.106,,1,False,,,,
staging.sketch.com,,404,,staging.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=staging.sketch.com,staging.sketch.com,*.staging.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65339d860366ec7a917713485beae580,867f5ce6349607167de386567e093edf443f72228d6c26d3856e54a0e1c8e70d,True,ctls,staging.sketch.com,,443,https://staging.sketch.com:443,https,awselb/2.0,text/plain,GET,34.205.185.240,/,-1840324437,34.193.137.106,,1,False,,,,
t1element.prod.sketch.com,,503,31,t1element.prod.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=prod.sketch.com,prod.sketch.com,*.prod.sketch.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d9014394c34aa10adb8c33f1b1297b06,e95649b6e357134eee1c45afaa94da6aeba66762723e0008ff416995b1ae09d7,True,ctls,t1element.prod.sketch.com,,80,http://t1element.prod.sketch.com:80,http,,text/plain,GET,54.204.85.13,/,-1144739014,54.146.167.77,,1,False,,True,,https://t1element.prod.sketch.com:443/
test-download.sketch.com,,403,243,test-download.sketch.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-23T00:00:00Z,2023-09-23T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,test-download.sketch.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",d9b89dc4ce812e2ae25392b639474d6e,5d3ac315960b45807c1c919ccb475aad39015ad51ef851fc3cec079313db84ca,,ctls,test-download.sketch.com,cloudflare,443,https://test-download.sketch.com:443,https,cloudflare,application/xml,GET,104.22.36.172,/,-1347347623,2606:4700:10::ac43:dd0,HTTP/3,2,False,True,,"Cloudflare, Inc.",
test.sketch.com,,404,,test.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=test.sketch.com,test.sketch.com,test.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e573755d4c6090ea08aab1abeb3af68c,a1cfb5e08955f0e9a4af3794da3b1f8b101762617c6af9112c2c2e8dbb7e5724,True,ctls,test.sketch.com,,443,https://test.sketch.com:443,https,awselb/2.0,text/plain,GET,34.205.185.240,/,-1840324437,54.236.174.78,,1,False,,,,
uncoverfbrevers-miscompras.test.sketch.com,,404,,uncoverfbrevers-miscompras.test.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=test.sketch.com,test.sketch.com,test.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e573755d4c6090ea08aab1abeb3af68c,a1cfb5e08955f0e9a4af3794da3b1f8b101762617c6af9112c2c2e8dbb7e5724,True,ctls,uncoverfbrevers-miscompras.test.sketch.com,,443,https://uncoverfbrevers-miscompras.test.sketch.com:443,https,awselb/2.0,text/plain,GET,34.193.137.106,/,-1840324437,54.236.174.78,,1,False,,,,
vnga02.dev.sketch.com,,404,,vnga02.dev.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=dev.sketch.com,dev.sketch.com,dev.sketch.cloud,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6c9f913ec2dbd1ed9d7c85c321706b48,a6f3d0929504856d99874948d4fdfc492c7a129e6545388c36921de97c6440c1,True,ctls,vnga02.dev.sketch.com,,443,https://vnga02.dev.sketch.com:443,https,awselb/2.0,text/plain,GET,34.205.185.240,/,-1840324437,54.236.174.78,,1,False,,,,
vpn.non-prod.sketch.com,Cookie support required,200,164,vpn.non-prod.sketch.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-09T20:12:33Z,2023-09-07T20:12:32Z,CN=vpn.non-prod.sketch.com,vpn.non-prod.sketch.com,vpn.non-prod.sketch.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7b0f233ec5fb3896d886a677ddef26fd,6ae284e0d1cc61a867327caaf78b835600f6e7c5404dad6ab88f004119e9ebc4,,ctls,vpn.non-prod.sketch.com,,443,https://vpn.non-prod.sketch.com:443,https,OpenVPN-AS,text/html,GET,52.54.117.25,/,396533629,52.54.117.25,,1,False,,,,https://vpn.non-prod.sketch.com/__session_start__
vpn.prod.sketch.com,Cookie support required,200,164,vpn.prod.sketch.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-16T15:55:44Z,2023-10-14T15:55:43Z,CN=vpn.prod.sketch.com,vpn.prod.sketch.com,vpn.prod.sketch.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b7f3694d350ade66fd94c1a8482b3b75,706a815effcfe9eabbed9f8639a16b2420ee468cf8a76ef3d8ccfb2443585c2b,,ctls,vpn.prod.sketch.com,,443,https://vpn.prod.sketch.com:443,https,OpenVPN-AS,text/html,GET,3.220.194.118,/,396533629,3.220.194.118,,1,False,,,,https://vpn.prod.sketch.com/__session_start__
www--8git.staging.sketch.com,,404,,www--8git.staging.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=staging.sketch.com,staging.sketch.com,*.staging.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65339d860366ec7a917713485beae580,867f5ce6349607167de386567e093edf443f72228d6c26d3856e54a0e1c8e70d,True,ctls,www--8git.staging.sketch.com,,443,https://www--8git.staging.sketch.com:443,https,awselb/2.0,text/plain,GET,34.193.137.106,/,-1840324437,34.205.185.240,,1,False,,,,
www.sketch.com,"Sketch · Design, collaborate, prototype and handoff",200,208945,www.sketch.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,2023-11-23T23:59:59Z,CN=*.sketch.com,*.sketch.com,*.sketch.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a8129e83c6f8e8abc08d806b0ffbfe55,8192ba44f4a1e90fe40e39464bd854e4c8bc654cb3e02025c81525e20ce25904,True,ctls,www.sketch.com,cloudfront,443,https://www.sketch.com:443,https,Netlify,text/html,GET,18.66.97.85,/,-756114603,18.66.97.8,Stimulus,4514,False,True,,,
xiaomi-market.test.sketch.com,,404,,xiaomi-market.test.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=test.sketch.com,test.sketch.com,test.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e573755d4c6090ea08aab1abeb3af68c,a1cfb5e08955f0e9a4af3794da3b1f8b101762617c6af9112c2c2e8dbb7e5724,True,ctls,xiaomi-market.test.sketch.com,,80,http://xiaomi-market.test.sketch.com:80,http,awselb/2.0,text/plain,GET,34.193.137.106,/,-1840324437,54.236.174.78,,1,False,,,,https://xiaomi-market.test.sketch.com:443/
zabbix.test.sketch.com,,404,,zabbix.test.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=test.sketch.com,test.sketch.com,test.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e573755d4c6090ea08aab1abeb3af68c,a1cfb5e08955f0e9a4af3794da3b1f8b101762617c6af9112c2c2e8dbb7e5724,True,ctls,zabbix.test.sketch.com,,80,http://zabbix.test.sketch.com:80,http,awselb/2.0,text/plain,GET,54.236.174.78,/,-1840324437,34.205.185.240,,1,False,,,,https://zabbix.test.sketch.com:443/
