new,host,a,cname,soa,caa,status_code,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,mx,txt,ptr,ns
,homedelivery-prod.bcc.nl,52.178.114.226,"prod-bcc-homedelivery-weu.azurewebsites.net, waws-prod-am2-061.sip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,homedelivery-test.bcc.nl,40.118.100.127,"test-bcc-homedelivery-weu.azurewebsites.net, waws-prod-am2-169.sip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,images.bcc.nl,20.60.27.196,"prodbccwebbackend.blob.core.windows.net, blob.ams09prdstr04a.store.core.windows.net","ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,True,azure,,,,,,
,info.techsupport.bcc.nl,"76.76.21.61, 76.76.21.98",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,,
,intdomain.techsupport.bcc.nl,"76.76.21.61, 76.76.21.9",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, sectigo.com, letsencrypt.org",NOERROR,,,,,,,,,
,internal.techsupport.bcc.nl,"76.76.21.98, 76.76.21.61",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,,
,ipmac.techsupport.bcc.nl,"76.76.21.22, 76.76.21.9",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,,
,ipv4-c108-iah001-ix.techsupport.bcc.nl,,cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,ir.techsupport.bcc.nl,"76.76.21.142, 76.76.21.61",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, sectigo.com, letsencrypt.org",NOERROR,,,,,,,,,
,isprojects-uat.bcc.nl,185.78.251.50,,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,,,,,,,,,
,jrss-215-72-227-64.techsupport.bcc.nl,"76.76.21.9, 76.76.21.93",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,,
,keuzehulp.bcc.nl,52.178.114.226,"prod-bcc-keuzehulp-weu.azurewebsites.net, waws-prod-am2-061.sip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,lab.techsupport.bcc.nl,"76.76.21.142, 76.76.21.61",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,,
,ldap.techsupport.bcc.nl,"76.76.21.22, 76.76.21.98",cname.vercel-dns.com,,"letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,legacy.techsupport.bcc.nl,,cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, sectigo.com, letsencrypt.org",NOERROR,,,,,,,,,
,live.techsupport.bcc.nl,"76.76.21.9, 76.76.21.93",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,,
,localhost.bcc.nl,127.0.0.1,,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,,,,True,127.0.0.1,,,,
,log.techsupport.bcc.nl,"76.76.21.98, 76.76.21.22",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,login.techsupport.bcc.nl,"76.76.21.9, 76.76.21.93",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, sectigo.com, letsencrypt.org",NOERROR,,,,,,,,,
,logs.techsupport.bcc.nl,"76.76.21.98, 76.76.21.22",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,,
,mail.bcc.nl,"40.99.149.104, 40.99.157.24, 40.99.157.40, 40.99.149.168, 40.99.149.152, 40.99.149.136, 40.99.157.56, 40.99.149.184","autodiscover.bcc.nl, autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,"2603:1026:c0d:c28::8, 2603:1026:c0d:828::8, 2603:1026:c0d:c06::8, 2603:1026:c0d:806::8",,,,,,,,
,mail.techsupport.bcc.nl,"76.76.21.93, 76.76.21.9",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,,
,mapsweb-pv50-kryptonite-k8straefik.techsupport.bcc.nl,,cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, sectigo.com, letsencrypt.org",NOERROR,,,,,,,,,
,market.techsupport.bcc.nl,"76.76.21.241, 76.76.21.123",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,message.bcc.nl,185.78.251.50,,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,,,,,,,,,
,messageacc.bcc.nl,185.78.251.50,,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,,,,,,,,,
,mijn-acc.bcc.nl,20.93.230.129,"www.acc-bcc.nl, app152429.prod.cudawaas.com, waas-prod-app-91c4b0a8c916a1d850985a75d426fde8.trafficmanager.net, waasprod-app-c42a7084b645050cde86a61e2754123a.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,,,,,,,
,mijn.bcc.nl,13.69.68.71,"prod-bcc-shop-weu.azurewebsites.net, waws-prod-am2-037a.sip.azurewebsites.windows.net, waws-prod-am2-037a.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,mobile.techsupport.bcc.nl,"76.76.21.93, 76.76.21.9",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,,
,msoid.bcc.nl,,"clientconfig.microsoftonline-p.net, a.privatelink.msidentity.com, prda.aadg.msidentity.com, www.tm.a.prd.aadg.trafficmanager.net, www.tm.a.prd.aadg.akadns.net","tm1.dns-tm.com, hostmaster.trafficmanager.net, internal.akadns.net, hostmaster.akamai.com",,NOERROR,,True,azure,,,,,,
,mssql.techsupport.bcc.nl,"76.76.21.142, 76.76.21.123",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,mta-sts.techsupport.bcc.nl,"76.76.21.22, 76.76.21.241",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,multimedia-acc.bcc.nl,52.166.119.99,"acc-bcc-multimedia-weu.azurewebsites.net, waws-prod-am2-147.sip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,multimedia-test.bcc.nl,40.118.100.127,"test-bcc-multimedia-weu.azurewebsites.net, waws-prod-am2-169.sip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,multimedia.bcc.nl,52.178.114.226,"prod-bcc-multimedia-weu.azurewebsites.net, waws-prod-am2-061.sip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,multimedia.cdn.bcc.nl,"2.16.241.10, 2.16.241.13","prodbccmultimediaweu.azureedge.net, prodbccmultimediaweu.akstd.azureedge.net, azureedge.mdc.akamaized.net, a1879.dscw14.akamai.net","n0dscw14.akamai.net, hostmaster.akamai.com",,NOERROR,"2a02:26f0:780::5f65:3691, 2a02:26f0:780::5f65:3679",,,,,,,,
,mw.techsupport.bcc.nl,"76.76.21.22, 76.76.21.9",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,my.bcc.nl,89.149.208.5,"bcc.kenniscafe.net, wink17.winkwaves.net","ns1.sectigoweb.com, admin.sectigo.com",letsencrypt.org,NOERROR,2001:1af8:4f0b:b001:1::5,,,,,,,,
,netlify.techsupport.bcc.nl,"76.76.21.142, 76.76.21.61",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net",,NOERROR,,,,,,,,,
,newsslvpnmy.techsupport.bcc.nl,"76.76.21.142, 76.76.21.61",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,nhg-acc.bcc.nl,52.166.119.99,"acc-bcc-nhg-weu.azurewebsites.net, waws-prod-am2-147.sip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,nhg-test.bcc.nl,40.118.100.127,"test-bcc-nhg-weu.azurewebsites.net, waws-prod-am2-169.sip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,nhg.bcc.nl,52.178.114.226,"prod-bcc-nhg-weu.azurewebsites.net, waws-prod-am2-061.sip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,nieuwsbrief.bcc.nl,194.213.114.62,,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,,,,,,mx1.emsecure.net,"v=spf1 a mx include:spf.emsecure.net -all, google-site-verification=qwKxTYh5xq6wlmG4XFr7wluT-_rSaNXflzatTSLejB0",,
,nmp.bcc.nl,13.69.68.71,"prod-bcc-npm-frontend.azurewebsites.net, waws-prod-am2-037a.sip.azurewebsites.windows.net, waws-prod-am2-037a.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,omnipay-direct-ssl.techsupport.bcc.nl,"76.76.21.93, 76.76.21.123",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, globalsign.com, letsencrypt.org",NOERROR,,,,,,,,,
,onlineafspraken.bcc.nl,,agenda.onlineafspraken.nl,"ns1.2fast.nl, hostmaster.2fast.nl",,NOERROR,2001:9a8:b4:1::177:10,,,,,,,,
,outlet.bcc.nl,13.69.68.71,"prod-bcc-shop-weu.azurewebsites.net, waws-prod-am2-037a.sip.azurewebsites.windows.net, waws-prod-am2-037a.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,oxy-oxygen-44b4cbcc.nl-centralafrica.deezer.com,208.91.197.27,,"ns1327.ztomy.com, abuse.opticaljungle.com",,NOERROR,,,,,,,v=spf1 a -all,ns1327.ztomy.com,"ns1327.ztomy.com, ns2327.ztomy.com"
,oxy-oxygen-6a0aebcc.nl-uk.deezer.com,208.91.197.27,,"ns1327.ztomy.com, abuse.opticaljungle.com",,NOERROR,,,,,,,v=spf1 a -all,ns1327.ztomy.com,"ns2327.ztomy.com, ns1327.ztomy.com"
,oxy-oxygen-d89bcea2.techsupport.bcc.nl,"76.76.21.123, 76.76.21.93",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,partner-accept-domain.techsupport.bcc.nl,"76.76.21.93, 76.76.21.9",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,,
,pay.techsupport.bcc.nl,"76.76.21.123, 76.76.21.9",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,,
,pimchangelog-acc.bcc.nl,52.166.119.99,"acc-bcc-pimchangelog.azurewebsites.net, waws-prod-am2-147.sip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,pimchangelog-test.bcc.nl,40.118.100.127,"test-bcc-pimchangelog.azurewebsites.net, waws-prod-am2-169.sip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,pimchangelog.bcc.nl,52.178.114.226,"prod-bcc-pimchangelog.azurewebsites.net, waws-prod-am2-061.sip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,pki.bcc.nl,185.78.251.43,,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,,,,,,,,,
,planning-acc.bcc.nl,52.166.119.99,"acc-bcc-planning-weu.azurewebsites.net, waws-prod-am2-147.sip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,planning-test.bcc.nl,40.118.100.127,"test-bcc-planning-weu.azurewebsites.net, waws-prod-am2-169.sip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,planning.bcc.nl,52.178.114.226,"prod-bcc-planning-weu.azurewebsites.net, waws-prod-am2-061.sip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,pressthailand.techsupport.bcc.nl,"76.76.21.241, 76.76.21.123",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,prices-acc.bcc.nl,104.47.164.119,"acc-bcc-prices-weu.azurewebsites.net, waws-prod-am2-131.vip.azurewebsites.windows.net, waws-prod-am2-131.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,prices-test.bcc.nl,40.118.100.127,"test-bcc-prices-weu.azurewebsites.net, waws-prod-am2-169.vip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,prices.bcc.nl,52.178.114.226,"prod-bcc-prices-weu.azurewebsites.net, waws-prod-am2-061.vip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,privatesslvpncmsdb1-origin.techsupport.bcc.nl,"76.76.21.61, 76.76.21.164",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,problems.bcc.nl,,"prod-bcc-problems.azurewebsites.net, waws-prod-am2-061.sip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,procurement-invoices.bcc.nl,20.50.2.58,"prod-bcc-pro-inv-fap.azurewebsites.net, waws-prod-am2-443.sip.azurewebsites.windows.net, waws-prod-am2-443-872c.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,prod.techsupport.bcc.nl,"76.76.21.142, 76.76.21.123",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,,
,products-acc.bcc.nl,52.166.119.99,"acc-bcc-products-weu.azurewebsites.net, waws-prod-am2-147.vip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,productsservices.bcc.nl,52.178.114.226,"prod-bcc-productsservices-dnsfix.azurewebsites.net, waws-prod-am2-061.sip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,promotion.techsupport.bcc.nl,"76.76.21.123, 76.76.21.61",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,prosandcons-acc.bcc.nl,52.166.119.99,"acc-bcc-prosandcons-weu.azurewebsites.net, waws-prod-am2-147.vip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,proxy.techsupport.bcc.nl,"76.76.21.93, 76.76.21.9",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,,
,public.techsupport.bcc.nl,"76.76.21.164, 76.76.21.241",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, sectigo.com, letsencrypt.org",NOERROR,,,,,,,,,
,qa.techsupport.bcc.nl,"76.76.21.9, 76.76.21.93",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,redirectauth.techsupport.bcc.nl,"76.76.21.93, 76.76.21.123",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net",,NOERROR,,,,,,,,,
,relations.bcc.nl,52.178.114.226,"prod-bcc-relations-weu.azurewebsites.net, waws-prod-am2-061.sip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,reporting-acc.bcc.nl,52.166.119.99,"acc-bcc-reporting-weu.azurewebsites.net, waws-prod-am2-147.sip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,reporting-test.bcc.nl,40.118.100.127,"test-bcc-reporting-weu.azurewebsites.net, waws-prod-am2-169.sip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,reviews.bcc.nl,"13.227.219.107, 13.227.219.124, 13.227.219.116, 13.227.219.96","bcc-nl.ugc.bazaarvoice.com, d31hk0omqpq4zz.cloudfront.net","ns-2005.awsdns-58.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"2600:9000:21c7:1800:11:6a57:33c0:93a1, 2600:9000:21c7:1c00:11:6a57:33c0:93a1, 2600:9000:21c7:9a00:11:6a57:33c0:93a1, 2600:9000:21c7:3a00:11:6a57:33c0:93a1, 2600:9000:21c7:8a00:11:6a57:33c0:93a1, 2600:9000:21c7:6a00:11:6a57:33c0:93a1, 2600:9000:21c7:600:11:6a57:33c0:93a1, 2600:9000:21c7:b400:11:6a57:33c0:93a1",True,cloudfront,,,,,,"ns-1013.awsdns-62.net, ns-1026.awsdns-00.org, ns-11.awsdns-01.com, ns-2005.awsdns-58.co.uk"
,s1.techsupport.bcc.nl,"76.76.21.93, 76.76.21.9",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,,
,salesorders-acc.bcc.nl,52.166.119.99,"acc-bcc-salesorders-weu.azurewebsites.net, waws-prod-am2-147.sip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,service.techsupport.bcc.nl,"76.76.21.164, 76.76.21.98",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,,
,servicedesk.bcc.nl,185.78.251.50,,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,,,,,,,,,
,servicemail.bcc.nl,194.213.114.62,,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,,,,,,mx1.emsecure.net,"v=spf1 a mx include:spf.emsecure.net -all, google-site-verification=X_i9Tu5-Cnog6CRrs8oPippNHRCw4rlY78ajHOkqEoQ",,
,sip.bcc.nl,193.173.15.125,,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,,,,,,,,,
,sip2.bcc.nl,193.173.15.130,,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,,,,,,,,,
,spf1.bcc.nl,,,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,,,,,,,v=spf1 include:spf-a.authsmtp.com include:spf-b.authsmtp.com ip4:191.233.64.0/18 ip4:13.74.160.0/19 ip4:104.46.32.0/19 ip4:13.95.0.0/19 ip4:194.151.65.0/29 ip4:185.78.251.40/32 -all,,
,spf2.bcc.nl,,,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,,,,,,,,,
,sstp.bcc.nl,185.78.251.41,,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,,,,,,,,,
,staging-team-connecterp-demo.techsupport.bcc.nl,"76.76.21.61, 76.76.21.93",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,,
,stats.techsupport.bcc.nl,"76.76.21.22, 76.76.21.61",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,stock-acc.bcc.nl,104.47.164.119,"acc-bcc-stock-weu.azurewebsites.net, waws-prod-am2-131.vip.azurewebsites.windows.net, waws-prod-am2-131.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,stock.bcc.nl,52.178.114.226,"prod-bcc-stock-weu.azurewebsites.net, waws-prod-am2-061.vip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,stores-acc.bcc.nl,52.166.119.99,"acc-bcc-stores-weu.azurewebsites.net, waws-prod-am2-147.vip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,stores-test.bcc.nl,40.118.100.127,"test-bcc-stores-weu.azurewebsites.net, waws-prod-am2-169.vip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,stripe.techsupport.bcc.nl,"76.76.21.61, 76.76.21.9",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, sectigo.com, letsencrypt.org",NOERROR,,,,,,,,,
,suppliers-acc.bcc.nl,52.166.119.99,"acc-bcc-suppliers-weu.azurewebsites.net, waws-prod-am2-147.sip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,suppliers-test.bcc.nl,40.118.100.127,"test-bcc-suppliers-weu.azurewebsites.net, waws-prod-am2-169.sip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,suppliers.bcc.nl,52.178.114.226,"prod-bcc-suppliers-weu.azurewebsites.net, waws-prod-am2-061.sip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,syd05-prd-ocpstr-01b.techsupport.bcc.nl,"76.76.21.22, 76.76.21.241",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,,
,tagmanager.bcc.nl,"216.239.32.21, 216.239.34.21, 216.239.36.21, 216.239.38.21",,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,"2001:4860:4802:34::15, 2001:4860:4802:36::15, 2001:4860:4802:38::15, 2001:4860:4802:32::15",,,,,,google-site-verification=Kt2JhIaG6T81wwhFBWzHdqeAwrFyF9sH3FBkwSx00bc,,
,tagmanager.www-acc.bcc.nl,"216.239.36.21, 216.239.38.21, 216.239.32.21, 216.239.34.21",,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,"2001:4860:4802:38::15, 2001:4860:4802:34::15, 2001:4860:4802:32::15, 2001:4860:4802:36::15",,,,,,google-site-verification=nMsL6NN2bJm9zwNLXI2UNUfp1N9R-U6UcgC8IkCXVNc,,
,techsupport.bcc.nl,"76.76.21.142, 76.76.21.98",,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,,,,,,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt3.aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com","v=spf1 include:_spf.google.com include:mail.zendesk.com ~all, google-site-verification=VlnvHSyIdmtAqcMYoTInxipbD376uLpUgzukAJnAOm4",,
,template.bcc.nl,52.178.114.226,"prod-bcc-template-weu.azurewebsites.net, waws-prod-am2-061.sip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,test-images.bcc.nl,20.38.109.4,"testbccwebbackend.blob.core.windows.net, blob.ams20prdstr11a.store.core.windows.net","ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,True,azure,,,,,,
,test-procurement-invoices.bcc.nl,40.118.100.127,"test-bcc-pro-inv-fap.azurewebsites.net, waws-prod-am2-169.sip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,test.techsupport.bcc.nl,"76.76.21.61, 76.76.21.142",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,,
,thayer.techsupport.bcc.nl,"76.76.21.98, 76.76.21.61",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,tor183-234-pdb.techsupport.bcc.nl,"76.76.21.123, 76.76.21.93",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
