new,host,ttl,a,aaaa,cname,soa,status_code,txt,mx,ns,caa
[x],pass.mariadb.org,296,,,,"{'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
[x],planet.mariadb.org,300,"49.13.58.252, 108.162.192.91, 172.64.32.91, 173.245.58.91, 108.162.195.56, 162.159.44.56, 172.64.35.56","2a01:4f8:c013:189f::1, 2606:4700:50::adf5:3a5b, 2803:f800:50::6ca2:c05b, 2a06:98c1:50::ac40:205b, 2606:4700:58::a29f:2c38, 2803:f800:50::6ca2:c338, 2a06:98c1:50::ac40:2338",mariadb.org,"{'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"google-site-verification=131n3jWRvxnHzqo4svqfUrbn3hcZ70y_fuazqiBC888, google-site-verification=tG2jVMg_4CtykBl1FiL-zgj2xGXV9dx-8Ct2FYQp5dM, v=spf1 mx a a:jira.mariadb.org ip4:34.70.47.92/32 ip4:194.136.193.154/32 include:_spf.google.com include:sendgrid.net -all",,"nolan.ns.cloudflare.com, dara.ns.cloudflare.com","comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes, ssl.com"
[x],rpm.mariadb.org,300,162.55.42.214,2a01:4f8:1c17:e53d::1,mirror.mariadb.org,"{'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
[x],sg.mariadb.org,300,,,u2403587.wl088.sendgrid.net,"{'name': 'wl088.sendgrid.net', 'ns': 'aisha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351383808, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'wl088.sendgrid.net', 'ns': 'aisha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351383808, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'wl088.sendgrid.net', 'ns': 'aisha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351383808, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'wl088.sendgrid.net', 'ns': 'aisha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351383808, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'wl088.sendgrid.net', 'ns': 'aisha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351383808, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,mx.sendgrid.net,,
[x],sponsors.dev.mariadb.org,300,78.46.129.105,2a01:4f8:c2c:35c::1,"sponsors.mariadb.org, websites.mariadb.org","{'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
[x],sponsors.mariadb.org,300,78.46.129.105,2a01:4f8:c2c:35c::1,websites.mariadb.org,"{'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
[x],tools.mariadb.org,300,116.203.136.12,2a01:4f8:c2c:2c68::1,,"{'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
[x],translate.mariadb.org,300,78.46.129.105,2a01:4f8:c2c:35c::1,websites.mariadb.org,"{'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
[x],webdav.mariadb.org,300,95.216.154.243,2a01:4f9:c012:d1df::1,ftp.mariadb.org,"{'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
[x],websites.mariadb.org,300,,2a01:4f8:c2c:35c::1,,"{'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
[x],www.mariadb.org,300,,2a01:4f8:c013:189f::1,mariadb.org,"{'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"google-site-verification=131n3jWRvxnHzqo4svqfUrbn3hcZ70y_fuazqiBC888, v=spf1 mx a a:jira.mariadb.org ip4:34.70.47.92/32 ip4:194.136.193.154/32 include:_spf.google.com include:sendgrid.net -all, google-site-verification=tG2jVMg_4CtykBl1FiL-zgj2xGXV9dx-8Ct2FYQp5dM","alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","nolan.ns.cloudflare.com, dara.ns.cloudflare.com","pki.goog; cansignhttpexchanges=yes, comodoca.com, letsencrypt.org, digicert.com; cansignhttpexchanges=yes, ssl.com"
[x],yum.mariadb.org,168,,2a01:4f8:1c17:e53d::1,mirror.mariadb.org,"{'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
[x],zabbix.mariadb.org,300,,2a01:4f8:1c1c:cf6e::1,monitoring.mariadb.org,"{'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mariadb.org', 'ns': 'dara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350918699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
