input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,tls_mismatched,tls_wildcard_certificate,tls_subject_org_,tls_expired,final_url
pshruat.sahr.stanford.edu,Index Page,200,1933,,pshruat.sahr.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-23T00:00:00Z,2024-05-22T23:59:59Z,"CN=pshruat.sahr.stanford.edu, O=Stanford University, ST=California, C=US",pshruat.sahr.stanford.edu,pshruat.sahr.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,0a3086cd0789f2ab10e3f2954e486196,cd71a5db54cbc4aae603fdaa9dbc89f7d52a24d759a62ee1ec5b71b3b004d1b6,ctls,pshruat.sahr.stanford.edu,443,https://pshruat.sahr.stanford.edu:443,https,,text/html,GET,171.67.55.173,/,-2113408924,171.67.55.173,Oracle Dynamic Monitoring Service,55,False,,,,,Stanford University,,
psrep.sahr.stanford.edu,Index Page,200,1933,,psrep.sahr.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-19T00:00:00Z,2024-07-18T23:59:59Z,"CN=psrep.sahr.stanford.edu, O=Stanford University, ST=California, C=US",psrep.sahr.stanford.edu,psrep.sahr.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,61a65a34f26cdfd3b532773d4c2efaf4,74833d91aa2c44a6f4a78ebf76235bab77fc3d23fb0afee5f127d6360bc388ed,ctls,psrep.sahr.stanford.edu,443,https://psrep.sahr.stanford.edu:443,https,,text/html,GET,171.67.37.26,/,-2113408924,171.67.37.26,Oracle Dynamic Monitoring Service,55,False,,,,,Stanford University,,
psrephrperf.sahr.stanford.edu,Index Page,200,1934,,psrephrperf.sahr.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-06-05T23:59:59Z,"CN=psrephrperf.sahr.stanford.edu, O=Stanford University, ST=California, C=US",psrephrperf.sahr.stanford.edu,psrephrperf.sahr.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,0344d913af9103a833b9448f39e4caa3,b396e66a09e10150ffb712995a4d69e3128710ce0e42750870b5716ee725f96a,ctls,psrephrperf.sahr.stanford.edu,443,https://psrephrperf.sahr.stanford.edu:443,https,,text/html,GET,171.67.46.79,/,-2113408924,171.67.46.79,Oracle Dynamic Monitoring Service,55,False,,,,,Stanford University,,
psrephrsit.sahr.stanford.edu,Index Page,200,1933,,psrephrsit.sahr.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-02-15T23:59:59Z,"CN=psrephrsit.sahr.stanford.edu, O=Stanford University, ST=California, C=US",psrephrsit.sahr.stanford.edu,psrephrsit.sahr.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,67762b4889f2b759ec0019f3b75a3033,c9196f5b54223ec0fb70459a7ed74cb64fadc8a99a89f8f37c2eeb6fd3b2b85e,ctls,psrephrsit.sahr.stanford.edu,443,https://psrephrsit.sahr.stanford.edu:443,https,,text/html,GET,171.67.46.41,/,-2113408924,171.67.46.41,Oracle Dynamic Monitoring Service,55,False,,,,,Stanford University,,
psrephruat.sahr.stanford.edu,Index Page,200,1933,,psrephruat.sahr.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-23T00:00:00Z,2024-05-22T23:59:59Z,"CN=psrephruat.sahr.stanford.edu, O=Stanford University, ST=California, C=US",psrephruat.sahr.stanford.edu,psrephruat.sahr.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,9206a5f939f7ac31c77e9d1cb50bb561,7d2650f9bab4caa0dd4222958264e1c3c38d393fb86cfb9f87cfd2f039e7d364,ctls,psrephruat.sahr.stanford.edu,443,https://psrephruat.sahr.stanford.edu:443,https,,text/html,GET,171.67.7.12,/,-2113408924,171.67.7.12,Oracle Dynamic Monitoring Service,55,False,,,,,Stanford University,,
s1.stanford.edu,Network Error | Stanford Medicine,200,325,*.stanford.edu,s1.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-13T00:00:00Z,2024-06-12T23:59:59Z,"CN=med.stanford.edu, O=Stanford University, ST=California, C=US",med.stanford.edu,www.med.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,c53de2a8d3b13d28ba2c13ff0f04abc7,dd3f73887690b283c6dd5defb13b0846421030f2fcfa0b04f4e728074b68a2d4,ctls,s1.stanford.edu,443,https://s1.stanford.edu:443,https,Apache,text/html,GET,171.65.104.15,/,-394726744,171.65.104.15,Apache,12,False,,,,True,Stanford University,,
service.stanford.edu,Associated Students of Stanford University - ASSU,200,2227,,service.stanford.edu,443,True,tls10,TLS_RSA_WITH_AES_128_CBC_SHA,2014-03-20T00:00:00Z,2017-03-19T23:59:59Z,"CN=assu-web.stanford.edu, OU=Associated Students of Stanford University, O=Stanford University, street=450 Serra Mall, L=Stanford, ST=CA, postalCode=94305, C=US",assu-web.stanford.edu,waivers.stanford.edu,"CN=InCommon Server CA, OU=InCommon, O=Internet2, C=US",InCommon Server CA,Internet2,e53020ffad7c2e66d66c11730f0044c5,88df972023b931d3aedf3bc599e07137e85623056c620b6226880aa242b1d7c7,ctls,service.stanford.edu,443,https://service.stanford.edu:443,https,Apache,text/html,GET,171.64.181.82,/,-366337701,171.64.181.82,Apache,90,False,,,True,,Stanford University,True,
shop.stanford.edu,Access Denied,200,267,,shop.stanford.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-30T05:08:41Z,2023-09-28T05:08:40Z,CN=shop.stanford.edu,shop.stanford.edu,shop.stanford.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2ba295734e4e0ddec25a8f3b16b739d4,232bcb374682998b6ab8299e205f84bca7d649fad23c1962bf5ec6c70ecc481e,ctls,shop.stanford.edu,443,https://shop.stanford.edu:443,https,AkamaiGHost,text/html,GET,95.101.111.135,/,-796549388,95.101.111.183,HSTS,10,False,,,,,,,
storage.stanford.edu,File and Data Storage | University IT,200,27147,,uit.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-07-12T23:59:59Z,"CN=uitcomm-web-03.stanford.edu, O=Stanford University, ST=California, C=US",uitcomm-web-03.stanford.edu,uitcommunity.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,3a74211b4a3c0c8a75d5a9e668eb0e66,58719526023f8aab7c659e73dbc3479689a484ed490a65313efa3ad5d6be4c5f,ctls,uit.stanford.edu,443,https://storage.stanford.edu:443,https,Apache/2.4.56 (Debian),text/html,GET,54.81.116.232,/,1494302000,54.81.116.232,PHP,363,False,,,,,Stanford University,,https://uit.stanford.edu/service/storage
stripe.stanford.edu,Stanford Login - Stale Request,200,5774,,login.stanford.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=login.stanford.edu, O=Stanford University, ST=California, C=US",login.stanford.edu,weblogin.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,f9b8ece1f754fd432d44de5f1fe848e3,9ecf5abe95a63c37baa1d6224f0b25c58b7200da0b7fbd8d143be42cb447dd8e,ctls,login.stanford.edu,443,https://stripe.stanford.edu:443,https,Apache,text/html,GET,18.158.19.118,/,844425408,2a05:d014:275:cb01:457d:6b8c:73fc:8f8f,Java,106,False,,,,,Stanford University,,https://login.stanford.edu/idp/profile/SAML2/Redirect/SSO?execution=e1s1
v1.stanford.edu,VISTA Lab | Stanford University,200,208,url=//vistalab.stanford.edu,v1.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-13T00:00:00Z,2023-11-13T23:59:59Z,"CN=scarlet.stanford.edu, O=Stanford University, ST=California, C=US",scarlet.stanford.edu,white.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,821c1c1948f684cbc4d2bd38c1c80361,9540c42edae883f482eb7c9cb0666ec6d9ca53538d2ce312a9fdfa2eaf36d303,ctls,v1.stanford.edu,443,https://v1.stanford.edu:443,https,Apache/2.2.22 (Ubuntu),text/html,GET,171.67.92.199,/,654219252,171.67.92.199,Ubuntu,8,False,,,True,,Stanford University,,
vpn.stanford.edu,Remote Access VPN | University IT,200,33568,,uit.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-07-12T23:59:59Z,"CN=uitcomm-web-03.stanford.edu, O=Stanford University, ST=California, C=US",uitcomm-web-03.stanford.edu,uitcommunity.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,3a74211b4a3c0c8a75d5a9e668eb0e66,58719526023f8aab7c659e73dbc3479689a484ed490a65313efa3ad5d6be4c5f,ctls,uit.stanford.edu,443,https://vpn.stanford.edu:443,https,Apache/2.4.56 (Debian),text/html,GET,54.81.116.232,/,1494302000,54.81.116.232,PHP,417,False,,,,,Stanford University,,https://uit.stanford.edu/service/vpn
web.stanford.edu,Stanford University,200,106956,,www.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-19T07:02:34Z,2023-09-17T07:02:33Z,CN=www.stanford.edu,www.stanford.edu,www.stanford.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4dfbb1914a341754f31f1d5d97089540,1c103eb959540e29d87324869b1b10bf923b747c5b7c7bcbc2ab5eec4cd57795,ctls,www.stanford.edu,443,https://web.stanford.edu:443,https,nginx,text/html,GET,171.67.215.200,/,354441195,2607:f6d0:0:925a::ab43:d7c8,WordPress:6.2.2,1141,False,,,,,,,https://www.stanford.edu/
