input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url,csp_domains_
sourcemaps.issuu.com,,403,243,sourcemaps.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-20T23:59:59Z,CN=s3.amazonaws.com,s3.amazonaws.com,s3-deprecated.us-east-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3e6c74e7bcc0a301938b7a3509ca3ace,31494611b3e6659b4e9a3af805171907756aee7e37d017bcc27104768c785fbd,True,ctls,sourcemaps.issuu.com,,443,https://sourcemaps.issuu.com:443,https,AmazonS3,application/xml,GET,16.182.41.24,/,-1822753244,52.217.204.96,Amazon Web Services,2,False,,True,,
st.issuu.com,,403,42,st.issuu.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-01-27T23:59:59Z,CN=*.issuu.com,*.issuu.com,*.isu.pub,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d86f91a64b7a84833e1bc7ad83ec7fd6,e83f0d637a288b847c72ac04e8c9fa12307740373e567b9b128b39b672047cb1,True,ctls,st.issuu.com,cloudfront,443,https://st.issuu.com:443,https,,application/json,GET,52.222.236.126,/,768769774,52.222.236.9,Amazon Web Services,1,False,True,,,
static-dev.issuu.com,,403,243,static-dev.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-20T23:59:59Z,CN=s3.amazonaws.com,s3.amazonaws.com,s3-deprecated.us-east-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3e6c74e7bcc0a301938b7a3509ca3ace,31494611b3e6659b4e9a3af805171907756aee7e37d017bcc27104768c785fbd,True,ctls,static-dev.issuu.com,,443,https://static-dev.issuu.com:443,https,AmazonS3,application/xml,GET,52.216.59.248,/,-949121845,54.231.169.72,Amazon Web Services,2,False,,True,,
static.issuu.com,,403,243,static.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-04T12:45:14Z,2024-08-04T12:45:13Z,CN=*.issuu.com,*.issuu.com,*.issuu.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,4ae82823d576052d659b5882505f0fe1,9fd8c50edd84dfa2a1e3f6b6479cb58b6c6c4ff355957c26cd7d22bb11404715,True,ctls,static.issuu.com,fastly,443,https://static.issuu.com:443,https,AmazonS3,application/xml,GET,151.101.2.110,/,308236480,2a04:4e42:600::622,Varnish,2,False,True,,,
t.issuu.com,Digital Publishing Platform & Content Publishing Solutions | Issuu,200,129027,t.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-01-27T23:59:59Z,CN=*.issuu.com,*.issuu.com,*.isu.pub,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d86f91a64b7a84833e1bc7ad83ec7fd6,e83f0d637a288b847c72ac04e8c9fa12307740373e567b9b128b39b672047cb1,True,ctls,t.issuu.com,,443,https://t.issuu.com:443,https,,text/html,GET,3.229.36.252,/,1501958182,3.223.176.255,React,291,False,,,,
tech.issuu.com,issuu engineering blog,200,19146,engineering.issuu.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-28T12:03:43Z,2023-09-26T12:03:42Z,CN=engineering.issuu.com,engineering.issuu.com,engineering.issuu.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,03a67a920d7b0d4376f937edb4c30fa0,81bcd486c1d2a470ea6dd8eb160b0f701f54d0b3e06b9d7deefdf037e39d04e2,,ctls,engineering.issuu.com,,443,https://tech.issuu.com:443,https,GitHub.com,text/html,GET,3.229.36.252,/,1181440715,34.232.58.190,Varnish,629,False,,,https://engineering.issuu.com/,
temp.issuu.com,,403,243,temp.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-20T23:59:59Z,CN=s3.amazonaws.com,s3.amazonaws.com,s3-deprecated.us-east-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3e6c74e7bcc0a301938b7a3509ca3ace,31494611b3e6659b4e9a3af805171907756aee7e37d017bcc27104768c785fbd,True,ctls,temp.issuu.com,,443,https://temp.issuu.com:443,https,AmazonS3,application/xml,GET,52.217.142.136,/,211856346,52.216.147.21,Amazon Web Services,2,False,,True,,
test.issuu.com,403 Forbidden,403,303,,,,,,,,,,,,,,,,,,,,80,http://test.issuu.com:80,http,AmazonS3,text/html,GET,52.216.44.117,/,1825482123,52.217.193.141,Amazon Web Services,14,False,,,,
upload.issuu.com,,404,,upload.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-01-27T23:59:59Z,CN=*.issuu.com,*.issuu.com,*.isu.pub,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d86f91a64b7a84833e1bc7ad83ec7fd6,e83f0d637a288b847c72ac04e8c9fa12307740373e567b9b128b39b672047cb1,True,ctls,upload.issuu.com,,443,https://upload.issuu.com:443,https,Cowboy,,GET,54.225.113.110,/,308236480,44.216.37.209,Cowboy,1,False,,,,
verdaccio.issuu.com,Issuu,200,1238,verdaccio.issuu.com,4873,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-01-27T23:59:59Z,CN=*.issuu.com,*.issuu.com,*.isu.pub,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d86f91a64b7a84833e1bc7ad83ec7fd6,e83f0d637a288b847c72ac04e8c9fa12307740373e567b9b128b39b672047cb1,True,ctls,verdaccio.issuu.com,,443,https://verdaccio.issuu.com:443,https,,text/html,GET,3.223.176.255,/,1289142795,3.229.36.252,,22,False,,,https://verdaccio.issuu.com:4873/,
www.issuu.com,Digital Publishing Platform & Content Publishing Solutions | Issuu,200,127939,issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T20:06:42Z,2024-04-20T20:06:41Z,CN=issuu.com,issuu.com,www.issuu.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,bb3cc7d99fa74a39891f356565c03f3a,a89ad3be9c3a49099a15dd3c0c47f521eaafd5e825e67c9ea132c7c182b9f30a,,ctls,issuu.com,fastly,443,https://www.issuu.com:443,https,,text/html,GET,151.101.2.110,/,1501958182,151.101.66.110,Varnish,291,False,True,,https://issuu.com/,
zendesk1.issuu.com,,409,16,,,,,,,,,,,,,,,,,,,cloudflare,80,http://zendesk1.issuu.com:80,http,cloudflare,text/plain,GET,162.159.128.7,/,1000520165,162.159.138.6,Cloudflare,1,False,True,,,
zendesk2.issuu.com,,409,16,,,,,,,,,,,,,,,,,,,cloudflare,80,http://zendesk2.issuu.com:80,http,cloudflare,text/plain,GET,162.159.128.7,/,1000520165,162.159.138.6,Cloudflare,1,False,True,,,
zendesk3.issuu.com,,409,16,,,,,,,,,,,,,,,,,,,cloudflare,80,http://zendesk3.issuu.com:80,http,cloudflare,text/plain,GET,162.159.128.7,/,1000520165,162.159.138.6,Cloudflare,1,False,True,,,
zendesk4.issuu.com,,409,16,,,,,,,,,,,,,,,,,,,cloudflare,80,http://zendesk4.issuu.com:80,http,cloudflare,text/plain,GET,162.159.128.7,/,1000520165,162.159.138.6,Cloudflare,1,False,True,,,
