input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_wildcard_certificate,csp_domains_,tls_expired,final_url,cdn_name,cdn,location,tls_self_signed
emmint.post.ch,,200,16123,emmint.post.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-05T09:13:42Z,2023-08-05T09:13:42Z,"CN=emmint.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",emmint.post.ch,Post CH AG,emmint.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,a0278e35ee42c757e90b5fb087a32589,a989fd797d708cc8a1a604a89d3d2524a0ce11b8264c2b49af562839a0df12d8,ctls,emmint.post.ch,443,https://emmint.post.ch:443,https,,text/html,GET,3.127.240.112,/,321909464,3.127.240.112,Microsoft ASP.NET,363,False,,,,,https://emmint.post.ch/DeviceManagement/Enrollment/,,,,
enregistrement-vor.post.ch,,200,2558,enregistrement-vor.post.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-15T07:37:46Z,2023-08-15T07:37:46Z,"CN=erfassung-vor.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",erfassung-vor.post.ch,Post CH AG,registrazione-vor.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,23f0a03b60ede86c2e524d8814030fb8,04b0398911978124416d001435a84b5ec13921f95536146b581343ba3a688e41,ctls,enregistrement-vor.post.ch,443,https://enregistrement-vor.post.ch:443,https,SAP,text/html,GET,155.56.229.163,/,267717189,155.56.229.163,HSTS,91,False,,,*.hana.ondemand.com,,https://enregistrement-vor.post.ch/index.html,,,,
enregistrement.post.ch,,200,2558,enregistrement.post.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-22T06:39:14Z,2023-08-22T06:39:14Z,"CN=erfassung.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",erfassung.post.ch,Post CH AG,registrazione.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,fe0c63de41fd901639ddd5df44bb9f79,67bf7484d95bddda3196f81cd69503f00be063f7230fc6bd96316cf5dfa297bb,ctls,enregistrement.post.ch,443,https://enregistrement.post.ch:443,https,SAP,text/html,GET,155.56.229.160,/,267717189,155.56.229.160,HSTS,91,False,,,,,https://enregistrement.post.ch/index.html,,,,
entdecken.post.ch,Roadshow Post | Entdecken,200,38073,entdecken.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T09:43:13Z,2024-03-13T09:43:13Z,"CN=entdecken.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",entdecken.post.ch,Post CH AG,entdecken3.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,0de932392eaaedcb45ffc77080e478b0,50f231277f99120a64fdf0ea68bf7f15f134a299ff9cfa946f924f4e20a729c3,ctls,entdecken.post.ch,443,https://entdecken.post.ch:443,https,Delivery1,text/html,GET,194.41.184.146,/,1694469138,194.41.184.146,Sitecore,752,False,,,,,https://entdecken.post.ch/de,,,,
entdecken1.post.ch,Roadshow Post | Entdecken,200,38098,entdecken1.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T09:43:13Z,2024-03-13T09:43:13Z,"CN=entdecken.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",entdecken.post.ch,Post CH AG,entdecken3.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,0de932392eaaedcb45ffc77080e478b0,50f231277f99120a64fdf0ea68bf7f15f134a299ff9cfa946f924f4e20a729c3,ctls,entdecken1.post.ch,443,https://entdecken1.post.ch:443,https,Delivery1,text/html,GET,194.41.190.114,/,1694469138,194.41.190.114,Sitecore,752,False,,,,,https://entdecken1.post.ch/de,,,,
entdeckenint.post.ch,Die Post - HTTP Fehlerseite,401,5601,entdeckenint.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T14:21:15Z,2024-03-07T14:21:15Z,"CN=entdeckenint.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",entdeckenint.post.ch,Post CH AG,entdeckenint2.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,505fe2b6a5d0814b0c2b71afea8adb0d,c6f531bc226e459ea900d9e60602f806e06a4473126f0067a035fb9ad290c626,ctls,entdeckenint.post.ch,443,https://entdeckenint.post.ch:443,https,Apache,text/html,GET,194.41.248.153,/,527673270,194.41.248.153,HSTS,176,False,,,,,,,,,
entdeckenint1.post.ch,Die Post - HTTP Fehlerseite,401,5601,entdeckenint1.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T14:21:15Z,2024-03-07T14:21:15Z,"CN=entdeckenint.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",entdeckenint.post.ch,Post CH AG,entdeckenint2.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,505fe2b6a5d0814b0c2b71afea8adb0d,c6f531bc226e459ea900d9e60602f806e06a4473126f0067a035fb9ad290c626,ctls,entdeckenint1.post.ch,443,https://entdeckenint1.post.ch:443,https,Apache,text/html,GET,194.41.253.223,/,1252838124,194.41.253.223,HSTS,176,False,,,,,,,,,
entdeckenint2.post.ch,Die Post - HTTP Fehlerseite,401,5601,entdeckenint2.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T14:21:15Z,2024-03-07T14:21:15Z,"CN=entdeckenint.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",entdeckenint.post.ch,Post CH AG,entdeckenint2.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,505fe2b6a5d0814b0c2b71afea8adb0d,c6f531bc226e459ea900d9e60602f806e06a4473126f0067a035fb9ad290c626,ctls,entdeckenint2.post.ch,443,https://entdeckenint2.post.ch:443,https,Apache,text/html,GET,194.41.255.32,/,-334481197,194.41.255.32,HSTS,176,False,,,,,,,,,
enterpriseenrollment.post.ch,Microsoft Intune admin center,200,39880,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,ctls,intune.microsoft.com,443,https://enterpriseenrollment.post.ch:443,https,,text/html,GET,52.236.189.96,/,1631801191,52.236.189.96,HSTS,4,False,,,,,https://intune.microsoft.com/,azure,True,,
enterpriseregistration.post.ch,Service,404,1565,enterpriseregistration.post.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,Microsoft Corporation,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,ctls,enterpriseregistration.post.ch,443,https://enterpriseregistration.post.ch:443,https,,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,True,,,,azure,True,,
epr.esanita.int.post.ch,Welcome - eSANITA Elektronisches Patientendossier,200,306010,epr.esanita.int.post-ehealth.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-29T07:31:01Z,2023-06-29T07:31:01Z,"CN=epr.esanita.int.post-ehealth.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",epr.esanita.int.post-ehealth.ch,Post CH AG,epr.esanita.int.post-ehealth.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,b762e1498ae165dd1456b41737b39969,f4723cab63171b46f1ce2a2e0a0cad385c8e9e197a4fc8b8ea748b2475ec7bd5,ctls,epr.esanita.int.post-ehealth.ch,80,http://epr.esanita.int.post.ch:80,http,Apache (proxied),text/html,GET,194.41.184.132,/,318323496,194.41.184.132,jQuery,1201,False,,,,,https://epr.esanita.int.post-ehealth.ch/,,,,
epr.esanita.prod.post.ch,Welcome - eSANITA Elektronisches Patientendossier,200,927022,epr.esanita.post-ehealth.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-29T07:32:16Z,2023-06-29T07:32:16Z,"CN=epr.esanita.post-ehealth.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",epr.esanita.post-ehealth.ch,Post CH AG,epr.esanita.post-ehealth.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,84149e74e0987b482d44e03f5f909b58,867abc5ab5ae5a3d7e93f0276fcb045f9ef528413114c6a40da97310c5520184,ctls,epr.esanita.post-ehealth.ch,80,http://epr.esanita.prod.post.ch:80,http,Apache (proxied),text/html,GET,194.41.184.174,/,318323496,194.41.184.174,Java,884,False,,,,,https://epr.esanita.post-ehealth.ch/,,,,
epr.ne.int.post.ch,Welcome - E-Health Platform,200,757798,epr.ne.int.post-ehealth.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-19T13:28:36Z,2023-09-19T13:28:36Z,"CN=epr.ne.int.post-ehealth.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",epr.ne.int.post-ehealth.ch,Post CH AG,epr.ne.int.post-ehealth.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,e3319b372db8d7606fa0b40f6ae00ec2,ab35e848147e7d532e907191647a3cbe71f78147311c9ba4fea57a0612ae4bbf,ctls,epr.ne.int.post-ehealth.ch,80,http://epr.ne.int.post.ch:80,http,Apache (proxied),text/html,GET,194.41.249.32,/,318323496,194.41.249.32,jQuery,1201,False,,,,,https://epr.ne.int.post-ehealth.ch/,,,,
epr.xsana.int.post.ch,Welcome - E-Health Platform,200,233854,epr.xsana.int.post-ehealth.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-15T04:43:03Z,2023-08-15T04:43:03Z,"CN=epr.xsana.int.post-ehealth.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",epr.xsana.int.post-ehealth.ch,Post CH AG,epr.xsana.int.post-ehealth.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,03543d02e9d76a59846acf39fb7b6e0e,281d273a678296f983f184984d7ca9009c21d3c4b0f3f9db1ea7103c14978578,ctls,epr.xsana.int.post-ehealth.ch,80,http://epr.xsana.int.post.ch:80,http,Apache (proxied),text/html,GET,194.41.184.106,/,318323496,194.41.184.106,jQuery,1201,False,,,,,https://epr.xsana.int.post-ehealth.ch/,,,,
erfassung.post.ch,,200,2558,erfassung.post.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-22T06:39:14Z,2023-08-22T06:39:14Z,"CN=erfassung.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",erfassung.post.ch,Post CH AG,registrazione.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,fe0c63de41fd901639ddd5df44bb9f79,67bf7484d95bddda3196f81cd69503f00be063f7230fc6bd96316cf5dfa297bb,ctls,erfassung.post.ch,443,https://erfassung.post.ch:443,https,SAP,text/html,GET,155.56.229.160,/,267717189,155.56.229.160,HSTS,91,False,,,,,https://erfassung.post.ch/index.html,,,,
erpcorp.apis-int.post.ch,,404,40,erpcorp.apis-int.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-06T07:33:32Z,2024-03-06T07:33:32Z,"CN=erpcorp.apis-int.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",erpcorp.apis-int.post.ch,Post CH AG,erpcorp.apis-int.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,c9cb753d0d5a133a073092ba866bf0c4,026eea2e0461dba57bac8cca6f4c1bc2f5cdbbf0c3fcfb9f12c3d5e7b3fecae4,ctls,erpcorp.apis-int.post.ch,443,https://erpcorp.apis-int.post.ch:443,https,Apache (proxied),text/plain,GET,194.41.248.239,/,1694469138,194.41.248.239,HSTS,1,False,,,,,,,,,
eu-verzollung.post.ch,EU-Verzollung,200,17270,eu-verzollung.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T09:43:23Z,2024-03-13T09:43:23Z,"CN=eu-verzollung.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",eu-verzollung.post.ch,Post CH AG,eu-verzollung3.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,35aa3fbd34428cc9926d7f7f36d7f08c,e43d811dbfdb70c64f3fa1fccfb10a4a7e7c060733ef3348a0e23f3efe9fea36,ctls,eu-verzollung.post.ch,443,https://eu-verzollung.post.ch:443,https,Delivery1,text/html,GET,194.41.184.146,/,1694469138,194.41.184.146,Sitecore,411,False,,,,,https://eu-verzollung.post.ch/de,,,,
eu-verzollung2.post.ch,EU-Verzollung,200,17279,eu-verzollung2.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T09:43:23Z,2024-03-13T09:43:23Z,"CN=eu-verzollung.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",eu-verzollung.post.ch,Post CH AG,eu-verzollung3.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,35aa3fbd34428cc9926d7f7f36d7f08c,e43d811dbfdb70c64f3fa1fccfb10a4a7e7c060733ef3348a0e23f3efe9fea36,ctls,eu-verzollung2.post.ch,443,https://eu-verzollung2.post.ch:443,https,Delivery2,text/html,GET,194.41.190.122,/,1694469138,194.41.190.122,Sitecore,411,False,,,,,https://eu-verzollung2.post.ch/de,,,,
eu-verzollungint.post.ch,Die Post - HTTP Fehlerseite,401,5601,eu-verzollungint.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T14:21:27Z,2024-03-07T14:21:27Z,"CN=eu-verzollungint.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",eu-verzollungint.post.ch,Post CH AG,eu-verzollungint2.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,190a90f9ae3d875c8fabf777df486d61,fa03703fe25d1daf15fc73c4b7b2a08aec8696cd9f3e41d63bf6c0e60ded04b1,ctls,eu-verzollungint.post.ch,443,https://eu-verzollungint.post.ch:443,https,Apache,text/html,GET,194.41.248.153,/,1181835822,194.41.248.153,HSTS,176,False,,,,,,,,,
eu-verzollungint2.post.ch,Die Post - HTTP Fehlerseite,401,5601,eu-verzollungint2.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T14:21:27Z,2024-03-07T14:21:27Z,"CN=eu-verzollungint.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",eu-verzollungint.post.ch,Post CH AG,eu-verzollungint2.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,190a90f9ae3d875c8fabf777df486d61,fa03703fe25d1daf15fc73c4b7b2a08aec8696cd9f3e41d63bf6c0e60ded04b1,ctls,eu-verzollungint2.post.ch,443,https://eu-verzollungint2.post.ch:443,https,Apache,text/html,GET,194.41.255.32,/,,194.41.255.32,HSTS,176,False,,,,,,,,,
events-test.post.ch,Die Post - HTTP Fehlerseite,401,5601,events-test.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-08T09:43:02Z,2023-08-08T09:43:02Z,"CN=events-test.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",events-test.post.ch,Post CH AG,events-test.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,bb8d995e7fafa4ef1834bc0eeab5b3b0,9afc25367b2630f8e5bc5e385ac2b80e2ba289562641cf1f3ad5ea962ce6b65c,ctls,events-test.post.ch,443,https://events-test.post.ch:443,https,Apache,text/html,GET,194.41.248.121,/,1694469138,194.41.248.121,HSTS,176,False,,,,,,,,,
events.post.ch,Die Post - HTTP Fehlerseite,401,5600,events.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-08T09:39:21Z,2023-08-08T09:39:21Z,"CN=events.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",events.post.ch,Post CH AG,events.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,1269c61ab687949af3b7eedf323f6940,1de337fe81c21f55183b214cf97287fa8cd70013ee75c6aaa7feb87db63699b6,ctls,events.post.ch,443,https://events.post.ch:443,https,Apache,text/html,GET,194.41.184.158,/,318323496,194.41.184.158,HSTS,176,False,,,,,https://events.post.ch/admin,,,,
evoting-community1.post.ch,E-Voting-Community-Programm der Schweizerischen Post  | Evoting-Community,200,115026,evoting-community1.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T09:43:33Z,2024-03-13T09:43:33Z,"CN=evoting-community.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",evoting-community.post.ch,Post CH AG,evoting-community3.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,2620c517eb0d367c3ef91290aad075a7,777479e8b91a17cfb1212a99b63d3b52fd516fac65e0a89e898992ec065493a5,ctls,evoting-community1.post.ch,443,https://evoting-community1.post.ch:443,https,Delivery1,text/html,GET,194.41.190.114,/,1694469138,194.41.190.114,Sitecore,2166,False,,,,,https://evoting-community1.post.ch/de,,,,
evoting-communityint2.post.ch,Die Post - HTTP Fehlerseite,401,5601,evoting-communityint2.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T14:21:36Z,2024-03-07T14:21:36Z,"CN=evoting-communityint.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",evoting-communityint.post.ch,Post CH AG,evoting-communityint2.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,b05e6c116e870c0bdc96078d0059e3ea,ce777d64d3637d05ae9e06f0995fbc7ab5e727085d5104ab549d4ee869d71eea,ctls,evoting-communityint2.post.ch,443,https://evoting-communityint2.post.ch:443,https,Apache,text/html,GET,194.41.255.32,/,,194.41.255.32,HSTS,176,False,,,,,,,,,
example-cug.post.ch,Website | Die Post,200,100856,www.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T11:33:33Z,2024-01-30T11:33:33Z,"CN=www.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",www.post.ch,Post CH AG,post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,3b15690381858128fc472a62fda4ebbe,29096f79e2b15f4baa1afc09bf9cc0afbfc64a08151a96170bc868637f774c30,ctls,www.post.ch,443,https://example-cug.post.ch:443,https,Delivery3,text/html,GET,194.41.184.146,/,1694469138,194.41.184.146,HSTS,1348,False,,,*.sas.com,,https://www.post.ch/de,,,,
example-cug1.post.ch,Website | Die Post,200,100858,www.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T11:33:33Z,2024-01-30T11:33:33Z,"CN=www.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",www.post.ch,Post CH AG,post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,3b15690381858128fc472a62fda4ebbe,29096f79e2b15f4baa1afc09bf9cc0afbfc64a08151a96170bc868637f774c30,ctls,www.post.ch,80,http://example-cug1.post.ch:80,http,Delivery3,text/html,GET,194.41.190.114,/,1694469138,194.41.190.114,HSTS,1348,False,,,*.sas.com,,https://www.post.ch/de,,,,
example-cug2.post.ch,Website | Die Post,200,100858,www.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T11:33:33Z,2024-01-30T11:33:33Z,"CN=www.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",www.post.ch,Post CH AG,post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,3b15690381858128fc472a62fda4ebbe,29096f79e2b15f4baa1afc09bf9cc0afbfc64a08151a96170bc868637f774c30,ctls,www.post.ch,443,https://example-cug2.post.ch:443,https,Delivery3,text/html,GET,194.41.190.122,/,1694469138,194.41.190.122,HSTS,1348,False,,,*.sas.com,,https://www.post.ch/de,,,,
example-cugint.post.ch,Die Post - HTTP Fehlerseite,401,5601,example-cugint.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-14T08:45:51Z,2023-06-14T08:45:51Z,"CN=example-cugint.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",example-cugint.post.ch,Post CH AG,example-cugint2.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,a7ad6599a9313210e17e4ece87996c5a,8ca5496ee5913f863143a45bdeceb4aa33b0a4e26ea389d8cc0a391f121e37b8,ctls,example-cugint.post.ch,443,https://example-cugint.post.ch:443,https,Apache,text/html,GET,194.41.248.153,/,-417904090,194.41.248.153,HSTS,176,False,,,,,,,,,
example-cugint1.post.ch,Die Post - HTTP Fehlerseite,401,5601,example-cugint1.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-14T08:45:51Z,2023-06-14T08:45:51Z,"CN=example-cugint.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",example-cugint.post.ch,Post CH AG,example-cugint2.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,a7ad6599a9313210e17e4ece87996c5a,8ca5496ee5913f863143a45bdeceb4aa33b0a4e26ea389d8cc0a391f121e37b8,ctls,example-cugint1.post.ch,443,https://example-cugint1.post.ch:443,https,Apache,text/html,GET,194.41.253.223,/,-1663809018,194.41.253.223,HSTS,176,False,,,,,,,,,
example-onepager1.post.ch,Website | Die Post,200,100858,www.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T11:33:33Z,2024-01-30T11:33:33Z,"CN=www.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",www.post.ch,Post CH AG,post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,3b15690381858128fc472a62fda4ebbe,29096f79e2b15f4baa1afc09bf9cc0afbfc64a08151a96170bc868637f774c30,ctls,www.post.ch,443,https://example-onepager1.post.ch:443,https,Delivery3,text/html,GET,194.41.190.114,/,1694469138,194.41.190.114,HSTS,1348,False,,,*.becompany.ch,,https://www.post.ch/de,,,,
example-onepager2.post.ch,Website | Die Post,200,100856,www.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T11:33:33Z,2024-01-30T11:33:33Z,"CN=www.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",www.post.ch,Post CH AG,post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,3b15690381858128fc472a62fda4ebbe,29096f79e2b15f4baa1afc09bf9cc0afbfc64a08151a96170bc868637f774c30,ctls,www.post.ch,443,https://example-onepager2.post.ch:443,https,Delivery3,text/html,GET,194.41.190.122,/,1694469138,194.41.190.122,HSTS,1348,False,,,*.sas.com,,https://www.post.ch/de,,,,
example-onepagerint.post.ch,Die Post - HTTP Fehlerseite,401,5601,example-onepagerint.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-14T08:46:20Z,2023-06-14T08:46:20Z,"CN=example-onepagerint.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",example-onepagerint.post.ch,Post CH AG,example-onepagerint2.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,8b0368fdc46aaf8e4cd91f569f0bcf8e,8876b571fdca2beeedb9a6e92369f2eb4b00cf9caf432f68b07cfe8eba190f93,ctls,example-onepagerint.post.ch,443,https://example-onepagerint.post.ch:443,https,Apache,text/html,GET,194.41.248.153,/,-661052754,194.41.248.153,HSTS,176,False,,,,,,,,,
example1.post.ch,Example Home | Example Post ZI,200,74811,example1.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-14T08:48:02Z,2023-06-14T08:48:02Z,"CN=example.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",example.post.ch,Post CH AG,example2.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,9954522fea841acaf6de0605713c6122,953e7df6f80d3fa7a48067146a18173b682e591cba5c4e9235db6686e1a3a424,ctls,example1.post.ch,443,https://example1.post.ch:443,https,Delivery1,text/html,GET,194.41.190.114,/,1694469138,194.41.190.114,Sitecore,1411,False,,,,,https://example1.post.ch/en,,,,
