new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,mx,txt,ns,has_internal_ips,internal_ips
,developer.finra.org,"104.18.29.201, 104.18.28.201","2606:4700::6812:1dc9, 2606:4700::6812:1cc9",developer.finra.org.cdn.cloudflare.net,,NOERROR,True,cloudflare,,,,,
,dfo.qa.finra.org,,,dfo.qa.finra.org.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,di-schemas.datacollection.finra.org,"104.18.20.213, 104.18.21.213","2606:4700::6812:15d5, 2606:4700::6812:14d5","datacollection.finra.org, datacollection.finra.org.cdn.cloudflare.net",,NOERROR,True,cloudflare,,,,,
,di.qa.finra.org,,,,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,
,dialin.finra.org,52.112.192.142,2603:1027:0:48::21,webdir.online.lync.com,,NOERROR,,,,,,,
,disasterrecoverytesting-fda.finra.org,198.202.240.220,,,,NOERROR,,,,,,,
,diver-sec.finra.org,"34.200.157.190, 54.156.63.158, 34.234.173.132",,AWSALBEDIVEREP01SEC-2018948810.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,
,dxtenpro.finra.org,,,,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,
,ebill.fss.finra.org,,"2606:4700::6812:1f9b, 2606:4700::6812:1e9b",ebill.fss.finra.org.cdn.cloudflare.net,,NOERROR,True,cloudflare,,,,,
,efocus.dev.finra.org,,,,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,
,ews.dr.finra.org,"104.18.2.10, 104.18.3.10",,ews.dr.finra.org.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,ews.finra.org,"104.18.17.242, 104.18.16.242",,ews.finra.org.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,ews.fip.finra.org,"104.18.8.233, 104.18.9.233",,ews.fip.finra.org.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,ews.firms.finra.org,,,ews.firms.finra.org.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,ews.firms.qc.finra.org,198.202.240.116,,ews-nat-kwa.firms.qc.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,"edns1.ultradns.com, edns1.ultradns.net, edns1.ultradns.biz, edns1.ultradns.org, ns33.ultradns2.com, ns33.ultradns2.org",,
,ews.qa.finra.org,"104.18.30.217, 104.18.31.217",,ews.qa.finra.org.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,ews.wipe.finra.org,,,,"gns1.finra.org, hostmaster.gns1.finra.org",NOERROR,,,,,,,
,extauth.devsec.dev.finra.org,,,extauth.devsec.dev.finra.org.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
