new,host,ttl,a,soa,status_code,cdn,cdn-name,mx,ns,cname,caa,aaaa,has_internal_ips,internal_ips,txt
[x],plutonium.rewind.com,300,"76.76.21.9, 76.76.21.123","{'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}",NOERROR,,,,,cname.vercel-dns.com,"sectigo.com, letsencrypt.org, globalsign.com",,,,
[x],pm-bounces.rewind.com,300,,"{'name': 'mtasv.net', 'ns': 'ns-1077.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'mtasv.net', 'ns': 'ns-1077.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'mtasv.net', 'ns': 'ns-1077.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'mtasv.net', 'ns': 'ns-1077.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,"p-pm-bounce-smtp01a-aws-useast2a.mtasv.net, p-pm-bounce-smtp01c-aws-useast2c.mtasv.net",,pm.mtasv.net,,,,,
[x],replay.sh,300,"141.193.213.10, 141.193.213.11","{'name': 'replay.sh', 'ns': 'ns-245.awsdns-30.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'replay.sh', 'ns': 'ns-245.awsdns-30.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'replay.sh', 'ns': 'ns-245.awsdns-30.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'replay.sh', 'ns': 'ns-245.awsdns-30.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,"alt2.aspmx.l.google.com, alt4.aspmx.l.google.com, alt3.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com","ns-245.awsdns-30.com, ns-1956.awsdns-52.co.uk, ns-882.awsdns-46.net, ns-1414.awsdns-48.org",,,,,,
[x],rewind.com,300,"141.193.213.11, 141.193.213.10","{'name': 'rewind.com', 'ns': 'ns-333.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'rewind.com', 'ns': 'ns-333.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,"ns-2026.awsdns-61.co.uk, ns-333.awsdns-41.com, ns-854.awsdns-42.net, ns-1392.awsdns-46.org",,"letsencrypt.org, pki.goog, sectigo.com, amazon.com, digicert.com",,,,"status-page-domain-verification=vxsdj1l07dh6, stripe-verification=b52a80e6ce631e0e00c02d61b460bb9e088ac16e2a1c2414c78af67725ca65b8, Rqx5qVHg_wDg0VuYW05o7wE-, MS=ms44211948, google-site-verification=XcDeCvzrKGu2YvDdIm5DzqGqvUglBE3bshnSFNSgHHE, google-site-verification=eqURG-uh56c30sUnhKK0P70e89VNoDhlqNGEsgGuefE, v=spf1 include:6865219.spf04.hubspotemail.net include:stspg-customer.com include:sendgrid.net include:_spf.google.com include:mail.zendesk.com -all, google-site-verification=3-47q_NuvoX0shE9rgfBrShHB8yJORjb7K0bhvZDWFY"
[x],security.rewind.com,300,"104.18.4.130, 104.18.5.130","{'name': 'safebase.io', 'ns': 'bailey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351165255, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'safebase.io', 'ns': 'bailey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351165255, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'safebase.io', 'ns': 'bailey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351165255, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'safebase.io', 'ns': 'bailey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351165255, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'safebase.io', 'ns': 'bailey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351165255, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,rewindio.portals.safebase.io,,"2606:4700::6812:582, 2606:4700::6812:482",,,
[x],shop.rewind.com,299,23.227.38.74,"{'name': 'myshopify.com', 'ns': 'dns1.p06.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1655907027, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 300}, {'name': 'myshopify.com', 'ns': 'ns1.dnsimple.com', 'mailbox': 'admin.dnsimple.com', 'serial': 1477078215, 'refresh': 86400, 'retry': 7200, 'expire': 604800, 'minttl': 300}, {'name': 'myshopify.com', 'ns': 'ns1.dnsimple.com', 'mailbox': 'admin.dnsimple.com', 'serial': 1477078215, 'refresh': 86400, 'retry': 7200, 'expire': 604800, 'minttl': 300}, {'name': 'myshopify.com', 'ns': 'ns1.dnsimple.com', 'mailbox': 'admin.dnsimple.com', 'serial': 1477078215, 'refresh': 86400, 'retry': 7200, 'expire': 604800, 'minttl': 300}",NOERROR,,,,,"boomerang-bucks.myshopify.com, shops.myshopify.com","globalsign.com, letsencrypt.org, pki.goog, digicert.com",,,,
[x],static.rewind.com,60,"18.165.83.34, 18.165.83.87, 18.165.83.128, 18.165.83.11","{'name': 'rewind.com', 'ns': 'ns-333.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'rewind.com', 'ns': 'ns-333.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'rewind.com', 'ns': 'ns-333.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'rewind.com', 'ns': 'ns-333.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'rewind.com', 'ns': 'ns-333.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,True,cloudfront,,,,,,,,
[x],status.rewind.com,300,"143.204.215.125, 143.204.215.8, 143.204.215.44, 143.204.215.122","{'name': 'saas.atlassian.com', 'ns': 'ns-1208.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 120}, {'name': 'saas.atlassian.com', 'ns': 'ns-1208.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 120}, {'name': 'saas.atlassian.com', 'ns': 'ns-1208.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 120}, {'name': 'saas.atlassian.com', 'ns': 'ns-1208.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 120}",NOERROR,True,cloudfront,,,"mfc0ftg17pr4.stspg-customer.com, status-rewind-com-2dab6afe-670b-4821-ac00-d8000501d4f3.saas.atlassian.com","letsencrypt.org, globalsign.com",,,,
[x],support.rewind.com,300,"199.60.103.225, 199.60.103.31","{'name': 'hscoscdn10.net', 'ns': 'jerry.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351060222, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hscoscdn10.net', 'ns': 'jerry.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351060222, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hscoscdn10.net', 'ns': 'jerry.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351060222, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,"help.rewind.com, 6865219.group19.sites.hubspot.net, group19.sites.hscoscdn10.net",,"2606:2c40::c73c:67e1, 2606:2c40::c73c:671f",,,
[x],url181.rewind.com,300,"167.89.118.95, 167.89.115.61, 167.89.115.150, 167.89.115.56, 167.89.118.109, 167.89.115.28, 167.89.115.52, 167.89.118.120, 167.89.118.128, 167.89.115.120, 167.89.118.83, 167.89.118.52","{'name': 'sendgrid.net', 'ns': 'ns10.dnsmadeeasy.com', 'mailbox': 'dns.dnsmadeeasy.com', 'serial': 2011273751, 'refresh': 14400, 'retry': 600, 'expire': 1728000, 'minttl': 180}, {'name': 'sendgrid.net', 'ns': 'ns10.dnsmadeeasy.com', 'mailbox': 'dns.dnsmadeeasy.com', 'serial': 2011273751, 'refresh': 14400, 'retry': 600, 'expire': 1728000, 'minttl': 180}",NOERROR,,,"mx.sendgrid.net, mx2.sendgrid.net","ns13.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns10.dnsmadeeasy.com",sendgrid.net,"godaddy.com, amazonaws.com",,,,
[x],us-west-2.api.rewind.com,60,"108.156.60.4, 108.156.60.11, 108.156.60.49, 108.156.60.85","{'name': 'rewind.com', 'ns': 'ns-333.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'rewind.com', 'ns': 'ns-333.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'rewind.com', 'ns': 'ns-333.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'rewind.com', 'ns': 'ns-333.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'rewind.com', 'ns': 'ns-333.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,True,cloudfront,,,,,,,,
[x],workers.dev.replay.sh,60,"10.1.86.86, 10.1.65.223","{'name': 'dev.replay.sh', 'ns': 'ns-149.awsdns-18.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.replay.sh', 'ns': 'ns-149.awsdns-18.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.replay.sh', 'ns': 'ns-149.awsdns-18.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.replay.sh', 'ns': 'ns-149.awsdns-18.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,True,"10.1.86.86, 10.1.65.223",
[x],workers.replay.sh,60,"10.1.68.85, 10.1.87.141","{'name': 'replay.sh', 'ns': 'ns-245.awsdns-30.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'replay.sh', 'ns': 'ns-245.awsdns-30.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'replay.sh', 'ns': 'ns-245.awsdns-30.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'replay.sh', 'ns': 'ns-245.awsdns-30.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'replay.sh', 'ns': 'ns-245.awsdns-30.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'replay.sh', 'ns': 'ns-245.awsdns-30.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,True,"10.1.68.85, 10.1.87.141",
[x],www.monitor.rewind.com,300,142.250.187.179,"{'name': 'googlehosted.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 672037779, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'googlehosted.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 671302526, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'googlehosted.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 671302526, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'googlehosted.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 672037779, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'googlehosted.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 672037779, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}",NOERROR,True,google,,,ghs.googlehosted.com,,,,,
[x],www.replay.sh,300,"141.193.213.10, 141.193.213.11, 205.251.192.245, 205.251.195.114, 205.251.197.134, 205.251.199.164","{'name': 'replay.sh', 'ns': 'ns-245.awsdns-30.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'replay.sh', 'ns': 'ns-245.awsdns-30.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,"ns-882.awsdns-46.net, ns-245.awsdns-30.com, ns-1956.awsdns-52.co.uk, ns-1414.awsdns-48.org",replay.sh,,,,,"detectify-verification=74f0ea4a71597f83589061d9caee65a8, _LtJH5sEEE4NmrhtIhAnnp1T3pYYNHw, v=spf1 include:6865219.spf04.hubspotemail.net include:sendgrid.net include:_spf.google.com -all, google-site-verification=mJMbzBPRbxRC8sSyeDB8MdLCg8nWjdYRMTpJEe30KrY"
[x],www.rewind.com,300,"141.193.213.10, 141.193.213.11","{'name': 'rewind.com', 'ns': 'ns-333.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'rewind.com', 'ns': 'ns-333.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,"ns-854.awsdns-42.net, ns-333.awsdns-41.com, ns-2026.awsdns-61.co.uk, ns-1392.awsdns-46.org",rewind.com,,,,,"google-site-verification=eqURG-uh56c30sUnhKK0P70e89VNoDhlqNGEsgGuefE, google-site-verification=3-47q_NuvoX0shE9rgfBrShHB8yJORjb7K0bhvZDWFY, status-page-domain-verification=vxsdj1l07dh6, v=spf1 include:6865219.spf04.hubspotemail.net include:stspg-customer.com include:sendgrid.net include:_spf.google.com include:mail.zendesk.com -all, MS=ms44211948, Rqx5qVHg_wDg0VuYW05o7wE-, stripe-verification=b52a80e6ce631e0e00c02d61b460bb9e088ac16e2a1c2414c78af67725ca65b8, google-site-verification=XcDeCvzrKGu2YvDdIm5DzqGqvUglBE3bshnSFNSgHHE"
