input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,cdn,tls_expired,tls_mismatched,csp_domains_,final_url,tls_subject_org_
mobile.nozbe.com,Nozbe Personal,200,10468,app.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,app.nozbe.com,443,https://mobile.nozbe.com:443,https,nginx,text/html,GET,85.10.232.84,/,1803798471,85.10.232.84,Nginx,163,False,True,,,,,wss://push.nozbe.com:3004,https://app.nozbe.com/,
nozbe.com,Nozbe - best project management and collaboration tool,200,130621,nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,nozbe.com,443,https://nozbe.com:443,https,AmazonS3,text/html,GET,108.138.7.60,/,-958247628,108.138.7.19,Hugo:0.80.0,5314,False,True,cloudfront,True,,,,,
o.nozbe.com,"Nozbe - to-do, task, project and time management application",200,30294,o.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,o.nozbe.com,443,https://o.nozbe.com:443,https,AmazonS3,text/html,GET,52.222.214.15,/,-1907375364,52.222.214.107,YouTube,881,False,True,cloudfront,True,,,,,
old.nozbe.com,Nozbe,200,6177,old.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,old.nozbe.com,443,https://old.nozbe.com:443,https,Apache,text/html,GET,85.10.232.84,/,-366337701,85.10.232.84,Apache,171,False,True,,,,,,,
one.nozbe.com,Welcome to nginx!,200,612,,,,,,,,,,,,,,,,,,80,http://one.nozbe.com:80,http,nginx/1.4.6 (Ubuntu),text/html,GET,54.93.48.12,/,732758235,54.93.48.12,Ubuntu,26,False,,,,,,,,
payments.nozbe.com,Pricing,200,104306,nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,nozbe.com,443,https://payments.nozbe.com:443,https,AmazonS3,text/html,GET,85.10.232.84,/,-1840324437,85.10.232.84,HSTS,2868,False,True,,,,,,https://nozbe.com/pricing/,
payments2.nozbe.com,Pricing,200,104306,nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,nozbe.com,443,https://payments2.nozbe.com:443,https,AmazonS3,text/html,GET,85.10.232.84,/,-1840324437,85.10.232.84,HSTS,2868,False,True,,,,,,https://nozbe.com/pricing/,
pricing.nozbe.com,Pricing,200,104306,nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,nozbe.com,443,https://pricing.nozbe.com:443,https,AmazonS3,text/html,GET,99.86.4.70,/,-958247628,99.86.4.105,HSTS,2868,False,True,cloudfront,True,,,,https://nozbe.com/pricing/,
pricing2.nozbe.com,nozbe - Nozbe secure online checkout,200,45919,pricing2.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,pricing2.nozbe.com,443,https://pricing2.nozbe.com:443,https,Apache,text/html,GET,85.10.232.84,/,-1840324437,85.10.232.84,PHP,644,False,True,,,,,,https://pricing2.nozbe.com/page/index/nozbe/bc47f7a20335c,
print.nozbe.com,,404,13,print.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,print.nozbe.com,443,https://print.nozbe.com:443,https,nginx/1.18.0 (Ubuntu),text/html,GET,95.217.57.61,/,673264342,95.217.57.61,Ubuntu,2,False,True,,,,,,,
prod.nozbe.com,ERROR: The request could not be satisfied,502,507,prod.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,prod.nozbe.com,443,https://prod.nozbe.com:443,https,CloudFront,text/html,GET,18.66.97.100,/,-1306473715,18.66.97.81,Amazon Web Services,16,False,True,cloudfront,True,,,,,
push.nozbe.com,,200,21,push.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,push.nozbe.com,443,https://push.nozbe.com:443,https,nginx,,GET,52.16.173.74,/,-1979126843,52.16.173.74,Nginx,1,False,True,,,,,,,
push2.nozbe.com,,200,12,push2.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,push2.nozbe.com,443,https://push2.nozbe.com:443,https,,,GET,52.59.65.107,/,619653921,52.59.65.107,,1,False,True,,,,,,,
redirect.nozbe.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,80,http://redirect.nozbe.com:80,http,CloudFront,text/html,GET,108.138.7.60,/,2107816780,108.138.7.79,Amazon Web Services,20,False,,cloudfront,True,,,,,
secure.nozbe.com,,200,82,secure.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,secure.nozbe.com,443,https://secure.nozbe.com:443,https,Apache,text/html,GET,85.10.232.84,/,-366337701,85.10.232.84,Apache,5,False,True,,,,,,,
signup.nozbe.com,"Nozbe, app for entrepreneurs - free task management tool",200,41746,nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,nozbe.com,443,https://signup.nozbe.com:443,https,AmazonS3,text/html,GET,85.10.232.84,/,-1840324437,85.10.232.84,HSTS,1979,False,True,,,,,,https://nozbe.com/signup,
social.nozbe.com,Nozbe’s Mastodon Server,200,21983,social.nozbe.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-26T22:07:49Z,2023-09-24T22:07:48Z,CN=social.nozbe.com,social.nozbe.com,social.nozbe.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4b7806caf2a648a36d18dc488ea785c5,2d1b7af61b594a4c875350eb0ba71db8fad4e7281ed61cadec20e308851106fe,ctls,social.nozbe.com,443,https://social.nozbe.com:443,https,Mastodon,text/html,GET,164.90.179.45,/,-1269979934,164.90.179.45,Ruby on Rails,81,False,,,,,,wss://social.nozbe.com,,
staging-3rdparty.nozbe.com,Welcome to nginx!,200,612,,,,,,,,,,,,,,,,,,80,http://staging-3rdparty.nozbe.com:80,http,nginx/1.4.6 (Ubuntu),text/html,GET,54.93.48.12,/,732758235,54.93.48.12,Ubuntu,26,False,,,,,,,,
staging.nozbe.com,Welcome to nginx!,200,612,,,,,,,,,,,,,,,,,,80,http://staging.nozbe.com:80,http,nginx/1.4.6 (Ubuntu),text/html,GET,54.93.48.12,/,732758235,54.93.48.12,Ubuntu,26,False,,,,,,,,
sync2.nozbe.com,403 Forbidden,403,202,sync2.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,sync2.nozbe.com,443,https://sync2.nozbe.com:443,https,Apache,text/html,GET,85.10.232.84,/,-366337701,85.10.232.84,Apache,9,False,True,,,,,,,
test.nozbe.com,Release notes and beta access,200,21799,help.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,help.nozbe.com,443,https://test.nozbe.com:443,https,AmazonS3,text/html,GET,108.62.123.206,/,1430332473,108.62.123.206,HSTS,1219,False,True,,,,,,https://help.nozbe.com/gtd/release-notes/,
test123.nozbe.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,80,http://test123.nozbe.com:80,http,CloudFront,text/html,GET,108.138.7.79,/,-1321461321,108.138.7.24,Amazon Web Services,20,False,,cloudfront,True,,,,,
tester.nozbe.com,Welcome to nginx!,200,612,,,,,,,,,,,,,,,,,,80,http://tester.nozbe.com:80,http,nginx/1.4.6 (Ubuntu),text/html,GET,54.93.48.12,/,732758235,54.93.48.12,Ubuntu,26,False,,,,,,,,
thumbs.nozbe.com,404 Not Found,404,345,thumbs.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,thumbs.nozbe.com,443,https://thumbs.nozbe.com:443,https,AmazonS3,text/html,GET,18.66.112.77,/,-520648398,18.66.112.43,Amazon Web Services,15,False,True,cloudfront,True,,,,,
webapp.nozbe.com,Nozbe - getting things done gtd software task manager and to-do list for project management and time tracking. Now on Apple iPhone and Mobile Phone!,200,2341,webapp.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,webapp.nozbe.com,443,https://webapp.nozbe.com:443,https,Apache,text/html,GET,85.10.232.84,/,-1840324437,85.10.232.84,Apache,71,False,True,,,,,,,
wiki.nozbe.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,80,http://wiki.nozbe.com:80,http,CloudFront,text/html,GET,18.66.97.89,/,-1006566251,18.66.97.125,Amazon Web Services,20,False,,cloudfront,True,,,,,
wp-assets.nozbe.com,404 Not Found,404,345,wp-assets.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2018-11-20T00:00:00Z,2021-02-18T12:00:00Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL RSA CA 2018,DigiCert Inc,2e30776bc73306f5e0be90eda72d7739,1066c91ce7ccf979956f27d4bdcf1e8b8e3aef4a54a528cc84a007cf3724cbb6,ctls,wp-assets.nozbe.com,443,https://wp-assets.nozbe.com:443,https,AmazonS3,text/html,GET,18.66.97.94,/,997864299,18.66.97.69,Amazon Web Services,15,False,True,cloudfront,True,True,,,,
ww.nozbe.com,Michael Sliwinski – by Michael Sliwinski,200,25118,michael.team,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-17T13:09:33Z,2023-09-15T13:09:32Z,CN=michael.team,michael.team,michael.team,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7fd9ec75584de70daaa41fb2449fcf15,57aa6a1a0db66f71269c744c5d904c099bd4326421fb4552aaaaf1693e55647d,ctls,michael.team,443,https://ww.nozbe.com:443,https,GitHub.com,text/html,GET,108.62.123.206,/,1615106687,108.62.123.206,YouTube,276,False,,,,,,,https://michael.team,
www.checkout.nozbe.com,,200,212,www.checkout.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T00:00:00Z,2024-05-17T23:59:59Z,CN=checkout.nozbe.com,checkout.nozbe.com,www.checkout.nozbe.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,f5672acdc0ab76f077233ae6585b58fb,a96ba969f7c4f5e6074b86542ed9baa29790638c7561f08c0e13af9688be491e,ctls,www.checkout.nozbe.com,443,https://www.checkout.nozbe.com:443,https,,text/html,GET,45.60.14.94,/,-1228961852,45.60.14.94,Imperva,8,False,,incapsula,True,,,,,
www.nozbe.com,Nozbe - best project management and collaboration tool,200,130621,nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,nozbe.com,443,https://www.nozbe.com:443,https,AmazonS3,text/html,GET,18.66.97.125,/,-958247628,18.66.97.10,Hugo:0.80.0,5314,False,True,cloudfront,True,,,,https://nozbe.com/index.html,
www.payments.nozbe.com,Nozbe - najlepsze narzędzie do zarządzania projektami i współpracy w zespole,200,132400,nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,nozbe.com,443,https://www.payments.nozbe.com:443,https,AmazonS3,text/html,GET,85.10.232.84,/,-748669091,85.10.232.84,Hugo:0.80.0,5550,False,True,,,,,,https://nozbe.com/pl,
