input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tech_,cdn_name,webserver,cdn,tls_mismatched,tls_wildcard_certificate,final_url,csp_domains_,location
artifacts-tedisabled-chdn-com.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://artifacts-tedisabled-chdn-com.jfrog.com:80,http,text/html,GET,143.204.98.28,/,-1873596620,143.204.98.46,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
atl-prd-itools-01.backtoschool.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://atl-prd-itools-01.backtoschool.jfrog.com:80,http,text/html,GET,143.204.98.99,/,-139975096,143.204.98.28,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
authbucket-aws-linkdevelip-git.my.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://authbucket-aws-linkdevelip-git.my.jfrog.com:80,http,text/html,GET,143.204.98.99,/,195971621,143.204.98.46,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
aws.jfrog.com,,200,904,console.aws.amazon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=console.aws.amazon.com,console.aws.amazon.com,,lightsail.aws.amazon.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,36c7758ab51f821a5ceda778366aa093,2cd071e6f7f9161eff7104077594fe82714c4a08480d1bdbc903e4c3bb8027d6,ctls,console.aws.amazon.com,80,http://aws.jfrog.com:80,http,text/html,GET,54.83.140.47,/,-108245488,52.4.74.91,24,False,HSTS,,Server,,,True,https://console.aws.amazon.com/console/home,,
ba-engineeringupport.asset.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://ba-engineeringupport.asset.jfrog.com:80,http,text/html,GET,143.204.98.28,/,-1561056737,143.204.98.46,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
ba-engineeringupport.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://ba-engineeringupport.jfrog.com:80,http,text/html,GET,143.204.98.28,/,1272566936,143.204.98.6,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
ba-support.jfrog.com,Support : JFrog Business Application Service Portal,200,19974,ba-support.jfrog.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-23T16:42:02Z,2023-08-21T16:42:01Z,CN=ba-support.jfrog.com,ba-support.jfrog.com,,ba-support.jfrog.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb2b305472ca7483ccbb68ed17452e1,ae17838f73f24e593d1939568fce5cbae413a5d299d1e56e8bf27bbb2c3ee0ac,ctls,ba-support.jfrog.com,443,https://ba-support.jfrog.com:443,https,text/html,GET,34.236.160.253,/,-1611011004,44.207.149.192,358,False,Ruby on Rails,,fwe,,,,https://ba-support.jfrog.com/support/home,,
ba-support.promotion.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://ba-support.promotion.jfrog.com:80,http,text/html,GET,143.204.98.6,/,708813871,143.204.98.46,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
ba-support.tech.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://ba-support.tech.jfrog.com:80,http,text/html,GET,143.204.98.6,/,1780604492,143.204.98.99,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
backtoschool.jfrog.com,403 Forbidden,403,146,backtoschool.jfrog.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-06-27T23:59:59Z,CN=join.jfrog.com,join.jfrog.com,,blog.jfrog.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ec9344cef632395f377226138961437c,135f6e92273ee60d57c3e2c09ae87954cdff49fff6ee4c984838b7740370fc2c,ctls,backtoschool.jfrog.com,443,https://backtoschool.jfrog.com:443,https,text/html,GET,34.197.216.62,/,1494302000,3.225.239.149,8,False,,,,,,,,,
backtoschoolcompute.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://backtoschoolcompute.jfrog.com:80,http,text/html,GET,143.204.98.46,/,993036871,143.204.98.99,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
bagwell.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://bagwell.jfrog.com:80,http,text/html,GET,143.204.98.28,/,1809728569,143.204.98.99,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
baiduspider-111-206-221-50.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://baiduspider-111-206-221-50.jfrog.com:80,http,text/html,GET,143.204.98.46,/,1301294648,143.204.98.99,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
benefitsbook-old.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://benefitsbook-old.jfrog.com:80,http,text/html,GET,143.204.98.28,/,-1262671820,143.204.98.46,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
benning-150-226-57-99.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://benning-150-226-57-99.jfrog.com:80,http,text/html,GET,143.204.98.46,/,-2110895380,143.204.98.99,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
beta-bayern.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://beta-bayern.jfrog.com:80,http,text/html,GET,143.204.98.28,/,-1342509029,143.204.98.6,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
