input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,tls_mismatched,final_url,csp_domains_
billingsdk-stg.netgear.com,,403,11000,billingsdk-stg.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-06T23:59:59Z,CN=billing-stg.netgear.com,billing-stg.netgear.com,billingsdk-stg.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,91a0f633b7c9357c38a29a41eac6d2fe,ce612c7cc6989f397afcb91b3fc08252e318c695a51bdac222aab6a7b6dfadeb,ctls,billingsdk-stg.netgear.com,cloudfront,443,https://billingsdk-stg.netgear.com:443,https,AmazonS3,text/html,GET,13.32.99.22,/,-1851491385,2600:9000:2251:5600:1a:6a5e:1bc0:93a1,HSTS,194,False,True,,,,,
billingsdk.netgear.com,,200,7367,billingsdk.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=billing.netgear.com,billing.netgear.com,payments.netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0fefc49e12b84a1a6f95135473ffe1a5,0ecb0404ff852617594d131e62e8077e251561509eea8681f19711b139173000,ctls,billingsdk.netgear.com,cloudfront,443,https://billingsdk.netgear.com:443,https,,text/html,GET,18.66.147.90,/,-1255347784,2600:9000:225e:b200:1f:9f80:8b00:93a1,jQuery,174,False,True,,,,,
blog.netgear.com,NETGEAR Hub - Your Home For Technology News + Information,200,46894,www.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-19T23:59:59Z,CN=*.netgear.com,*.netgear.com,netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dd660eddded46e447d67e1121e6ec471,b8f64af445e22f2050b15977c959146ed8b961cc919a05cfdff8cc6c2407a89c,ctls,www.netgear.com,cloudfront,443,https://blog.netgear.com:443,https,Microsoft-IIS/8.5,text/html,GET,13.32.99.44,/,,2600:9000:2251:9000:14:b8b2:c440:93a1,Yoast SEO:20.8,412,False,True,,True,,https://www.netgear.com/hub/,www.google.com
businesscentral.netgear.com,NETGEAR Insight. Built for Your Business | NETGEAR,200,388743,www.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-19T23:59:59Z,CN=*.netgear.com,*.netgear.com,netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dd660eddded46e447d67e1121e6ec471,b8f64af445e22f2050b15977c959146ed8b961cc919a05cfdff8cc6c2407a89c,ctls,www.netgear.com,,443,https://businesscentral.netgear.com:443,https,,text/html,GET,13.248.140.194,/,-108803258,76.223.14.31,SDL Tridion,5560,False,,,True,,https://www.netgear.com:443/business/services/insight/,
ca.netgear.com,NETGEAR: Networking Products Made For You,200,230857,www.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-19T23:59:59Z,CN=*.netgear.com,*.netgear.com,netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dd660eddded46e447d67e1121e6ec471,b8f64af445e22f2050b15977c959146ed8b961cc919a05cfdff8cc6c2407a89c,ctls,www.netgear.com,cloudfront,443,https://ca.netgear.com:443,https,,text/html,GET,143.204.98.90,/,1861886773,2600:9000:2156:ba00:0:4535:6c40:93a1,SDL Tridion,3270,False,True,,True,,https://www.netgear.com:443/ca-en/,
captive.netgear.com,Application Error,503,506,captive.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-11T02:36:03Z,2023-08-09T02:36:02Z,CN=captive.netgear.com,captive.netgear.com,captive.netgear.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,168c90b02acc349716e279bcf1e59d25,e4524654495de50f179f8699d97b9f961daa8f2f90e30fcebaee2dd73ee63745,ctls,captive.netgear.com,,443,https://captive.netgear.com:443,https,Cowboy,text/html,GET,3.220.57.224,/,1508041395,54.91.59.199,Cowboy,26,False,,,,,,
checkout.netgear.com,,200,16687,checkout.netgear.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-23T14:07:43Z,2023-07-21T14:07:43Z,"CN=checkout.netgear.com, O=Netgear\, Inc, L=San Jose, ST=California, C=US",checkout.netgear.com,checkout.netgear.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",a403f9f9a4964de0e40a333996ee9234,abac009bde96cdf1a69cba718a2852b2e7079d05cc8c920387ff0314e85b26fe,ctls,checkout.netgear.com,,443,https://checkout.netgear.com:443,https,sfdcedge,text/html,GET,85.222.140.11,/,1433417005,85.222.140.10,Salesforce,158,False,,"Netgear, Inc",,,,https://ntgr.lightning.force.com
citrix.netgear.com,,200,228,citrix.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-14T00:00:00Z,2024-05-12T23:59:59Z,CN=*.netgear.com,*.netgear.com,*.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9a66ff8fac5753fd36802d3e4f6f1b3,f8ae502914c43936a872c843288eb21e8295a2b64cfdfc036ce26adb08aa5483,ctls,citrix.netgear.com,,443,https://citrix.netgear.com:443,https,Microsoft-IIS/10.0,text/html,GET,54.237.34.207,/,1631801191,3.216.231.209,Windows Server,11,False,,,True,,,
citrix1.netgear.com,,200,5683,citrix1.netgear.com,443,True,tls12,TLS_RSA_WITH_AES_128_CBC_SHA,2022-09-14T16:53:50Z,2023-10-14T16:53:50Z,"CN=citrix1.netgear.com, O=Netgear\, Inc, L=San Jose, ST=California, C=US",citrix1.netgear.com,citrix1.netgear.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",31e19d67fb4638089528edb87a9ef670,6a62e29ea1978af6f20f45532660467d22500aec0557c896737f73c64488dfd1,ctls,citrix1.netgear.com,,443,https://citrix1.netgear.com:443,https,,text/html,GET,208.185.37.135,/,12023395,208.185.37.135,,1,False,,"Netgear, Inc",,,https://citrix1.netgear.com/vpn/index.html,
cl.netgear.com,NETGEAR: Advanced WiFi & Networking,200,291923,www.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-19T23:59:59Z,CN=*.netgear.com,*.netgear.com,netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dd660eddded46e447d67e1121e6ec471,b8f64af445e22f2050b15977c959146ed8b961cc919a05cfdff8cc6c2407a89c,ctls,www.netgear.com,,443,https://cl.netgear.com:443,https,,text/html,GET,76.223.14.31,/,-687843189,13.248.140.194,SDL Tridion,4179,False,,,True,,https://www.netgear.com:443/,
click.e.netgear.com,403 - Forbidden: Access is denied.,403,1233,click.e.netgear.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-24T00:00:00Z,2024-01-24T23:59:59Z,"CN=click.e.netgear.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",click.e.netgear.com,click.e.netgear.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cdb0f3f5c3c3403a98e5353ea4890b8f,5c42a3f2f0453f22a8ea5a8d06421d641777ba070e54faa08b2634f24dd87df1,ctls,click.e.netgear.com,,443,https://click.e.netgear.com:443,https,,text/html,GET,13.111.134.99,/,1631801191,13.111.134.99,HSTS,30,False,,"SALESFORCE.COM, INC.",,,,
cloudera.netgear.com,,200,339,cloudera.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-14T00:00:00Z,2024-05-12T23:59:59Z,CN=*.netgear.com,*.netgear.com,*.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9a66ff8fac5753fd36802d3e4f6f1b3,f8ae502914c43936a872c843288eb21e8295a2b64cfdfc036ce26adb08aa5483,ctls,cloudera.netgear.com,,443,https://cloudera.netgear.com:443,https,Microsoft-IIS/10.0,text/html,GET,54.237.34.207,/,1631801191,3.216.231.209,Windows Server,11,False,,,True,,,
cloudstoragesync.netgear.com,,200,12575,cloudstoragesync.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,2024-02-17T23:59:59Z,CN=cloudstoragesync.netgear.com,cloudstoragesync.netgear.com,cloudstoragesync.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f436bed679071b363f6c43363ba4e542,17ab9eb0a16241f3406b3d93e347341d65777ed93bf1f4ad14616f6d919ae7cd,ctls,cloudstoragesync.netgear.com,cloudfront,443,https://cloudstoragesync.netgear.com:443,https,Apache/2.4.55 () OpenSSL/1.0.2k-fips PHP/5.4.16,text/html,GET,108.138.17.109,/,-780928015,2600:9000:2491:8c00:1d:c91e:d900:93a1,PHP:5.4.16,62,False,True,,,,,
cob-emulator-qa.netgear.com,Error,404,139,cob-emulator-qa.netgear.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-27T23:59:59Z,CN=cob-emulator-qa.netgear.com,cob-emulator-qa.netgear.com,cob-emulator-qa.netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f7bae738c85de545d531fd6177365b1a,375f87447930634607d56267f6290c52eca61e4fecfec787303dd0436283a130,ctls,cob-emulator-qa.netgear.com,,443,https://cob-emulator-qa.netgear.com:443,https,,text/html,GET,35.82.47.255,/,1593207841,44.224.36.210,Node.js,11,False,,,,,,
community-stage.netgear.com,401 Authorization Required,401,167,community-stage.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-03-10T23:59:59Z,"CN=secure05.stage.lithium.com, O=Khoros\, LLC, L=Austin, ST=Texas, C=US",secure05.stage.lithium.com,stage.sincerely-food.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,281d0d5cdce47dd115ac7b6e2d2b869b,197b525c7b8516b8c2b456f6453f0b626e754e963a6860e4e2e1df729287d4c2,ctls,community-stage.netgear.com,cloudfront,443,https://community-stage.netgear.com:443,https,Apache,text/html,GET,18.66.122.124,/,-1840324437,18.66.122.17,HSTS,7,False,True,"Khoros, LLC",True,,https://community-stage.netgear.com/t5/NETGEAR-Communities/ct-p/English,
community.netgear.com,English - NETGEAR Communities,200,246221,community.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,2023-09-23T23:59:59Z,"CN=secure07.lithium.com, O=Khoros\, LLC, L=Austin, ST=Texas, C=US",secure07.lithium.com,community.travelandleisure.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,71ee3692330443d9bb240f1d1239a6fd,cfd476d33f1c0633f8f591a437b49b2187fee522e259e37cb9e41e359a664952,ctls,community.netgear.com,cloudfront,443,https://community.netgear.com:443,https,Apache,text/html,GET,13.32.99.118,/,-1840324437,13.32.99.22,PHP,4017,False,True,"Khoros, LLC",True,True,https://community.netgear.com:443/t5/English/ct-p/English,
competitive.netgear.com,TCO Calculator | NETGEAR,200,3747,competitive.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-19T23:59:59Z,CN=*.netgear.com,*.netgear.com,netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,9f6f0e178f9f07fd0f3a33733c521eba,dedbe271b82f1168058e71ee710a28ab4e21812f6ff79f16d06366f006d59728,ctls,competitive.netgear.com,cloudfront,443,https://competitive.netgear.com:443,https,Kestrel,text/html,GET,13.32.99.101,/,-687843189,2600:9000:2251:ec00:14:b8b2:c440:93a1,Microsoft ASP.NET,86,False,True,,True,,,
connect.netgear.com,Submit Form,200,1775,sso.connect.pingidentity.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-04T00:00:00Z,2024-01-04T23:59:59Z,"CN=sso.connect.pingidentity.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",sso.connect.pingidentity.com,sso.connect.pingidentity.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1215a578746e67c2cc6c701fa97c3d5d,5e10947d522805d19c470e09a425257e5b603cd99d43afffd946012f110264f5,ctls,sso.connect.pingidentity.com,,443,https://connect.netgear.com:443,https,,text/html,GET,34.247.179.71,/,1749487091,3.248.154.13,HSTS,26,False,,Ping Identity Corporation,,,https://sso.connect.pingidentity.com/sso/idp/SSO.saml2?idpid=f7739006-7f15-45c2-8b94-1a881636d13d&SAMLRequest=hVLLbtswELz7KwLd9aDeIiwXatyHAdc2IreHXgqKpBICEqlyqTb5%2B9Ji0yQFmu5tZ3eGOwOugYzDhJvZ3Mkb%2Fn3mYFZXtu7HQQJehrU3a4kVAQFYkpEDNhS3zac9joMIT1oZRdXg%2FUV7nUUAuDZCSUfbbWvveHi3P37YHb6hlKK0KxmN%2B7zLuyIryypK%2Bq5M0jJjRVWhLI2TPHLUL1yD1ak9K%2ButnBrAzHcSDJHG4lGc%2BFHhR%2Fk5inFaYFR%2BddStNSskMQv9zpgJcBgCqIAqKTk1wSTkrWBcGmEeLDhehqFgU9i2x%2BBiMn5jO8HqviiSKopyv%2BhR5qcZjf2yq1IfkbJEeZIzlDD35ul3XG%2BFZFb99ZQ6twT44%2Fl88k%2FH9uxEmsf0rpWEeeS65fqHoPzzzf7JyKMJyc0tJ9rdb28OCQVvs%2BisLz1e4tKb%2F%2FJGbggjhqzD57QnoQkfrIPd9qQGQR8W%2FFLvlR6J%2BbdRFKAFEczvl1XMRyKGhjHNAbw%2FOs0wqJ%2FXmhPDa8%2FomXtX4Wbljnn5gTe%2FAA%3D%3D&RelayState=http%3A%2F%2Fconnect.netgear.com%2Fsaml%2Fsso,
cyberark.netgear.com,,200,339,cyberark.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-14T00:00:00Z,2024-05-12T23:59:59Z,CN=*.netgear.com,*.netgear.com,*.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9a66ff8fac5753fd36802d3e4f6f1b3,f8ae502914c43936a872c843288eb21e8295a2b64cfdfc036ce26adb08aa5483,ctls,cyberark.netgear.com,,443,https://cyberark.netgear.com:443,https,Microsoft-IIS/10.0,text/html,GET,3.216.231.209,/,1631801191,54.237.34.207,Windows Server,11,False,,,True,,,
devcom.insight.netgear.com,,200,87,devcom.insight.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T15:53:31Z,2024-05-16T15:53:31Z,"CN=insight.netgear.com, O=Netgear\, Inc, L=San Jose, ST=California, C=US",insight.netgear.com,*.insight.netgear.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",e27b55d5d467235df997939a7b5104cb,bf3677b6510b26da69206990e349f5e729b1a7feda4649d665b8dcc3a5fc4133,ctls,devcom.insight.netgear.com,cloudfront,443,https://devcom.insight.netgear.com:443,https,,application/json,GET,18.66.147.73,/,-672082250,18.66.147.14,Amazon Web Services,1,False,True,"Netgear, Inc",True,,,
diligent.netgear.com,,200,339,diligent.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-14T00:00:00Z,2024-05-12T23:59:59Z,CN=*.netgear.com,*.netgear.com,*.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9a66ff8fac5753fd36802d3e4f6f1b3,f8ae502914c43936a872c843288eb21e8295a2b64cfdfc036ce26adb08aa5483,ctls,diligent.netgear.com,,443,https://diligent.netgear.com:443,https,Microsoft-IIS/10.0,text/html,GET,3.216.231.209,/,1631801191,54.237.34.207,Windows Server,11,False,,,True,,,
dms.netgear.com,NETGEAR DMS User Login Page,200,3552,dms.netgear.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-03T19:11:58Z,2023-09-02T19:11:58Z,"CN=dms.netgear.com, O=Netgear, L=San Jose, ST=California, C=US",dms.netgear.com,dms.netgear.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",dd73a7b1c8d2c33816bdfacae2e2875f,53f7aea581d735e6928b21a74878fa6a467602da427aa6d86a0b932467d64fc8,ctls,dms.netgear.com,,443,https://dms.netgear.com:443,https,Apache/2.4.54 (Win64) OpenSSL/1.1.1s,text/html,GET,44.208.151.219,/,-780928015,44.208.151.219,Windows Server,110,False,,Netgear,,,,
downloadcenter.netgear.com,Download Center | Downloads and Documentation | NETGEAR,200,46746,www.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-19T23:59:59Z,CN=*.netgear.com,*.netgear.com,netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dd660eddded46e447d67e1121e6ec471,b8f64af445e22f2050b15977c959146ed8b961cc919a05cfdff8cc6c2407a89c,ctls,www.netgear.com,cloudfront,443,https://downloadcenter.netgear.com:443,https,,text/html,GET,18.66.122.2,/,2034331768,2600:9000:2250:f400:14:b314:af80:93a1,Stimulus,1169,False,True,,True,,https://www.netgear.com/support/download/?model=,
downloads1.netgear.com,,403,243,downloads1.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-09-05T23:59:59Z,CN=downloads1.netgear.com,downloads1.netgear.com,downloads1.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,131145ce9aa9c6a84dd26ed7223aabd3,f0a5635b42070fa88b0f79e149f0ed626d152f1fd97e2089efb5a03a9814c86a,ctls,downloads1.netgear.com,cloudfront,443,https://downloads1.netgear.com:443,https,AmazonS3,application/xml,GET,65.9.66.97,/,-1799081246,65.9.66.90,Amazon Web Services,2,False,True,,,,,
dropbox.netgear.com,,200,339,dropbox.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-14T00:00:00Z,2024-05-12T23:59:59Z,CN=*.netgear.com,*.netgear.com,*.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9a66ff8fac5753fd36802d3e4f6f1b3,f8ae502914c43936a872c843288eb21e8295a2b64cfdfc036ce26adb08aa5483,ctls,dropbox.netgear.com,,443,https://dropbox.netgear.com:443,https,Microsoft-IIS/10.0,text/html,GET,3.216.231.209,/,1631801191,54.237.34.207,Windows Server,11,False,,,True,,,
elearning-stg.io.netgear.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,cloudfront,80,http://elearning-stg.io.netgear.com:80,http,CloudFront,text/html,GET,99.86.4.86,/,226675620,99.86.4.102,Amazon Web Services,20,False,True,,,,,
enterpriseenrollment.netgear.com,Microsoft Intune admin center,200,40690,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,ctls,intune.microsoft.com,azure,443,https://enterpriseenrollment.netgear.com:443,https,,text/html,GET,13.74.111.192,/,1631801191,13.74.111.192,HSTS,4,False,True,Microsoft Corporation,,,https://intune.microsoft.com/,
es.netgear.com,NETGEAR: Advanced WiFi & Networking,200,291923,www.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-19T23:59:59Z,CN=*.netgear.com,*.netgear.com,netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dd660eddded46e447d67e1121e6ec471,b8f64af445e22f2050b15977c959146ed8b961cc919a05cfdff8cc6c2407a89c,ctls,www.netgear.com,,443,https://es.netgear.com:443,https,,text/html,GET,13.248.140.194,/,-687843189,76.223.14.31,SDL Tridion,4179,False,,,True,,https://www.netgear.com:443/,
facebook.netgear.com,NETGEAR: Advanced WiFi & Networking,200,291923,www.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-19T23:59:59Z,CN=*.netgear.com,*.netgear.com,netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dd660eddded46e447d67e1121e6ec471,b8f64af445e22f2050b15977c959146ed8b961cc919a05cfdff8cc6c2407a89c,ctls,www.netgear.com,,443,https://facebook.netgear.com:443,https,,text/html,GET,13.248.140.194,/,-687843189,76.223.14.31,SDL Tridion,4179,False,,,True,,https://www.netgear.com:443/,
falcon.netgear.com,,200,241,falcon.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-14T00:00:00Z,2024-05-12T23:59:59Z,CN=*.netgear.com,*.netgear.com,*.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9a66ff8fac5753fd36802d3e4f6f1b3,f8ae502914c43936a872c843288eb21e8295a2b64cfdfc036ce26adb08aa5483,ctls,falcon.netgear.com,,443,https://falcon.netgear.com:443,https,Microsoft-IIS/10.0,text/html,GET,3.216.231.209,/,1631801191,54.237.34.207,Windows Server,11,False,,,True,,,
files-stg.io.netgear.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,cloudfront,80,http://files-stg.io.netgear.com:80,http,CloudFront,text/html,GET,99.86.4.86,/,-981834056,99.86.4.54,Amazon Web Services,20,False,True,,,,,
forums.prosecure.netgear.com,English - NETGEAR Communities,200,246225,community.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,2023-09-23T23:59:59Z,"CN=secure07.lithium.com, O=Khoros\, LLC, L=Austin, ST=Texas, C=US",secure07.lithium.com,community.travelandleisure.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,71ee3692330443d9bb240f1d1239a6fd,cfd476d33f1c0633f8f591a437b49b2187fee522e259e37cb9e41e359a664952,ctls,community.netgear.com,cloudfront,443,https://forums.prosecure.netgear.com:443,https,Apache,text/html,GET,13.32.99.118,/,-1840324437,13.32.99.84,PHP,4017,False,True,"Khoros, LLC",True,True,https://community.netgear.com:443/t5/English/ct-p/English,
fwupdates.netgear.com,Test Page for the Apache HTTP Server,403,3630,fwupdates.netgear.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-30T00:00:00Z,2024-06-27T23:59:59Z,CN=fwupdates.netgear.com,fwupdates.netgear.com,fwupdates.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c3698fecd374242748f6a56ccf04d3c8,759873b76514cd17770b917ec3032f030700cb03461a3ad3d1b0c132f818f567,ctls,fwupdates.netgear.com,,443,https://fwupdates.netgear.com:443,https,Apache/2.4.56 () PHP/7.4.30,text/html,GET,52.20.229.41,/,-780928015,34.200.187.10,PHP:7.4.30,123,False,,,,,,
gearhead.netgear.com,GearHead Support | NETGEAR,200,250625,www.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-19T23:59:59Z,CN=*.netgear.com,*.netgear.com,netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dd660eddded46e447d67e1121e6ec471,b8f64af445e22f2050b15977c959146ed8b961cc919a05cfdff8cc6c2407a89c,ctls,www.netgear.com,cloudfront,443,https://gearhead.netgear.com:443,https,,text/html,GET,13.32.99.101,/,-1955870852,2600:9000:2251:5a00:14:b8b2:c440:93a1,SDL Tridion,3371,False,True,,True,,https://www.netgear.com/home/services/gearhead/,
genieremote-dev.netgear.com,502 Bad Gateway,502,122,genieremote-dev.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-02-09T23:59:59Z,CN=genieremote-dev.netgear.com,genieremote-dev.netgear.com,genieremote-dev.io.netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f0e77a962aacaef0868617c12437acf4,3f38f07a381eced9e1410223f1f7f8d5409ddd47acd34f9801d6f0afbe3b4206,ctls,genieremote-dev.netgear.com,cloudfront,443,https://genieremote-dev.netgear.com:443,https,awselb/2.0,text/html,GET,13.32.99.97,/,590066698,2600:9000:2251:e400:1d:c0e5:a40:93a1,Amazon Web Services,7,False,True,,,,,
genieremote-qa.io.netgear.com,,404,9,genieremote-qa.io.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-29T00:00:00Z,2024-02-27T23:59:59Z,CN=genieremote-qa.netgear.com,genieremote-qa.netgear.com,genieremote-qa.io.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,0066dddf17feaa3bef8a3e6cde1d7074,4a14bf794df763e549780144dd803e8ca4163f88d37239848ff09fb30502834b,ctls,genieremote-qa.io.netgear.com,cloudfront,443,https://genieremote-qa.io.netgear.com:443,https,awselb/2.0,text/plain,GET,52.222.236.79,/,-738705486,2600:9000:223e:200:10:1cc5:cf00:93a1,Amazon Web Services,1,False,True,,,,,
