new,host,ttl,a,cname,soa,status_code,txt,cdn,cdn-name,ns,aaaa,mx,caa
,cdn.syndication.twimg.com,107,151.101.8.159,twimg.twitter.map.fastly.net,"{'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}",NOERROR,,True,fastly,,,,
,cdn.syndication.twitter.com,293,"104.244.42.8, 104.244.42.72, 104.244.42.200, 104.244.42.136",syndication.twitter.com,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,
,ces.twitter.com,600,"104.244.42.67, 104.244.42.3, 104.244.42.195, 104.244.42.131",s.twitter.com,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,
,cf.twimg.com,192,104.244.42.3,s.twitter.com,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044947, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,
,cf.twitter.com,1800,"162.159.140.229, 172.66.0.227",,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,
,cfl.twitter.com,293,"104.244.42.131, 104.244.42.3, 104.244.42.67, 104.244.42.195",s.twitter.com,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044940, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,"b.r06.twtrdns.net, a.r06.twtrdns.net, c.r06.twtrdns.net, d.r06.twtrdns.net, a.u06.twtrdns.net, b.u06.twtrdns.net, c.u06.twtrdns.net, d.u06.twtrdns.net",,,
,cgit.local.twitter.com,3600,,,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,
,cgit.pdxa.twitter.com,3520,,,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,
,charlottesville.twitter.com,293,,s.twitter.com,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,
,cheddar.twitter.com,600,104.244.42.131,s.twitter.com,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,"a.r06.twtrdns.net, a.u06.twtrdns.net, b.r06.twtrdns.net, b.u06.twtrdns.net, c.r06.twtrdns.net, c.u06.twtrdns.net, d.r06.twtrdns.net, d.u06.twtrdns.net",,,
,chirp.twitter.com,300,"104.244.42.195, 104.244.42.3, 104.244.42.67, 104.244.42.131",s.twitter.com,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,"b.r06.twtrdns.net, a.r06.twtrdns.net, c.r06.twtrdns.net, d.r06.twtrdns.net, a.u06.twtrdns.net, b.u06.twtrdns.net, c.u06.twtrdns.net, d.u06.twtrdns.net",,,
,churchilldowns.twitter.com,293,"104.244.42.3, 104.244.42.195, 104.244.42.131, 104.244.42.67",s.twitter.com,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,
,circuitbreaker.twitter.com,293,,s.twitter.com,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,
,claws.twitter.com,293,"104.244.42.195, 104.244.42.67, 104.244.42.131, 104.244.42.3",s.twitter.com,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,
,coachella.twitter.com,293,"104.244.42.3, 104.244.42.67, 104.244.42.195, 104.244.42.131",s.twitter.com,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,
,collector-ops.twitter.com,3600,,,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,
,comiccon.twitter.com,293,104.244.42.67,s.twitter.com,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,
,comicon.twitter.com,293,"104.244.42.195, 104.244.42.67, 104.244.42.131, 104.244.42.3",s.twitter.com,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044940, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,
,communitynotes.twitter.com,293,,s.twitter.com,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044948, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,
,compute-prod-admiral.smf1.twitter.com,3600,,,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,
,compute-prod-anchor.pdxa.twitter.com,3600,,,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,
,compute-prod-truck.pdxa.twitter.com,3600,,,"{'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc\\@twitter.com', 'serial': 2024011501, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}, {'name': 'twitter.com', 'ns': 'a.u06.twtrdns.net', 'mailbox': 'noc.twitter.com', 'serial': 2024044949, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,
