new,host,mx,soa,status_code,a,cname,ns,aaaa,cdn,cdn-name,caa,txt,has_internal_ips,internal_ips
,asiarestweb1a.sing.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiarestweb1b.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiatstweb1.sing.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiatstweb2.sing.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiatstweb3.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,aspissc1.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,aspissn1.sing.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,aspissn2.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,astissc1.sing.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,astissn1.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,auth-dev.lyvecloud.seagate.com,,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.83.103, 104.16.82.103",lyve-dev.us.auth0.com,,"2606:4700::6810:5267, 2606:4700::6810:5367",True,cloudflare,,,,
,auth-sandbox.lyvecloud.seagate.com,,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.83.103, 104.16.82.103",lyve-sandbox.us.auth0.com,,"2606:4700::6810:5367, 2606:4700::6810:5267",True,cloudflare,,,,
,auth.lyve-dev.seagate.com,,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.83.103, 104.16.82.103",lyve-dev-cd-nf4b8bztxlf6mqk5.edge.tenants.us.auth0.com,,"2606:4700::6810:5267, 2606:4700::6810:5367",True,cloudflare,"letsencrypt.org, digicert.com",,,
,auth.lyve-test.seagate.com,,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.83.103, 104.16.82.103",lyve-test-cd-rlahjnvraxuabcfz.edge.tenants.us.auth0.com,,"2606:4700::6810:5267, 2606:4700::6810:5367",True,cloudflare,"letsencrypt.org, digicert.com",,,
