input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,cdn,final_url,csp_domains_
landing.standard.com,Page not Found,200,769,,,,,,,,,,,,,,,,,,,,443,https://landing.standard.com:443,https,Apache,text/html,GET,54.164.12.236,/,1699662630,54.164.12.236,Apache,28,False,,,,http://contentz.mkt51.net/lp/static/notfound.html,
myeoi-connect.cat.standard.com,BenefitXML,200,653,myeoi-connect.cat.standard.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=myeoi-connect.standard.com, O=Standard Insurance Company, L=Portland, ST=Maine, C=US",myeoi-connect.standard.com,Standard Insurance Company,myeoi-connect.cat.standard.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,d8a917d9498192f76254b18c2ccff54c,996699809660106f6ae2efeb11e534ab3f9122085d1433e90742e3c4c6c02a4f,ctls,myeoi-connect.cat.standard.com,443,https://myeoi-connect.cat.standard.com:443,https,Apache/2.4.6 (CentOS),text/html,GET,170.40.179.8,/,1278219700,170.40.179.8,Semantic UI,31,False,,,,,
myeoi-connect.standard.com,BenefitXML,200,653,myeoi-connect.standard.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=myeoi-connect.standard.com, O=Standard Insurance Company, L=Portland, ST=Maine, C=US",myeoi-connect.standard.com,Standard Insurance Company,myeoi-connect.cat.standard.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,d8a917d9498192f76254b18c2ccff54c,996699809660106f6ae2efeb11e534ab3f9122085d1433e90742e3c4c6c02a4f,ctls,myeoi-connect.standard.com,443,https://myeoi-connect.standard.com:443,https,Apache/2.4.6 (CentOS),text/html,GET,170.40.179.14,/,1278219700,170.40.179.14,Semantic UI,31,False,,,,,
newsroom.standard.com,Newsroom | The Standard,200,137727,www.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-10T00:00:00Z,2024-05-10T23:59:59Z,"CN=www.standard.com, O=Standard Insurance Company, L=Portland, ST=Maine, C=US",www.standard.com,Standard Insurance Company,standard.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,d4ccc7637bbe835984c5540c57512150,6a07a49020950d9ba75b3c49d01475bbda88c675d82f5b7f4e065c53dda5fe0c,ctls,www.standard.com,443,https://newsroom.standard.com:443,https,nginx,text/html,GET,52.36.131.229,/,-1851831288,52.36.131.229,Varnish,2143,False,,,,https://www.standard.com/about-standard/newsroom/,
nonprod-api.edp.standard.com,,404,54,nonprod-api.edp.standard.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,,2023-03-14T00:00:00Z,2024-04-13T23:59:59Z,"CN=devtest-api.edp.standard.com, O=Standard Insurance Company, L=Portland, ST=Maine, C=US",devtest-api.edp.standard.com,Standard Insurance Company,nonprod-api.edp.standard.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,992b82fecde6a4dea9827adda8d24433,06c0c20bca52973e0cc69843e1dac46ae2e51fbe80705e0f907fc879a8386cd2,ctls,nonprod-api.edp.standard.com,443,https://nonprod-api.edp.standard.com:443,https,,application/json,GET,104.42.159.152,/,-326256188,104.42.159.152,,1,False,,azure,True,,
portal-emp.standard.com,Login,200,31531,portal-emp.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-09-16T00:00:00Z,2023-10-05T23:59:59Z,"CN=portal-emp.standard.com, O=Standard Insurance Company, L=Portland, ST=Oregon, C=US",portal-emp.standard.com,Standard Insurance Company,portal-mbr.standard.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8f9ce4adc47873dee8ab3a93a1424235,feb78d469a4fbc974f7887857ecbcae3f75749a1b8b5c9961aac0dbfdea45bbc,ctls,portal-emp.standard.com,443,https://portal-emp.standard.com:443,https,Microsoft-IIS/10.0,text/html,GET,23.247.187.74,/,1772087922,23.247.187.74,Windows Server,569,False,,,,,
portal-mbr.standard.com,Log On,200,25449,portal-mbr.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-09-16T00:00:00Z,2023-10-05T23:59:59Z,"CN=portal-mbr.standard.com, O=Standard Insurance Company, L=Portland, ST=Oregon, C=US",portal-mbr.standard.com,Standard Insurance Company,www.portal-mbr.standard.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b5324bbd9e9e2bda360267d408130ee0,f5bef88d84dbc78bc6bf8679dc332612f23806deb159722e68963b5673ce21f7,ctls,portal-mbr.standard.com,443,https://portal-mbr.standard.com:443,https,Microsoft-IIS/10.0,text/html,GET,23.247.187.71,/,150717884,23.247.187.71,Windows Server,441,False,,,,,
psc-demo.standard.com,403 - Forbidden,403,345,psc-demo.standard.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-04-07T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.msft.default.wpc.edgecastcdn.net, O=Edgecast Inc., L=Los Angeles, ST=California, C=US",sni.msft.default.wpc.edgecastcdn.net,Edgecast Inc.,sni.msft.default.wpc.edgecastcdn.net,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,13da0f32953135539b21d7b9675a2bc1,bc23ebe6b1ea3c1daf15c82ecf15677547ca06414d12ae16a0ba8c9da22d9f82,ctls,psc-demo.standard.com,443,https://psc-demo.standard.com:443,https,ECAcc (frc/4C86),text/html,GET,152.199.21.175,/,1839503686,2606:2800:233:1cb7:261b:1f9c:2074:3c,Azure CDN,12,False,,,,,
qr.standard.com,The Standard |,200,143900,standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-10T00:00:00Z,2024-05-10T23:59:59Z,"CN=www.standard.com, O=Standard Insurance Company, L=Portland, ST=Maine, C=US",www.standard.com,Standard Insurance Company,standard.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,d4ccc7637bbe835984c5540c57512150,6a07a49020950d9ba75b3c49d01475bbda88c675d82f5b7f4e065c53dda5fe0c,ctls,standard.com,443,https://qr.standard.com:443,https,nginx,text/html,GET,3.217.93.108,/,-805719372,54.80.59.17,Varnish,2097,False,,,,https://standard.com,
secure-dr.standard.com,,200,315,secure-dr.standard.com,443,True,tls12,TLS_RSA_WITH_AES_128_CBC_SHA,,2022-10-03T00:00:00Z,2023-11-03T23:59:59Z,"CN=secure-dr.standard.com, O=Standard Insurance Company, L=Portland, ST=Oregon, C=US",secure-dr.standard.com,Standard Insurance Company,secure-dr.standard.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c687abe1aeae31f38824dc13f1a66e42,f3a53e355ca760c565325d08c74f69c0b13202873d10fa959329d114c0859c68,ctls,secure-dr.standard.com,443,https://secure-dr.standard.com:443,https,,text/html,GET,198.182.191.10,/,-1840324437,198.182.191.10,HSTS,9,False,,,,,
secure.standard.com,,200,315,secure.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-05-16T00:00:00Z,2023-06-16T23:59:59Z,"CN=secure.standard.com, O=Standard Insurance Company, L=Portland, ST=Oregon, C=US",secure.standard.com,Standard Insurance Company,secure.standard.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,64262123fd2a1de35a7efb22694c7a9b,1140acae611ab898049dd399debd73d5357facff71054c6f7df0594c739d6751,ctls,secure.standard.com,443,https://secure.standard.com:443,https,,text/html,GET,207.189.105.77,/,-1840324437,207.189.105.77,HSTS,9,False,,,,,
securemail-pod.standard.com,Forbidden,403,2200,securemail-pod.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-06-17T00:00:00Z,2023-06-30T23:59:59Z,"CN=securemail-pod.standard.com, O=Standard Insurance Company, L=Portland, ST=Oregon, C=US",securemail-pod.standard.com,Standard Insurance Company,securemail-pod.standard.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,4ca642bbdb6b4d3cda36df08712dfe1a,6d766ac3aa5a9cae354e08e089f2ed0ab17a12aad1235d8a3fa1642926ee6e24,ctls,securemail-pod.standard.com,443,https://securemail-pod.standard.com:443,https,,text/html,GET,67.231.145.103,/,942678640,67.231.145.103,HSTS,98,False,,,,,
sip.standard.com,,404,76,sip.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,True,2023-03-28T19:00:19Z,2024-03-22T19:00:19Z,"CN=sipfed.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",sipfed.online.lync.com,Microsoft Corporation,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,6e32f8be92e2cf4aff781cff883f13f7,c7f7a0fb5d80892059f25bab5abeb7ffbef9ec512abd9475cf96c0bacc21d3c7,ctls,sip.standard.com,443,https://sip.standard.com:443,https,RTC/7.0,text/plain,GET,52.112.192.139,/,-1458593495,2603:1027::b,HSTS,4,False,True,,,,
stancorpcmg.standard.com,,500,,stancorpcmg.standard.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-07-01T00:00:00Z,2023-07-05T23:59:59Z,"CN=StanCorpCMG.standard.com, O=Standard Insurance Company, L=Portland, ST=Oregon, C=US",StanCorpCMG.standard.com,Standard Insurance Company,StanCorpCMG.standard.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,76553274fc684047c024ef5a4f8d039b,8c61a2b2479c6351d7861c7a8a124f5bf95f0efee4fe265c58ead5058df1fba0,ctls,stancorpcmg.standard.com,443,https://stancorpcmg.standard.com:443,https,Microsoft-IIS/10.0,,GET,40.91.84.133,/,-439852658,40.91.84.133,Windows Server,1,False,,azure,True,,
standard.com,The Standard |,200,143900,standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-10T00:00:00Z,2024-05-10T23:59:59Z,"CN=www.standard.com, O=Standard Insurance Company, L=Portland, ST=Maine, C=US",www.standard.com,Standard Insurance Company,standard.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,d4ccc7637bbe835984c5540c57512150,6a07a49020950d9ba75b3c49d01475bbda88c675d82f5b7f4e065c53dda5fe0c,ctls,standard.com,443,https://standard.com:443,https,nginx,text/html,GET,52.36.131.229,/,-49334359,52.36.131.229,Varnish,2097,False,,,,,
storybook.standard.com,Sign in,401,35105,www.chromatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-12T03:17:27Z,2023-08-10T03:17:26Z,CN=www.chromatic.com,www.chromatic.com,,www.chromatic.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3fda36357680377f38f4c3866a75f0b0,50314b15bc2de9f5c9348d4b61f58fe51496b4ecaead6debd9b0fe5a9877d1e4,ctls,www.chromatic.com,443,https://storybook.standard.com:443,https,Cowboy,text/html,GET,34.120.230.5,/,1476945555,34.120.230.5,Heroku,20,False,,google,True,https://www.chromatic.com/login?redirect=https://storybook.standard.com/,wss://nexus-websocket-a.intercom.io
the.standard.com,,404,47,the.standard.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-10T03:16:50Z,2023-07-09T03:16:49Z,CN=the.standard.com,the.standard.com,,the.standard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0cda5612a62822ef12cdb68f9d97fccb,7bfdee7b716b8b92ef036aef7d2b965d2873e3548cd1187880be3fcf06dede61,ctls,the.standard.com,443,https://the.standard.com:443,https,,text/plain,GET,3.69.136.55,/,-1335621053,3.126.202.50,,1,False,,,,,
view.message.standard.com,Error,200,932,view.message.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-08T00:00:00Z,2024-04-07T23:59:59Z,"CN=view.message.standard.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",view.message.standard.com,"Salesforce.com, Inc.",view.message.standard.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,d5cf4c07f149a2e135709180e3182974,2a1c709f16d6ceb6bb75d13e37f7ef4808a7dc290f1d8eda6588d00e9563d717,ctls,view.message.standard.com,443,https://view.message.standard.com:443,https,,text/html,GET,13.111.243.132,/,1631801191,13.111.243.132,HSTS,28,False,,,,https://view.message.standard.com/Error.aspx,
workspace.standard.com,,200,47220,workspace.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-10-13T00:00:00Z,2023-10-13T23:59:59Z,"CN=workspace.standard.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",workspace.standard.com,Microsoft Corporation,workspace.standard.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,41745a534e20e01403f51c1d7a64692b,0b16866354f0e214b85bdc21df6a07c618f144e9984f1875047a9af56b182600,ctls,workspace.standard.com,443,https://workspace.standard.com:443,https,,text/html,GET,13.107.246.45,/,-1840324437,2620:1ec:46::45,HSTS,187,False,,,,https://workspace.standard.com/Citrix/StoreWeb/,https://login.microsoftonline.com/
