new,host,ttl,a,soa,status_code,aaaa,mx,ns,txt,cname,cdn,cdn-name,caa
,firehose.sentiance.com,300,"34.248.170.219, 52.215.73.133, 34.248.168.115","{'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,u1-frontend-tools-1242742034.eu-west-1.elb.amazonaws.com,,,
,frontend-components.sentiance.com,300,"3.161.82.25, 3.161.82.7, 3.161.82.73, 3.161.82.12","{'name': 'dgat1xvasr7w4.cloudfront.net', 'ns': 'ns-1688.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dgat1xvasr7w4.cloudfront.net', 'ns': 'ns-1688.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dgat1xvasr7w4.cloudfront.net', 'ns': 'ns-1688.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,dgat1xvasr7w4.cloudfront.net,True,cloudfront,
,g2.sentiance.com,1800,,"{'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,galactica.b.sentiance.com,300,34.253.43.87,"{'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,graphqldocs.sentiance.com,300,"3.161.82.7, 3.161.82.25, 3.161.82.73, 3.161.82.12","{'name': 'dgat1xvasr7w4.cloudfront.net', 'ns': 'ns-1688.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dgat1xvasr7w4.cloudfront.net', 'ns': 'ns-1688.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dgat1xvasr7w4.cloudfront.net', 'ns': 'ns-1688.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,dgat1xvasr7w4.cloudfront.net,True,cloudfront,
,h11.sentiance.com,1434,,"{'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,heartofgold.b.sentiance.com,300,54.151.206.40,"{'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,i14.sentiance.com,1800,,"{'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,icarus.b.sentiance.com,300,3.13.109.8,"{'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,insights.g2.sentiance.com,300,"54.194.64.110, 52.214.2.240, 52.214.46.247","{'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,g2-frontend-tools-1998528699.eu-west-1.elb.amazonaws.com,,,
,insights.h11.sentiance.com,300,,"{'name': 'ap-southeast-1.elb.amazonaws.com', 'ns': 'ns-1125.awsdns-12.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'ap-southeast-1.elb.amazonaws.com', 'ns': 'ns-1125.awsdns-12.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'ap-southeast-1.elb.amazonaws.com', 'ns': 'ns-1125.awsdns-12.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'ap-southeast-1.elb.amazonaws.com', 'ns': 'ns-1125.awsdns-12.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,h11-frontend-tools-1729262510.ap-southeast-1.elb.amazonaws.com,,,
,insights.i14.sentiance.com,300,"3.14.123.67, 3.142.103.204, 3.135.245.241","{'name': 'us-east-2.elb.amazonaws.com', 'ns': 'ns-1076.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-2.elb.amazonaws.com', 'ns': 'ns-1076.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-2.elb.amazonaws.com', 'ns': 'ns-1076.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,i14-frontend-tools-1945959562.us-east-2.elb.amazonaws.com,,,
,insights.p9.sentiance.com,300,"44.215.165.215, 44.194.92.67, 52.3.163.54","{'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,p9-frontend-tools-302599506.us-east-1.elb.amazonaws.com,,,
,insights.sentiance.com,300,"34.248.170.219, 34.248.168.115, 52.215.73.133","{'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,u1-frontend-tools-1242742034.eu-west-1.elb.amazonaws.com,,,
,jobs.sentiance.com,76,,"{'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,journeys-api.sentiance.com,300,"52.50.17.233, 52.213.244.122","{'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,m12-frontend-api-890305320.eu-west-1.elb.amazonaws.com,,,
,journeys-preprod-api.sentiance.com,300,"54.154.111.252, 52.16.216.191","{'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,m12-frontend-j2-preprod-api-arm-1358159107.eu-west-1.elb.amazonaws.com,,,
,legacy-docs.sentiance.com,300,"104.18.40.47, 172.64.147.209","{'name': 'gitbook.io', 'ns': 'dahlia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354971482, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gitbook.io', 'ns': 'dahlia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354971482, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gitbook.io', 'ns': 'dahlia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354971482, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:4400::6812:282f, 2606:4700:4400::ac40:93d1",,,,d0435da5ad-hosting.gitbook.io,,,"pki.goog, digicert.com, letsencrypt.org"
,m12.sentiance.com,300,,"{'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,mail.sentiance.com,299,,"{'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sentiance.com', 'ns': 'alex.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355374638, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,feedback-smtp.eu-west-1.amazonses.com,,v=spf1 include:amazonses.com ~all,,,,
,mtls-api.h11.sentiance.com,300,13.228.181.57,"{'name': 'elb.ap-southeast-1.amazonaws.com', 'ns': 'ns-448.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.ap-southeast-1.amazonaws.com', 'ns': 'ns-448.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.ap-southeast-1.amazonaws.com', 'ns': 'ns-448.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.ap-southeast-1.amazonaws.com', 'ns': 'ns-448.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.ap-southeast-1.amazonaws.com', 'ns': 'ns-448.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,h11-frontend-api-sec-db0827cad6fd2b58.elb.ap-southeast-1.amazonaws.com,,,
,mtls-preprod-api.sentiance.com,300,54.75.98.171,"{'name': 'elb.eu-west-1.amazonaws.com', 'ns': 'ns-1566.awsdns-03.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.eu-west-1.amazonaws.com', 'ns': 'ns-1566.awsdns-03.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.eu-west-1.amazonaws.com', 'ns': 'ns-1566.awsdns-03.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.eu-west-1.amazonaws.com', 'ns': 'ns-1566.awsdns-03.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,g2-frontend-api-sec-39d5210a256d243b.elb.eu-west-1.amazonaws.com,,,
