input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,favicon,final_url,tls_wildcard_certificate,tls_self_signed,tls_mismatched,tls_subject_org_,csp_domains_,tls_expired
block.ingress.us-east-2.dev.apps.paas.datastax.com,,200,128,block.ingress.us-east-2.dev.apps.paas.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-22T00:00:00Z,2025-09-21T23:59:59Z,CN=block.dev.cloud.datastax.com,block.dev.cloud.datastax.com,block.ingress.us-east-2.dev.apps.paas.datastax.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,dae5453b7e13d5d7ae135e8759769151,55b7d5f4b1dcbc3aaacdad01c5a136af598557201e0b1aca0e35b1a78a4b7c92,ctls,block.ingress.us-east-2.dev.apps.paas.datastax.com,,443,https://block.ingress.us-east-2.dev.apps.paas.datastax.com,https,istio-envoy,application/json,GET,18.218.96.6,/,,3.136.175.51,HSTS,5,False,,nonerror,0,,,,,,,https:,
block.ingress.us-east-2.test.apps.paas.datastax.com,,200,128,block.ingress.us-east-2.test.apps.paas.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-22T00:00:00Z,2025-09-21T23:59:59Z,CN=block.test.cloud.datastax.com,block.test.cloud.datastax.com,block.ingress.us-east-2.test.apps.paas.datastax.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,a5df3146b0ad40b315c42036505873a1,4d957a2d1ba4b216b6d016659722ca14c281fab5b2eb16873ace3b6da769ae96,ctls,block.ingress.us-east-2.test.apps.paas.datastax.com,,443,https://block.ingress.us-east-2.test.apps.paas.datastax.com,https,istio-envoy,application/json,GET,3.12.184.57,/,,18.218.161.42,HSTS,5,False,,nonerror,0,,,,,,,https:,
block.prod.cloud.datastax.com,,503,19,block.prod.cloud.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-09-10T00:00:00Z,2025-10-10T23:59:59Z,CN=block.prod.cloud.datastax.com,block.prod.cloud.datastax.com,astra-block-indexer.ingress.us-east-2.prod.apps.paas.datastax.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,1d6f4ef59937bf9772cde0b6a89400da,aad56a10dd1a2789338838ed5172f09f6cc64ca48dffab177f63f29ff0ddc8c4,ctls,block.prod.cloud.datastax.com,,443,https://block.prod.cloud.datastax.com,https,istio-envoy,text/plain,GET,52.14.112.156,/,/favicon.ico,3.136.75.181,,1,False,,nonerror,0,,,,,,,,
block.test.cloud.datastax.com,,200,128,block.test.cloud.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-22T00:00:00Z,2025-09-21T23:59:59Z,CN=block.test.cloud.datastax.com,block.test.cloud.datastax.com,block.ingress.us-east-2.test.apps.paas.datastax.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,a5df3146b0ad40b315c42036505873a1,4d957a2d1ba4b216b6d016659722ca14c281fab5b2eb16873ace3b6da769ae96,ctls,block.test.cloud.datastax.com,,443,https://block.test.cloud.datastax.com,https,istio-envoy,application/json,GET,3.136.39.84,/,,18.218.161.42,HSTS,5,False,,nonerror,0,,,,,,,https:,
blog.datastax.com,The DataStax Blog | DataStax,200,155336,www.datastax.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-23T14:56:27Z,2025-04-23T14:56:26Z,CN=www.datastax.com,www.datastax.com,www.datastax.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,d79529bd7016687f9b8af9e402da56ed,fb9424053c41998125ec5bb9d0a6650cc3452c82f5fa9ee7c2d44aa93da1dbb3,ctls,www.datastax.com,,443,https://blog.datastax.com,https,Vercel,text/html,GET,96.45.83.47,/,/favicon.ico,96.45.83.224,Webpack,5,False,,other,0,,https://www.datastax.com/blog,,,,,https://prod-assets.sequelvideo.com,
broker.astra.datastax.com,Datastax Astra,200,11753,accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-28T23:59:59Z,CN=cloud-session.prod.cloud.datastax.com,cloud-session.prod.cloud.datastax.com,cloud-session.ingress.us-east-2.prod.apps.paas.datastax.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,58dfdb9415df037e2c13f21566158945,86e71dc7e6282c26ce7484884522596dee83315b8fa8a29d34e7576ef648d555,ctls,accounts.datastax.com,,443,https://broker.astra.datastax.com,https,istio-envoy,text/html,GET,3.134.219.153,/,/favicon.ico,3.138.206.135,Envoy,257,False,,nonerror,0,1566106478,https://accounts.datastax.com/session-service/v1/login,,,,,,
butler-cndb.datastax.com,DataStax - Sign In,200,34819,datastax.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,datastax.okta.com,google,443,https://butler-cndb.datastax.com,https,nginx,text/html,GET,35.245.117.236,/,/bc/image/fileStoreRecord,35.245.117.236,Nginx,220,False,True,nonerror,0,1597580860,https://datastax.okta.com/oauth2/v1/authorize?client_id=0oa1fc9co0iCDTk7u1d8&redirect_uri=https%3A%2F%2Fjenkins-scaler.cloud-tools.datastax.com%2Fauth&response_type=code&scope=openid+email+profile+groups&state=3LtCCa9E3LjNgEziczrtFVAkJa9xki4,True,,,"Okta, Inc.",http://localhost:65111,
c0dashboard.datastax.com,Grafana,200,31237,c0dashboard.datastax.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-31T09:59:50Z,2025-05-01T10:52:43Z,CN=c0dashboard.datastax.com,c0dashboard.datastax.com,c0dashboard.datastax.com,"CN=WR3, O=Google Trust Services, C=US",WR3,Google Trust Services,df11d4e61857a55d707023c4c0d115f1,7ce695d8c41a1e38d8c90e81bbbc5f437eab46ae87c9fd2b4feb8681864abb4d,ctls,c0dashboard.datastax.com,google,443,https://c0dashboard.datastax.com,https,,text/html,GET,34.111.171.241,/,/public/img/fav32.png,34.111.171.241,HTTP/3,212,False,True,nonerror,0,2123863676,https://c0dashboard.datastax.com/login,,,,,,
caas-rest-api.astra.datastax.com,Datastax Astra,200,11753,accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-28T23:59:59Z,CN=cloud-session.prod.cloud.datastax.com,cloud-session.prod.cloud.datastax.com,cloud-session.ingress.us-east-2.prod.apps.paas.datastax.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,58dfdb9415df037e2c13f21566158945,86e71dc7e6282c26ce7484884522596dee83315b8fa8a29d34e7576ef648d555,ctls,accounts.datastax.com,,443,https://caas-rest-api.astra.datastax.com,https,istio-envoy,text/html,GET,3.14.239.21,/,/favicon.ico,3.147.98.50,Envoy,257,False,,nonerror,0,1566106478,https://accounts.datastax.com/session-service/v1/login,,,,,,
caas-rest-api.cloud.datastax.com,Datastax Astra,200,11753,accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-28T23:59:59Z,CN=cloud-session.prod.cloud.datastax.com,cloud-session.prod.cloud.datastax.com,cloud-session.ingress.us-east-2.prod.apps.paas.datastax.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,58dfdb9415df037e2c13f21566158945,86e71dc7e6282c26ce7484884522596dee83315b8fa8a29d34e7576ef648d555,ctls,accounts.datastax.com,,443,https://caas-rest-api.cloud.datastax.com,https,istio-envoy,text/html,GET,3.131.23.51,/,/favicon.ico,3.147.98.50,Envoy,257,False,,nonerror,0,1566106478,https://accounts.datastax.com/session-service/v1/login,,,,,,
caas-rest-api.dev.cloud.datastax.com,Datastax Astra,200,11768,dev.accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-27T00:00:00Z,2025-09-26T23:59:59Z,CN=cloud-session.dev.cloud.datastax.com,cloud-session.dev.cloud.datastax.com,dev.accounts.datastax.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,496bf159a09d09ec49545e4d2ca80108,8ba728a47398810f9d6ae0124162995221c5432b6357979e510d89bf79043094,ctls,dev.accounts.datastax.com,,443,https://caas-rest-api.dev.cloud.datastax.com,https,istio-envoy,text/html,GET,18.220.199.228,/,/favicon.ico,18.117.43.128,Envoy,256,False,,nonerror,0,1566106478,https://dev.accounts.datastax.com/session-service/v1/login,,,,,,
caas-rest-api.prod.cloud.datastax.com,Datastax Astra,200,11753,accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-28T23:59:59Z,CN=cloud-session.prod.cloud.datastax.com,cloud-session.prod.cloud.datastax.com,cloud-session.ingress.us-east-2.prod.apps.paas.datastax.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,58dfdb9415df037e2c13f21566158945,86e71dc7e6282c26ce7484884522596dee83315b8fa8a29d34e7576ef648d555,ctls,accounts.datastax.com,,443,https://caas-rest-api.prod.cloud.datastax.com,https,istio-envoy,text/html,GET,3.14.239.21,/,/favicon.ico,3.131.23.51,Envoy,257,False,,nonerror,0,1566106478,https://accounts.datastax.com/session-service/v1/login,,,,,,
cal.datastax.com,Sign in - Google Accounts,200,1414,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:37:23Z,2025-04-21T08:37:22Z,CN=www.google.com,www.google.com,www.google.com,"CN=WE2, O=Google Trust Services, C=US",WE2,Google Trust Services,63f15ff9f2f55a05b138cb99273c3b11,5991b59e9a9d39dbaa87cdd0426f5057bf81f7c19f09d75eabb9729cb4098082,ctls,www.google.com,,443,https://cal.datastax.com,https,GSE,text/html,GET,96.45.82.212,/,/favicon.ico,96.45.82.5,OpenGSE,32,False,,nonerror,0,,https://www.google.com/a/datastax.com/ServiceLogin?service=cl&continue=https://calendar.google.com/calendar/&followup=https://calendar.google.com/calendar/&osid=1&passive=1209600,,,,,url=https://www.google.com/accounts/AccountChooser?hd=datastax.com&continue=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&followup=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&osid=1&service=cl,
calendar.datastax.com,Sign in - Google Accounts,200,1414,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:37:23Z,2025-04-21T08:37:22Z,CN=www.google.com,www.google.com,www.google.com,"CN=WE2, O=Google Trust Services, C=US",WE2,Google Trust Services,63f15ff9f2f55a05b138cb99273c3b11,5991b59e9a9d39dbaa87cdd0426f5057bf81f7c19f09d75eabb9729cb4098082,ctls,www.google.com,,443,https://calendar.datastax.com,https,GSE,text/html,GET,96.45.82.212,/,/favicon.ico,96.45.83.47,OpenGSE,32,False,,nonerror,0,,https://www.google.com/a/datastax.com/ServiceLogin?service=cl&continue=https://calendar.google.com/calendar/&followup=https://calendar.google.com/calendar/&osid=1&passive=1209600,,,,,url=https://www.google.com/accounts/AccountChooser?hd=datastax.com&continue=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&followup=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&osid=1&service=cl,
cftest.security.datastax.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,cloudfront,80,http://cftest.security.datastax.com,http,CloudFront,text/html,GET,52.85.92.21,/,/favicon.ico,52.85.92.36,Amazon Web Services,20,False,True,error,0,,,,,,,,
cla.datastax.com,DataStax Contribution License Agreement,200,2414,cla.datastax.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-12T00:10:08Z,2025-04-12T00:10:07Z,CN=cla.datastax.com,cla.datastax.com,cla.datastax.com,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,fb9c926488afaf489152b64c148aa985,96ae867365e4e39dbd840dbacb4762322b354f16fc61377c8359c8d7e6de5d1f,ctls,cla.datastax.com,,443,https://cla.datastax.com,https,Cowboy,text/html,GET,3.33.241.96,/,/favicon.ico,76.223.57.73,Heroku,67,False,,nonerror,0,-613393722,,,,,,,
cloud-feature-manager.cloud.datastax.com,Datastax Astra,200,11753,accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-28T23:59:59Z,CN=cloud-session.prod.cloud.datastax.com,cloud-session.prod.cloud.datastax.com,cloud-session.ingress.us-east-2.prod.apps.paas.datastax.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,58dfdb9415df037e2c13f21566158945,86e71dc7e6282c26ce7484884522596dee83315b8fa8a29d34e7576ef648d555,ctls,accounts.datastax.com,,443,https://cloud-feature-manager.cloud.datastax.com,https,istio-envoy,text/html,GET,3.143.48.10,/,/favicon.ico,3.134.14.20,Envoy,257,False,,nonerror,0,1566106478,https://accounts.datastax.com/session-service/v1/login,,,,,,
cloud-feature-manager.ingress.us-east-2.prod.apps.paas.datastax.com,Datastax Astra,200,11753,accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-28T23:59:59Z,CN=cloud-session.prod.cloud.datastax.com,cloud-session.prod.cloud.datastax.com,cloud-session.ingress.us-east-2.prod.apps.paas.datastax.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,58dfdb9415df037e2c13f21566158945,86e71dc7e6282c26ce7484884522596dee83315b8fa8a29d34e7576ef648d555,ctls,accounts.datastax.com,,443,https://cloud-feature-manager.ingress.us-east-2.prod.apps.paas.datastax.com,https,istio-envoy,text/html,GET,3.134.14.20,/,/favicon.ico,3.143.48.10,Envoy,257,False,,nonerror,0,1566106478,https://accounts.datastax.com/session-service/v1/login,,,,,,
cloud-feature-manager.ingress.us-east-2.test.apps.paas.datastax.com,Datastax Astra,200,11768,dev.accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-27T00:00:00Z,2025-09-26T23:59:59Z,CN=cloud-session.dev.cloud.datastax.com,cloud-session.dev.cloud.datastax.com,dev.accounts.datastax.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,496bf159a09d09ec49545e4d2ca80108,8ba728a47398810f9d6ae0124162995221c5432b6357979e510d89bf79043094,ctls,dev.accounts.datastax.com,,443,https://cloud-feature-manager.ingress.us-east-2.test.apps.paas.datastax.com,https,istio-envoy,text/html,GET,3.132.234.211,/,/favicon.ico,3.133.163.191,Envoy,256,False,,nonerror,0,1566106478,https://dev.accounts.datastax.com/session-service/v1/login,,,,,,
cloud-feature-manager.test.cloud.datastax.com,Datastax Astra,200,11768,dev.accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-27T00:00:00Z,2025-09-26T23:59:59Z,CN=cloud-session.dev.cloud.datastax.com,cloud-session.dev.cloud.datastax.com,dev.accounts.datastax.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,496bf159a09d09ec49545e4d2ca80108,8ba728a47398810f9d6ae0124162995221c5432b6357979e510d89bf79043094,ctls,dev.accounts.datastax.com,,443,https://cloud-feature-manager.test.cloud.datastax.com,https,istio-envoy,text/html,GET,3.18.153.222,/,/favicon.ico,3.132.234.211,Envoy,256,False,,nonerror,0,1566106478,https://dev.accounts.datastax.com/session-service/v1/login,,,,,,
cloud-platform.ingress.us-east-2.nonprod.auth.paas.datastax.com,Datastax Astra,200,11768,dev.accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-27T00:00:00Z,2025-09-26T23:59:59Z,CN=cloud-session.dev.cloud.datastax.com,cloud-session.dev.cloud.datastax.com,dev.accounts.datastax.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,496bf159a09d09ec49545e4d2ca80108,8ba728a47398810f9d6ae0124162995221c5432b6357979e510d89bf79043094,ctls,dev.accounts.datastax.com,,443,https://cloud-platform.ingress.us-east-2.nonprod.auth.paas.datastax.com,https,istio-envoy,text/html,GET,3.19.186.64,/,/favicon.ico,18.189.136.136,Envoy,256,False,,nonerror,0,1566106478,https://dev.accounts.datastax.com/session-service/v1/login,,,,,,
cloud-platform.ingress.us-east-2.prod.auth.paas.datastax.com,Datastax Astra,200,11753,accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-28T23:59:59Z,CN=cloud-session.prod.cloud.datastax.com,cloud-session.prod.cloud.datastax.com,cloud-session.ingress.us-east-2.prod.apps.paas.datastax.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,58dfdb9415df037e2c13f21566158945,86e71dc7e6282c26ce7484884522596dee83315b8fa8a29d34e7576ef648d555,ctls,accounts.datastax.com,,443,https://cloud-platform.ingress.us-east-2.prod.auth.paas.datastax.com,https,istio-envoy,text/html,GET,18.219.212.43,/,/favicon.ico,52.14.179.34,Envoy,257,False,,nonerror,0,1566106478,https://accounts.datastax.com/session-service/v1/login,,,,,,
cloud-session-v1.ingress.us-east-2.dev.apps.paas.datastax.com,Datastax Astra,200,11768,dev.accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-27T00:00:00Z,2025-09-26T23:59:59Z,CN=cloud-session.dev.cloud.datastax.com,cloud-session.dev.cloud.datastax.com,dev.accounts.datastax.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,496bf159a09d09ec49545e4d2ca80108,8ba728a47398810f9d6ae0124162995221c5432b6357979e510d89bf79043094,ctls,dev.accounts.datastax.com,,443,https://cloud-session-v1.ingress.us-east-2.dev.apps.paas.datastax.com,https,istio-envoy,text/html,GET,18.223.217.3,/,/favicon.ico,18.219.252.32,Envoy,256,False,,nonerror,0,1566106478,https://dev.accounts.datastax.com/session-service/v1/login,,,,,,
cloud-session.dev.cloud.datastax.com,Datastax Astra,200,11768,dev.accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-27T00:00:00Z,2025-09-26T23:59:59Z,CN=cloud-session.dev.cloud.datastax.com,cloud-session.dev.cloud.datastax.com,dev.accounts.datastax.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,496bf159a09d09ec49545e4d2ca80108,8ba728a47398810f9d6ae0124162995221c5432b6357979e510d89bf79043094,ctls,dev.accounts.datastax.com,,443,https://cloud-session.dev.cloud.datastax.com,https,istio-envoy,text/html,GET,3.12.70.119,/,/favicon.ico,18.224.86.220,Envoy,256,False,,nonerror,0,1566106478,https://dev.accounts.datastax.com/session-service/v1/login,,,,,,
cloud-session.ingress.us-east-2.dev.apps.paas.datastax.com,Datastax Astra,200,11768,dev.accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-27T00:00:00Z,2025-09-26T23:59:59Z,CN=cloud-session.dev.cloud.datastax.com,cloud-session.dev.cloud.datastax.com,dev.accounts.datastax.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,496bf159a09d09ec49545e4d2ca80108,8ba728a47398810f9d6ae0124162995221c5432b6357979e510d89bf79043094,ctls,dev.accounts.datastax.com,,443,https://cloud-session.ingress.us-east-2.dev.apps.paas.datastax.com,https,istio-envoy,text/html,GET,3.12.70.119,/,/favicon.ico,3.12.54.30,Envoy,256,False,,nonerror,0,1566106478,https://dev.accounts.datastax.com/session-service/v1/login,,,,,,
cloud-session.ingress.us-east-2.feat.apps.paas.datastax.com,Datastax Astra,200,11768,dev.accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-27T00:00:00Z,2025-09-26T23:59:59Z,CN=cloud-session.dev.cloud.datastax.com,cloud-session.dev.cloud.datastax.com,dev.accounts.datastax.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,496bf159a09d09ec49545e4d2ca80108,8ba728a47398810f9d6ae0124162995221c5432b6357979e510d89bf79043094,ctls,dev.accounts.datastax.com,,443,https://cloud-session.ingress.us-east-2.feat.apps.paas.datastax.com,https,istio-envoy,text/html,GET,3.12.119.104,/,/favicon.ico,18.217.192.21,Envoy,256,False,,nonerror,0,1566106478,https://dev.accounts.datastax.com/session-service/v1/login,,,,,,
cloud-session.ingress.us-east-2.prod.apps.paas.datastax.com,,404,,cloud-session.ingress.us-east-2.prod.apps.paas.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-28T23:59:59Z,CN=cloud-session.prod.cloud.datastax.com,cloud-session.prod.cloud.datastax.com,cloud-session.ingress.us-east-2.prod.apps.paas.datastax.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,58dfdb9415df037e2c13f21566158945,86e71dc7e6282c26ce7484884522596dee83315b8fa8a29d34e7576ef648d555,ctls,cloud-session.ingress.us-east-2.prod.apps.paas.datastax.com,,443,https://cloud-session.ingress.us-east-2.prod.apps.paas.datastax.com,https,istio-envoy,,GET,3.143.192.70,/,/favicon.ico,3.136.74.16,,1,False,,other,0,,,,,,,,
cloud-session.ingress.us-east-2.test.apps.paas.datastax.com,Datastax Astra,200,11784,test.accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-07-04T00:00:00Z,2025-08-03T23:59:59Z,CN=cloud-session.ingress.us-east-2.test.apps.paas.datastax.com,cloud-session.ingress.us-east-2.test.apps.paas.datastax.com,cloud-session.test.cloud.datastax.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,8876d6bc41d822a08544924ba61663cf,c246a41e69e0dc321d5ba41bf4c106e15d487b816362167df360a664362e8a69,ctls,test.accounts.datastax.com,,443,https://cloud-session.ingress.us-east-2.test.apps.paas.datastax.com,https,istio-envoy,text/html,GET,3.138.70.83,/,/favicon.ico,18.116.183.43,Envoy,257,False,,nonerror,0,1566106478,https://test.accounts.datastax.com/session-service/v1/login,,,,,,
cloud-session.prod.cloud.datastax.com,,404,,cloud-session.prod.cloud.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-28T23:59:59Z,CN=cloud-session.prod.cloud.datastax.com,cloud-session.prod.cloud.datastax.com,cloud-session.ingress.us-east-2.prod.apps.paas.datastax.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,58dfdb9415df037e2c13f21566158945,86e71dc7e6282c26ce7484884522596dee83315b8fa8a29d34e7576ef648d555,ctls,cloud-session.prod.cloud.datastax.com,,443,https://cloud-session.prod.cloud.datastax.com,https,istio-envoy,,GET,3.136.74.16,/,/favicon.ico,18.190.42.209,,1,False,,other,0,,,,,,,,
cloud-session.test.cloud.datastax.com,Datastax Astra,200,11784,test.accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-07-04T00:00:00Z,2025-08-03T23:59:59Z,CN=cloud-session.ingress.us-east-2.test.apps.paas.datastax.com,cloud-session.ingress.us-east-2.test.apps.paas.datastax.com,cloud-session.test.cloud.datastax.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,8876d6bc41d822a08544924ba61663cf,c246a41e69e0dc321d5ba41bf4c106e15d487b816362167df360a664362e8a69,ctls,test.accounts.datastax.com,,443,https://cloud-session.test.cloud.datastax.com,https,istio-envoy,text/html,GET,18.116.183.43,/,/favicon.ico,3.15.103.15,Envoy,257,False,,nonerror,0,1566106478,https://test.accounts.datastax.com/session-service/v1/login,,,,,,
cloud-user-events.dev.cloud.datastax.com,,503,,cloud-user-events.dev.cloud.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-07-07T00:00:00Z,2025-08-05T23:59:59Z,CN=cloud-user-events.dev.cloud.datastax.com,cloud-user-events.dev.cloud.datastax.com,cloud-user-events.ingress.us-east-2.dev.apps.paas.datastax.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,42380e35c23fefb43298703966752e7b,44803bb9aad9fd3ff288490d00ae49b2e68b07e3fce585d76276b08e0f90f7f0,ctls,cloud-user-events.dev.cloud.datastax.com,,443,https://cloud-user-events.dev.cloud.datastax.com,https,,,GET,3.136.12.40,/,/favicon.ico,3.130.247.138,,1,False,,other,0,,,,,,,,
cloud-user-events.ingress.us-east-2.dev.apps.paas.datastax.com,,503,,cloud-user-events.ingress.us-east-2.dev.apps.paas.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-07-07T00:00:00Z,2025-08-05T23:59:59Z,CN=cloud-user-events.dev.cloud.datastax.com,cloud-user-events.dev.cloud.datastax.com,cloud-user-events.ingress.us-east-2.dev.apps.paas.datastax.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,42380e35c23fefb43298703966752e7b,44803bb9aad9fd3ff288490d00ae49b2e68b07e3fce585d76276b08e0f90f7f0,ctls,cloud-user-events.ingress.us-east-2.dev.apps.paas.datastax.com,,443,https://cloud-user-events.ingress.us-east-2.dev.apps.paas.datastax.com,https,,,GET,3.130.247.138,/,/favicon.ico,18.118.80.190,,1,False,,other,0,,,,,,,,
