new,host,soa,status_code,a,txt,ns,aaaa,cname,cdn,cdn-name,has_internal_ips,internal_ips,caa,mx
,syseng-sandbox-aws.zegocover.com,"ns-1455.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-292.awsdns-36.com, ns-673.awsdns-20.net, ns-1455.awsdns-53.org, ns-1867.awsdns-41.co.uk",,,,,,,,
,syseng-sandbox.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,tax.production-aws.zegocover.com,"ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"172.16.16.248, 172.16.22.227, 172.16.24.118","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/tax/tax",,,,,,True,"172.16.16.248, 172.16.22.227, 172.16.24.118",,
,tax.staging-aws.zegocover.com,"ns-1999.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"172.16.58.36, 172.16.51.88, 172.16.54.166","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/tax/tax",,,,,,True,"172.16.58.36, 172.16.51.88, 172.16.54.166",,
,telematics-main-api.production-aws.zegocover.com,"ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"54.217.229.142, 34.242.23.191, 54.155.101.116","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/telematics-main-api/telematics-main-api",,,,,,,,,
,telematics-main-api.staging-aws.zegocover.com,"ns-1999.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"52.31.77.6, 18.200.217.183, 3.248.54.158","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/telematics-main-api/telematics-main-api","ns-1187.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-497.awsdns-62.com, ns-900.awsdns-48.net",,,,,,,,
,v-kithub7f.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,v3.api.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.66.43.90, 172.66.40.166",,,"2606:4700:3108::ac42:2b5a, 2606:4700:3108::ac42:28a6",,True,cloudflare,,,,
,vehicles.integrations-aws.zegocover.com,"ns-1539.awsdns-00.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"172.30.14.210, 172.30.16.236, 172.30.21.135","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/vehicles/vehicles",,,,,,True,"172.30.14.210, 172.30.16.236, 172.30.21.135",,
,vehicles.production-aws.zegocover.com,"ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"172.16.22.227, 172.16.24.118, 172.16.16.248","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/vehicles/vehicles",,,,,,True,"172.16.22.227, 172.16.24.118, 172.16.16.248",,
,website.integrations-aws.zegocover.com,"ns-1539.awsdns-00.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"34.254.136.96, 54.217.84.205, 54.73.99.198","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/website/website",,,,,,,,,
,website.staging-aws.zegocover.com,"ns-1999.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"52.31.61.209, 54.194.193.252, 52.212.167.205",,,,,,,,,,
,www.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.66.43.90, 172.66.40.166",,,"2606:4700:3108::ac42:2b5a, 2606:4700:3108::ac42:28a6",,True,cloudflare,,,,
,www.zegocover.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.15.10, 104.18.14.10",,,"2606:4700::6812:f0a, 2606:4700::6812:e0a",,True,cloudflare,,,,
,zego-qa-b2b-484-uw-mandatory.qa-aws.zegocover.com,,NOERROR,,,,,,,,,,,
,zego-qa-b2b-552-four-decimals-produc.qa-aws.zegocover.com,,NOERROR,,,,,,,,,,,
,zendesk1.zego.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,"162.159.138.6, 162.159.128.7, 34.235.62.90, 3.213.143.227, 184.72.174.126",v=spf1 include:_netblocks.zdsys.com ~all,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net",,mail1.zendesk.com,True,cloudflare,,,,mail.zendesk.com
,zendesk2.zego.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,"162.159.138.6, 162.159.128.7",v=spf1 include:_netblocks.zdsys.com ~all,,,mail2.zendesk.com,True,cloudflare,,,,mail.zendesk.com
,zendesk3.zego.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,"162.159.138.6, 162.159.128.7",v=spf1 include:_netblocks.zdsys.com ~all,,,mail3.zendesk.com,True,cloudflare,,,,mail.zendesk.com
,zendesk3.zegocover.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,"162.159.138.6, 162.159.128.7",v=spf1 include:_netblocks.zdsys.com ~all,,,mail3.zendesk.com,True,cloudflare,,,,mail.zendesk.com
,zendesk4.zego.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,"162.159.138.6, 162.159.128.7",v=spf1 include:_netblocks.zdsys.com ~all,,,mail4.zendesk.com,True,cloudflare,,,,mail.zendesk.com
