new,host,a,soa,status_code,cname,cdn,cdn-name,txt,ns,aaaa,mx,caa
[x],swiftui.informatica.com,65.2.135.131,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],sy-sbc1.informatica.com,220.244.53.102,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],sygw.informatica.com,220.244.53.102,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],syvpn.informatica.com,59.167.230.45,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],ta-sbc1.informatica.com,31.168.99.196,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],tagw.informatica.com,31.168.99.194,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],taxap.informatica.com,198.202.141.128,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],test-www.informatica.com,"2.16.107.176, 2.16.107.169","n0b.akamai.net, hostmaster.akamai.com",NOERROR,"www.informatica.com.edgesuite.net, a983.b.akamai.net",,,,,,,
[x],testradar.informatica.com,54.144.128.85,,NOERROR,,,,,,,,
[x],tkgw.informatica.com,122.208.201.74,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],tr2.informatica.com,198.202.141.84,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],tr3.informatica.com,198.202.141.84,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],tr4.informatica.com,198.202.141.84,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],tradeshows.informatica.com,209.240.81.184,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,v=spf1 include:spf.protection.outlook.com -all,,,,
[x],training.informatica.com,198.202.141.84,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,v=spf1 include:spf.protection.outlook.com -all,,,,
[x],trainingandevents.informatica.com,,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],trust.informatica.com,198.202.141.157,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,wwwmicrolb.informatica.com,,,v=spf1 include:spf.protection.outlook.com -all,,,,
[x],ts-sbc1.informatica.com,184.94.42.35,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],tw.informatica.com,198.202.141.157,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,wwwmicrolb.informatica.com,,,v=spf1 include:spf.protection.outlook.com -all,,,,
[x],uk1-apigw.dm-uk.informaticacloud.com,"18.171.17.29, 35.179.53.195","ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,apigw-alb-prod-uk1-501918780.eu-west-2.elb.amazonaws.com,,,,,,,
[x],uk1-apim.dm-uk.informaticacloud.com,"18.169.22.47, 3.9.126.216","ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,apim-alb-prod-uk1-1184768913.eu-west-2.elb.amazonaws.com,,,,,,,
[x],uk1-b2bgw.dm-uk.informaticacloud.com,"18.134.32.0, 3.9.30.196","ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,b2b-prod-alb-uk1-2101008341.eu-west-2.elb.amazonaws.com,,,,,,,
[x],uk1-cai.dm-uk.informaticacloud.com,"18.135.175.198, 18.168.142.94, 35.177.137.156","ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,cai-prod-uk1-ext-alb-652283828.eu-west-2.elb.amazonaws.com,,,,,,,
[x],uk1-cih.dm-uk.informaticacloud.com,"18.134.105.240, 18.135.108.164","ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,b2bcih-prod-uk1-1164491143.eu-west-2.elb.amazonaws.com,,,,,,,
[x],uk1-dqprofile.dm-uk.informaticacloud.com,"18.169.108.2, 3.10.248.34, 18.134.112.115","ns-608.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,dqprofiling-pext-nlb-uk1-e12e5eed1f14f352.elb.eu-west-2.amazonaws.com,,,,"ns-1175.awsdns-18.org, ns-185.awsdns-23.com, ns-1891.awsdns-44.co.uk, ns-608.awsdns-12.net",,,
[x],uk1-ing.dm-uk.informaticacloud.com,"3.11.124.208, 18.135.197.145, 18.168.64.72","ns-608.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,ae77a55cdf21f4ec0800057931557247-9238c45261c38cf2.elb.eu-west-2.amazonaws.com,,,,,,,
[x],uk1-mdm.dm-uk.informaticacloud.com,"3.11.10.116, 18.168.1.206, 18.133.214.119","ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,a2853a22e462f4e538adbdd3b90df21c-895119699.eu-west-2.elb.amazonaws.com,,,,"ns-1198.awsdns-21.org, ns-159.awsdns-19.com, ns-1934.awsdns-49.co.uk, ns-654.awsdns-17.net",,,
[x],uk1-opsinsights.dm-uk.informaticacloud.com,"18.170.122.98, 35.178.34.150","ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,opsinsight-prod-ext-uk-alb-1024776932.eu-west-2.elb.amazonaws.com,,,,,,,
[x],uk1-sfdc-cai.dm-uk.informaticacloud.com,"18.168.142.94, 35.177.137.156, 18.135.175.198","ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,"uk1-cai.dm-uk.informaticacloud.com, cai-prod-uk1-ext-alb-652283828.eu-west-2.elb.amazonaws.com",,,,,,,
[x],uk1.dm-uk.informaticacloud.com,"75.2.41.109, 99.83.185.234","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,ab274cd1c4221d958.awsglobalaccelerator.com,,,,"ns-1484.awsdns-57.org, ns-1949.awsdns-51.co.uk, ns-409.awsdns-51.com, ns-609.awsdns-12.net",,,
[x],ukremote-jvm.informatica.com,195.238.249.33,,NOERROR,,,,,,,,
[x],um.informatica.com,66.166.64.125,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,v=spf1 include:spf.protection.outlook.com -all,,,,
[x],use1-b2bgw.deloitteextract.informaticacloud.com,,,NOERROR,,,,,,,,
[x],use1-cai.dm-ford-us.informaticacloud.com,"54.161.169.88, 52.3.96.22, 3.229.26.84","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,cai-prod-ford-use1-ext-alb-1509475605.us-east-1.elb.amazonaws.com,,,,,,,
[x],use1-ing.deloitteextract.informaticacloud.com,"107.22.189.33, 35.171.168.80, 34.224.182.165","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,a54136cf5a0be427d92857dee00ad400-38a0198a70f29b0a.elb.us-east-1.amazonaws.com,,,,,,,
[x],use1-ing.sbdeloitteextract.informaticacloud.com,"3.217.9.160, 54.83.161.244, 34.228.154.14","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,ab09ae854fef14ce5af35b988636c48e-00839042b067d271.elb.us-east-1.amazonaws.com,,,,,,,
[x],use1-sfdc-cai.dm-ford-us.informaticacloud.com,"54.161.169.88, 3.229.26.84, 52.3.96.22","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"use1-cai.dm-ford-us.informaticacloud.com, cai-prod-ford-use1-ext-alb-1509475605.us-east-1.elb.amazonaws.com",,,,,,,
[x],use1-testing.sbdeloitteextract.informaticacloud.com,,,NOERROR,,,,,,,,
[x],use1.deloitteextract.informaticacloud.com,"15.197.163.123, 3.33.184.243","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,afd5bf31b666a0797.awsglobalaccelerator.com,,,,,,,
[x],use1.dm-ford-us.informaticacloud.com,"35.71.149.198, 52.223.62.106","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,a3ab4ba0b20f32043.awsglobalaccelerator.com,,,,,,,
[x],use1.sbdeloitteextract.informaticacloud.com,"15.197.211.103, 3.33.237.248","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,a418298449b98e67b.awsglobalaccelerator.com,,,,,,,
[x],use1.sdeloitteextract.informaticacloud.com,,,NOERROR,,,,,,,,
[x],use2-b2bgw.dm-us.informaticacloud.com,"54.86.52.118, 34.204.161.26, 52.2.235.175","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,b2b-gw-alb-prod-use2-1170490921.us-east-1.elb.amazonaws.com,,,,,,,
[x],use2-cai-sfdc.dm-staging.informaticacloud.com,,,NOERROR,,,,,,,,
[x],use2-opsinsights.dm-us.informaticacloud.com,"54.152.190.130, 54.209.4.20","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,opsinsight-alb-prod-ext-use-2008851321.us-east-1.elb.amazonaws.com,,,,,,,
[x],use4-apigw.dm-us.informaticacloud.com,"54.86.218.92, 54.84.103.246","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,apigw-prod-pod4-worker-39657809.us-east-1.elb.amazonaws.com,,,,,,,
[x],use4-apim.dm-us.informaticacloud.com,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,apim-prod-pod4-manager-1960767191.us-east-1.elb.amazonaws.com,,,,,,,
[x],use4-b2bgw.dm-us.informaticacloud.com,"18.210.178.182, 18.232.249.133","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,b2b-gw-alb-prod-use4-258306072.us-east-1.elb.amazonaws.com,,,,,,,
[x],use4-cai.dm-us.informaticacloud.com,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,cai-prod-use4-ext-alb-324709678.us-east-1.elb.amazonaws.com,,,,,,,
[x],use4-cih.dm-us.informaticacloud.com,"34.200.141.83, 34.230.167.212","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,b2bcih-us-east1-prod-pod4-321038879.us-east-1.elb.amazonaws.com,,,,,,,
[x],use4-dqcloud.dm-us.informaticacloud.com,"3.95.143.72, 3.225.131.209","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,dqcloud-ext-nlb-use4-5195053592aa8199.elb.us-east-1.amazonaws.com,,,,,,,
[x],use4-dqprofile.dm-us.informaticacloud.com,"54.152.180.254, 50.19.5.68","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,dqprofiling-pext-nlb-use4-e009aa197a18d91a.elb.us-east-1.amazonaws.com,,,,,,,
[x],use4-ias.dm-us.informaticacloud.com,"52.86.186.232, 18.214.158.237","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,ias-prod-use4-ext-elb-710949073.us-east-1.elb.amazonaws.com,,,,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net, ns-1011.awsdns-62.net, ns-1411.awsdns-48.org, ns-1708.awsdns-21.co.uk, ns-349.awsdns-43.com",,,
[x],use4-ing.dm-us.informaticacloud.com,,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,a2ee9200825214af3963b64858433f07-e8baeea19bc5aadd.elb.us-east-1.amazonaws.com,,,,,,,
[x],use4-mdm.dmp-us.informaticacloud.com,54.144.128.85,,NOERROR,,,,,,,,
[x],use4-opsinsights.dm-us.informaticacloud.com,"54.152.190.130, 54.209.4.20","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,opsinsight-alb-prod-ext-use-2008851321.us-east-1.elb.amazonaws.com,,,,,,,
[x],use4-sfdc-cai.dm-us.informaticacloud.com,"54.85.254.111, 18.210.136.240, 52.203.197.188","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"use4-cai.dm-us.informaticacloud.com, cai-prod-use4-ext-alb-324709678.us-east-1.elb.amazonaws.com",,,,,,,
[x],use4.dm-us.informaticacloud.com,"52.223.31.82, 35.71.188.218","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,a86c18b51dcdbeabc.awsglobalaccelerator.com,,,,,,,
