new,host,a,cname,soa,status_code,ns,has_internal_ips,internal_ips,aaaa,txt,mx,caa
,data-service-api.connect.epm-plx.projects.epam.com,20.54.193.40,,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,"\""heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/awc-prod/cm-acme-http-solver-f8z5h\""",,
,datalab-ssn.epm-mtch.projects.epam.com,34.79.139.201,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,
,delivery.aws.main.edp.projects.epam.com,10.0.200.29,,"ns-356.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,,True,10.0.200.29,,,,
,delivery.epam.com,"104.18.10.75, 104.18.11.75",delivery.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:a4b, 2606:4700::6812:b4b",,,
,demo-authoring.hca.azure.epmc-stc.projects.epam.com,10.74.5.68,,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,True,10.74.5.68,,,,
,demo-bizfx.hca.azure.epmc-stc.projects.epam.com,10.74.5.68,,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,True,10.74.5.68,,,,
,demo-cd.hca.azure.epmc-stc.projects.epam.com,10.74.5.68,,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,True,10.74.5.68,,,,
,demo-cm.hca.azure.epmc-stc.projects.epam.com,10.74.5.68,,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,True,10.74.5.68,,,,
,demo-identity.hca.azure.epmc-stc.projects.epam.com,10.74.5.68,,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,True,10.74.5.68,,,,
,demo-interview.epam.com,"104.18.13.91, 104.18.12.91",demo-interview.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c5b, 2606:4700::6812:d5b",,,
,demo-minions.hca.azure.epmc-stc.projects.epam.com,10.74.5.68,,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,True,10.74.5.68,,,,
,demo-shops.hca.azure.epmc-stc.projects.epam.com,10.74.5.68,,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,True,10.74.5.68,,,,
,demo.dev.epm-scld.projects.epam.com,"18.161.97.124, 18.161.97.24, 18.161.97.11, 18.161.97.112",,"ns-716.awsdns-25.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-716.awsdns-25.net, ns-1091.awsdns-08.org, ns-6.awsdns-00.com, ns-1766.awsdns-28.co.uk",,,,,,
,demo.docs.epam.com,"104.18.21.196, 104.18.20.196",demo.docs.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:14c4, 2606:4700::6812:15c4",,,
,demo.knim-web1.projects.epam.com,91.120.43.74,ecsb001018af.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,demo.lab.epam.com,"104.18.12.91, 104.18.13.91",demo.lab.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c5b, 2606:4700::6812:d5b",,,
,demo.stage.epm-scld.projects.epam.com,"18.161.111.66, 18.161.111.37, 18.161.111.112, 18.161.111.87",,"ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1177.awsdns-19.org, ns-1677.awsdns-17.co.uk, ns-446.awsdns-55.com, ns-609.awsdns-12.net",,,,,,
,demo.telescope.epam.com,"104.18.9.77, 104.18.8.77",demo.telescope.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:94d, 2606:4700::6812:84d",,,
,demo2.dev.epm-scld.projects.epam.com,,,"ns-1637.awsdns-12.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,demo2.stage.epm-scld.projects.epam.com,"18.66.112.63, 18.66.112.103, 18.66.112.62, 18.66.112.11",,"ns-864.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-2039.awsdns-62.co.uk, ns-430.awsdns-53.com, ns-1298.awsdns-34.org, ns-864.awsdns-44.net",,,,,,
,demolab-cf-prod.epm-ddl.projects.epam.com,"108.156.60.73, 108.156.60.88, 108.156.60.97, 108.156.60.68",,"ns-1312.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,demolab-dev.epm-ddl.projects.epam.com,"54.230.31.127, 54.230.31.27, 54.230.31.37, 54.230.31.35",,"ns-1312.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,demolab-staging.epm-ddl.projects.epam.com,"104.18.13.91, 104.18.12.91",demolab-staging.epm-ddl.projects.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c5b, 2606:4700::6812:d5b",,,
,desk.epam.com,"104.18.13.49, 104.18.12.49",desk.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c31, 2606:4700::6812:d31",,,
,desk.lab.epam.com,"104.18.12.91, 104.18.13.91",desk.lab.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c5b, 2606:4700::6812:d5b",,,
,desktop.connect.epam.com,20.82.13.59,"victorious-tree-04eb7db03.2.azurestaticapps.net, azurestaticapps2.trafficmanager.net, msha-slice-2-am2-0.msha-slice-2-am2-0-ase.p.azurewebsites.net, waws-prod-am2-7afcdb2f.sip.p.azurewebsites.windows.net, msha-slice-2-am2-1.msha-slice-2-am2-1-ase.p.azurewebsites.net, waws-prod-am2-71c8f842.sip.p.azurewebsites.windows.net","ns1-05.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,
,dev-epam.epm-dce.projects.epam.com,34.76.170.167,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,"ns-cloud-e3.googledomains.com, ns-cloud-e2.googledomains.com, ns-cloud-e4.googledomains.com, ns-cloud-e1.googledomains.com",,,,,,
,dev-people.epm-dce.projects.epam.com,10.68.96.85,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,"ns-cloud-c2.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c1.googledomains.com",True,10.68.96.85,,,,
,dev-portal.cloud.epam.com,"104.18.15.81, 104.18.14.81",dev-portal.cloud.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:e51, 2606:4700::6812:f51",,,
,dev.cloud.epam.com,"104.18.14.81, 104.18.15.81",dev.cloud.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:e51, 2606:4700::6812:f51",,,
,dev.epm-dww.projects.epam.com,,,"ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1955.awsdns-52.co.uk, ns-59.awsdns-07.com, ns-894.awsdns-47.net, ns-1047.awsdns-02.org",,,,,,
,dev.epm-kava.projects.epam.com,20.50.2.4,"kava-meetme-dev.azurewebsites.net, waws-prod-am2-329.sip.azurewebsites.windows.net, waws-prod-am2-329-loki.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,
,dev.epm-ppag.projects.epam.com,3.0.233.212,ec2-3-0-233-212.ap-southeast-1.compute.amazonaws.com,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,
,dev.epm-rexp.projects.epam.com,20.82.13.59,"white-flower-011c67c03.2.azurestaticapps.net, azurestaticapps2.trafficmanager.net, msha-slice-2-am2-0.msha-slice-2-am2-0-ase.p.azurewebsites.net, waws-prod-am2-7afcdb2f.sip.p.azurewebsites.windows.net, msha-slice-2-am2-1.msha-slice-2-am2-1-ase.p.azurewebsites.net, waws-prod-am2-71c8f842.sip.p.azurewebsites.windows.net","ns1-05.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,
,dev.epmp-aos.projects.epam.com,20.126.209.112,,"maisie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,dev.evusprisd0827.princeton.epam.com,174.128.60.227,evusprisd0827.princeton.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,develop2.aws.epm-orp.projects.epam.com,"104.18.12.91, 104.18.13.91",develop2.aws.epm-orp.projects.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:d5b, 2606:4700::6812:c5b",,,
,developers.api.epam.com,"18.154.63.120, 18.154.63.95, 18.154.63.78, 18.154.63.2",,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,devmail.epam.com,91.120.43.124,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,v=spf1 IP4:91.120.43.124 IP4:174.128.60.85 ip4:91.120.43.0/27 ip4:91.120.43.200 ip4:91.120.43.201 -all,epmvd022.minsk.epam.com,
,dhl-ewf.kyiv.epam.com,,ecsd00100430.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,dhl.kyiv.epam.com,85.223.209.90,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,dialin.epam.com,"91.120.43.12, 46.229.218.8",,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,display.lab.epam.com,"91.120.43.67, 91.120.43.66",paaseu.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,docs.epam.com,"104.18.20.196, 104.18.21.196",docs.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:15c4, 2606:4700::6812:14c4",,,
,docs.odahu.epam.com,"185.199.109.153, 185.199.110.153, 185.199.111.153, 185.199.108.153",odahu.github.io,"dns1.p05.nsone.net, hostmaster.nsone.net, ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"2606:50c0:8002::153, 2606:50c0:8001::153, 2606:50c0:8000::153, 2606:50c0:8003::153",,,"letsencrypt.org, digicert.com"
,docusign-rc.crm.epam.com,"104.18.6.36, 104.18.7.36",docusign-rc.crm.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:624, 2606:4700::6812:724",,,
,earth.epm-dce.projects.epam.com,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,"ns-cloud-b1.googledomains.com, ns-cloud-b3.googledomains.com, ns-cloud-b4.googledomains.com, ns-cloud-b2.googledomains.com",,,,,,
,ebn.epam.com,"104.18.12.91, 104.18.13.91",ebn.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c5b, 2606:4700::6812:d5b",,,
,ec-plugin.pypl-hbbt.projects.epam.com,85.223.209.42,ecsd0010065f.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecs000031a5a.epam.com,217.21.63.205,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00100012.epam.com,174.128.60.27,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00100502.epam.com,174.128.60.134,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00100584.epam.com,174.128.60.202,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00100ae7.epam.com,174.128.60.35,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00100b6b.epam.com,,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00100cef.epam.com,174.128.60.197,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00100e42.epam.com,,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00100f77.epam.com,174.128.60.21,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00100f79.epam.com,174.128.60.23,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa0040016a.epam.com,174.128.60.38,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00400183.epam.com,174.128.60.45,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa004001b7.epam.com,174.128.60.50,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa004001b9.epam.com,174.128.60.51,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00400274.epam.com,174.128.60.83,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa0040027c.epam.com,174.128.60.56,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00400287.epam.com,174.128.60.84,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa004003c9.epam.com,174.128.60.34,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00400492.epam.com,174.128.60.30,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa004004da.epam.com,,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00400554.epam.com,174.128.60.209,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa004005b6.epam.com,174.128.60.78,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00400665.epam.com,174.128.60.90,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa004006a4.epam.com,,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa004006b2.epam.com,174.128.60.199,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa0040088e.epam.com,174.128.60.80,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa004008be.epam.com,174.128.60.45,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa0040094b.epam.com,174.128.60.202,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00400a61.epam.com,174.128.60.65,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00400b9c.epam.com,174.128.60.119,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00400fda.epam.com,174.128.60.126,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa004010b8.epam.com,"217.21.63.98, 217.21.63.97",,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00401230.epam.com,174.128.60.178,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00402559.epam.com,,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa00403e02.epam.com,174.128.60.154,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsa0040863e.epam.com,174.128.60.167,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00100021.epam.com,91.120.43.28,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00100086.epam.com,174.128.60.33,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00100141.epam.com,91.120.43.181,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00100200.epam.com,91.120.43.29,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb0010022e.epam.com,91.120.43.19,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00100444.epam.com,91.120.43.53,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb001009c3.epam.com,91.120.43.38,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00100bb1.epam.com,91.120.43.130,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00100c12.epam.com,91.120.43.204,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00100c19.epam.com,91.120.43.46,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00100d21.epam.com,91.120.43.55,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00101051.epam.com,91.120.43.93,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb001018af.epam.com,91.120.43.74,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb001018c2.epam.com,91.120.43.9,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00101999.epam.com,,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00101dcc.epam.com,91.120.43.62,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00102157.epam.com,91.120.43.104,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00102196.epam.com,91.120.43.32,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00102236.epam.com,,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00102237.epam.com,91.120.43.91,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00300067.epam.com,91.120.43.111,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb003000b1.epam.com,91.120.43.193,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00300210.epam.com,91.120.43.72,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00300283.epam.com,91.120.43.114,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb0030090b.epam.com,91.120.43.104,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00300a3c.epam.com,91.120.43.77,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00300af8.epam.com,91.120.43.31,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb003015bc.epam.com,91.120.43.134,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00301f97.epam.com,91.120.43.145,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsb00302501.epam.com,"104.18.12.91, 104.18.13.91",ecsb00302501.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c5b, 2606:4700::6812:d5b",,,
,ecsc00100094.epam.com,217.21.63.129,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00100907.epam.com,217.21.63.67,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc001009be.epam.com,217.21.63.106,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc001015be.epam.com,217.21.63.105,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc001015c9.epam.com,217.21.63.217,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00102e7b.epam.com,91.120.43.100,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00103c14.epam.com,217.21.63.41,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00103c71.epam.com,,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00103eee.epam.com,217.21.63.103,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00103f90.epam.com,217.21.63.149,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00103f95.epam.com,217.21.63.152,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc001045d5.epam.com,213.184.243.132,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00104722.epam.com,217.21.63.111,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc0010488d.epam.com,217.21.63.72,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc0010499f.epam.com,217.21.63.93,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00104db4.epam.com,,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00104dbc.epam.com,46.229.218.160,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00104eef.epam.com,217.21.63.48,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc001053a0.epam.com,217.21.63.195,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc001053c2.epam.com,217.21.63.157,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc001053ea.epam.com,217.21.63.165,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00105406.epam.com,217.21.63.194,,,NOERROR,,,,,,,
,ecsc00105453.epam.com,217.21.63.197,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00105553.epam.com,217.21.63.212,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc001056c3.epam.com,,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc001057ee.epam.com,217.21.63.88,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00105864.epam.com,217.21.63.138,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00105e8b.epam.com,217.21.63.99,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00105ef1.epam.com,217.21.63.73,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc0010601c.epam.com,217.21.63.152,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00106549.epam.com,217.21.63.111,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc001066c3.epam.com,217.21.63.129,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00106787.epam.com,217.21.63.142,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc001067f6.epam.com,217.21.63.91,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00106bf3.epam.com,,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00106d6a.epam.com,217.21.63.150,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc0010727a.epam.com,217.21.63.69,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc001073ef.epam.com,217.21.63.81,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a000ec.epam.com,217.21.63.187,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a002e1.epam.com,217.21.63.196,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a00323.epam.com,,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a004ea.epam.com,217.21.63.159,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a0056d.epam.com,217.21.63.195,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a0068e.epam.com,217.21.63.118,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a00894.epam.com,217.21.63.200,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a008d1.epam.com,217.21.63.85,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a00954.epam.com,,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a00994.epam.com,217.21.63.224,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a00b36.epam.com,217.21.63.35,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a00ce3.epam.com,,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a00ddf.epam.com,217.21.63.207,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a00ee7.epam.com,217.21.63.41,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a00fce.epam.com,217.21.63.50,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a00fe3.epam.com,217.21.63.71,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a011eb.epam.com,217.21.63.43,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a01230.epam.com,217.21.63.70,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a01304.epam.com,217.21.63.34,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a01310.epam.com,217.21.63.241,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a01539.epam.com,217.21.63.147,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a01b27.epam.com,217.21.63.125,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a01c3a.epam.com,217.21.63.221,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a01d8f.epam.com,217.21.63.82,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a0201d.epam.com,217.21.63.171,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a02272.epam.com,,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a026c4.epam.com,217.21.63.59,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a026d4.epam.com,217.21.63.167,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a028fb.epam.com,217.21.63.192,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a02a44.epam.com,85.223.209.117,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a02b7c.epam.com,217.21.63.17,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a02b91.epam.com,217.21.63.201,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a02e6f.epam.com,217.21.63.124,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a03514.epam.com,217.21.63.223,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a0351b.epam.com,217.21.63.222,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ecsc00a03a3e.epam.com,217.21.63.68,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
